ticker,sector,industry,source,as_of_date,point_in_time,notes
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ABBV,Health Care,Pharmaceuticals,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ABT,Health Care,Health Care Equipment,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ACN,Information Technology,IT Consulting & Other Services,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ADBE,Information Technology,Application Software,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ADI,Information Technology,Semiconductors,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
ADP,Industrials,Human Resource & Employment Services,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AMAT,Information Technology,Semiconductor Materials & Equipment,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AMD,Information Technology,Semiconductors,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AMGN,Health Care,Biotechnology,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AMZN,Consumer Discretionary,Broadline Retail,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AON,Financials,Insurance Brokers,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
APD,Materials,Industrial Gases,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
APH,Information Technology,Electronic Components,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AVGO,Information Technology,Semiconductors,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
AXP,Financials,Consumer Finance,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BA,Industrials,Aerospace & Defense,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BAC,Financials,Diversified Banks,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BLK,Financials,Asset Management & Custody Banks,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BMY,Health Care,Pharmaceuticals,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
BSX,Health Care,Health Care Equipment,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
C,Financials,Diversified Banks,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
CB,Financials,Property & Casualty Insurance,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
CDNS,Information Technology,Application Software,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
CI,Health Care,Health Care Services,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
CL,Consumer Staples,Household Products,curated_static_mapping_current_as_of_2026_06_18,2026-06-18,false,current-as-of sector map; not point-in-time; for caveated research only
