family,feature_col,coverage
short_interest_days_to_cover,f_accel,17350
short_interest_days_to_cover,f_chg1,17472
short_interest_days_to_cover,f_lag1,17472
short_interest_days_to_cover,f_level,17496
short_interest_days_to_cover,f_rank,17496
short_interest_days_to_cover,f_rchg_21,17472
short_interest_days_to_cover,f_rchg_5,17472
short_interest_days_to_cover,f_rchg_63,17472
short_interest_days_to_cover,f_rmean_21,17472
short_interest_days_to_cover,f_rmean_5,17472
short_interest_days_to_cover,f_rmean_63,17472
short_interest_days_to_cover,f_rstd_21,17472
short_interest_days_to_cover,f_rstd_5,17472
short_interest_days_to_cover,f_rstd_63,17472
short_interest_days_to_cover,f_sector_z,17247
short_interest_days_to_cover,f_winz,17496
short_interest_days_to_cover,f_x_mom,17288
short_interest_days_to_cover,f_x_quality,17116
short_interest_days_to_cover,f_x_surprise,17209
short_interest_days_to_cover,f_x_value,17437
short_interest_days_to_cover,f_z,17496
