family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,A,OK,2017-12-29,3.4,True
short_interest_days_to_cover,A,OK,2018-01-12,2.75,True
short_interest_days_to_cover,A,OK,2018-01-31,2.95,True
short_interest_days_to_cover,A,OK,2018-02-15,1.66,True
short_interest_days_to_cover,A,OK,2018-02-28,1.24,True
short_interest_days_to_cover,A,OK,2018-03-15,2.49,True
short_interest_days_to_cover,A,OK,2018-03-29,1.59,True
short_interest_days_to_cover,A,OK,2018-04-13,1.73,True
short_interest_days_to_cover,A,OK,2018-04-30,1.88,True
short_interest_days_to_cover,A,OK,2018-05-15,1.29,True
short_interest_days_to_cover,AAPL,OK,2017-12-29,1.91,True
short_interest_days_to_cover,AAPL,OK,2018-01-12,1.99,True
short_interest_days_to_cover,AAPL,OK,2018-01-31,1.13,True
short_interest_days_to_cover,AAPL,OK,2018-02-15,1.0,True
short_interest_days_to_cover,AAPL,OK,2018-02-28,1.61,True
short_interest_days_to_cover,AAPL,OK,2018-03-15,2.16,True
short_interest_days_to_cover,AAPL,OK,2018-03-29,1.47,True
short_interest_days_to_cover,AAPL,OK,2018-04-13,1.92,True
short_interest_days_to_cover,AAPL,OK,2018-04-30,1.5,True
short_interest_days_to_cover,AAPL,OK,2018-05-15,1.27,True
short_interest_days_to_cover,ABBV,OK,2017-12-29,5.34,True
short_interest_days_to_cover,ABBV,OK,2018-01-12,3.62,True
short_interest_days_to_cover,ABBV,OK,2018-01-31,2.03,True
short_interest_days_to_cover,ABBV,OK,2018-02-15,2.24,True
short_interest_days_to_cover,ABBV,OK,2018-02-28,2.74,True
short_interest_days_to_cover,ABBV,OK,2018-03-15,3.06,True
short_interest_days_to_cover,ABBV,OK,2018-03-29,1.37,True
short_interest_days_to_cover,ABBV,OK,2018-04-13,2.13,True
short_interest_days_to_cover,ABBV,OK,2018-04-30,3.12,True
short_interest_days_to_cover,ABBV,OK,2018-05-15,3.29,True
short_interest_days_to_cover,ABNB,OK,2020-12-15,1.0,True
short_interest_days_to_cover,ABNB,OK,2020-12-31,1.0,True
short_interest_days_to_cover,ABNB,OK,2021-01-15,1.56,True
short_interest_days_to_cover,ABNB,OK,2021-01-29,1.22,True
short_interest_days_to_cover,ABNB,OK,2021-02-12,3.21,True
short_interest_days_to_cover,ABNB,OK,2021-02-26,3.04,True
short_interest_days_to_cover,ABNB,OK,2021-03-15,1.81,True
short_interest_days_to_cover,ABNB,OK,2021-03-31,4.52,True
short_interest_days_to_cover,ABNB,OK,2021-04-15,6.27,True
short_interest_days_to_cover,ABNB,OK,2021-04-30,7.6,True
short_interest_days_to_cover,ABT,OK,2017-12-29,1.68,True
short_interest_days_to_cover,ABT,OK,2018-01-12,1.57,True
short_interest_days_to_cover,ABT,OK,2018-01-31,1.58,True
short_interest_days_to_cover,ABT,OK,2018-02-15,1.56,True
short_interest_days_to_cover,ABT,OK,2018-02-28,1.83,True
short_interest_days_to_cover,ABT,OK,2018-03-15,2.03,True
short_interest_days_to_cover,ABT,OK,2018-03-29,1.79,True
short_interest_days_to_cover,ABT,OK,2018-04-13,1.54,True
short_interest_days_to_cover,ABT,OK,2018-04-30,2.17,True
short_interest_days_to_cover,ABT,OK,2018-05-15,2.33,True
short_interest_days_to_cover,ACGL,OK,2017-12-29,6.83,True
short_interest_days_to_cover,ACGL,OK,2018-01-12,4.72,True
short_interest_days_to_cover,ACGL,OK,2018-01-31,5.12,True
short_interest_days_to_cover,ACGL,OK,2018-02-15,3.87,True
short_interest_days_to_cover,ACGL,OK,2018-02-28,4.41,True
short_interest_days_to_cover,ACGL,OK,2018-03-15,1.6,True
short_interest_days_to_cover,ACGL,OK,2018-03-29,2.88,True
short_interest_days_to_cover,ACGL,OK,2018-04-13,3.45,True
short_interest_days_to_cover,ACGL,OK,2018-04-30,4.44,True
short_interest_days_to_cover,ACGL,OK,2018-05-15,2.75,True
short_interest_days_to_cover,ACN,OK,2017-12-29,3.55,True
short_interest_days_to_cover,ACN,OK,2018-01-12,4.27,True
short_interest_days_to_cover,ACN,OK,2018-01-31,4.71,True
short_interest_days_to_cover,ACN,OK,2018-02-15,2.86,True
short_interest_days_to_cover,ACN,OK,2018-02-28,4.37,True
short_interest_days_to_cover,ACN,OK,2018-03-15,2.51,True
short_interest_days_to_cover,ACN,OK,2018-03-29,1.35,True
short_interest_days_to_cover,ACN,OK,2018-04-13,2.76,True
short_interest_days_to_cover,ACN,OK,2018-04-30,4.13,True
short_interest_days_to_cover,ACN,OK,2018-05-15,5.39,True
short_interest_days_to_cover,ADBE,OK,2017-12-29,1.86,True
short_interest_days_to_cover,ADBE,OK,2018-01-12,1.92,True
short_interest_days_to_cover,ADBE,OK,2018-01-31,1.48,True
short_interest_days_to_cover,ADBE,OK,2018-02-15,1.65,True
short_interest_days_to_cover,ADBE,OK,2018-02-28,2.35,True
short_interest_days_to_cover,ADBE,OK,2018-03-15,1.58,True
short_interest_days_to_cover,ADBE,OK,2018-03-29,1.11,True
short_interest_days_to_cover,ADBE,OK,2018-04-13,1.9,True
short_interest_days_to_cover,ADBE,OK,2018-04-30,2.02,True
short_interest_days_to_cover,ADBE,OK,2018-05-15,2.83,True
short_interest_days_to_cover,ADI,OK,2017-12-29,3.76,True
short_interest_days_to_cover,ADI,OK,2018-01-12,3.74,True
short_interest_days_to_cover,ADI,OK,2018-01-31,2.15,True
short_interest_days_to_cover,ADI,OK,2018-02-15,2.34,True
short_interest_days_to_cover,ADI,OK,2018-02-28,2.86,True
short_interest_days_to_cover,ADI,OK,2018-03-15,3.62,True
short_interest_days_to_cover,ADI,OK,2018-03-29,3.03,True
short_interest_days_to_cover,ADI,OK,2018-04-13,3.86,True
short_interest_days_to_cover,ADI,OK,2018-04-30,3.55,True
short_interest_days_to_cover,ADI,OK,2018-05-15,5.08,True
short_interest_days_to_cover,ADM,OK,2017-12-29,4.99,True
short_interest_days_to_cover,ADM,OK,2018-01-12,3.45,True
short_interest_days_to_cover,ADM,OK,2018-01-31,2.69,True
short_interest_days_to_cover,ADM,OK,2018-02-15,2.59,True
short_interest_days_to_cover,ADM,OK,2018-02-28,3.28,True
short_interest_days_to_cover,ADM,OK,2018-03-15,2.66,True
short_interest_days_to_cover,ADM,OK,2018-03-29,2.22,True
short_interest_days_to_cover,ADM,OK,2018-04-13,2.29,True
short_interest_days_to_cover,ADM,OK,2018-04-30,2.3,True
short_interest_days_to_cover,ADM,OK,2018-05-15,1.52,True
short_interest_days_to_cover,ADP,OK,2017-12-29,3.08,True
short_interest_days_to_cover,ADP,OK,2018-01-12,2.5,True
short_interest_days_to_cover,ADP,OK,2018-01-31,2.38,True
short_interest_days_to_cover,ADP,OK,2018-02-15,1.59,True
short_interest_days_to_cover,ADP,OK,2018-02-28,2.76,True
short_interest_days_to_cover,ADP,OK,2018-03-15,2.55,True
short_interest_days_to_cover,ADP,OK,2018-03-29,1.58,True
short_interest_days_to_cover,ADP,OK,2018-04-13,2.07,True
short_interest_days_to_cover,ADP,OK,2018-04-30,2.3,True
short_interest_days_to_cover,ADP,OK,2018-05-15,1.54,True
short_interest_days_to_cover,ADSK,OK,2017-12-29,2.62,True
short_interest_days_to_cover,ADSK,OK,2018-01-12,2.45,True
short_interest_days_to_cover,ADSK,OK,2018-01-31,2.78,True
short_interest_days_to_cover,ADSK,OK,2018-02-15,2.62,True
short_interest_days_to_cover,ADSK,OK,2018-02-28,3.0,True
short_interest_days_to_cover,ADSK,OK,2018-03-15,1.36,True
short_interest_days_to_cover,ADSK,OK,2018-03-29,2.06,True
short_interest_days_to_cover,ADSK,OK,2018-04-13,3.27,True
short_interest_days_to_cover,ADSK,OK,2018-04-30,3.24,True
short_interest_days_to_cover,ADSK,OK,2018-05-15,4.26,True
short_interest_days_to_cover,AEE,OK,2017-12-29,4.29,True
short_interest_days_to_cover,AEE,OK,2018-01-12,4.71,True
short_interest_days_to_cover,AEE,OK,2018-01-31,3.21,True
short_interest_days_to_cover,AEE,OK,2018-02-15,1.8,True
short_interest_days_to_cover,AEE,OK,2018-02-28,2.62,True
short_interest_days_to_cover,AEE,OK,2018-03-15,2.93,True
short_interest_days_to_cover,AEE,OK,2018-03-29,3.28,True
short_interest_days_to_cover,AEE,OK,2018-04-13,2.09,True
short_interest_days_to_cover,AEE,OK,2018-04-30,2.89,True
short_interest_days_to_cover,AEE,OK,2018-05-15,2.36,True
short_interest_days_to_cover,AEM,OK,2017-12-29,1.3,True
short_interest_days_to_cover,AEM,OK,2018-01-12,1.51,True
short_interest_days_to_cover,AEM,OK,2018-01-31,1.42,True
short_interest_days_to_cover,AEM,OK,2018-02-15,1.15,True
short_interest_days_to_cover,AEM,OK,2018-02-28,1.1,True
short_interest_days_to_cover,AEM,OK,2018-03-15,1.64,True
short_interest_days_to_cover,AEM,OK,2018-03-29,2.27,True
short_interest_days_to_cover,AEM,OK,2018-04-13,2.93,True
short_interest_days_to_cover,AEM,OK,2018-04-30,2.35,True
short_interest_days_to_cover,AEM,OK,2018-05-15,2.86,True
short_interest_days_to_cover,AEP,OK,2017-12-29,2.98,True
short_interest_days_to_cover,AEP,OK,2018-01-12,1.47,True
short_interest_days_to_cover,AEP,OK,2018-01-31,1.73,True
short_interest_days_to_cover,AEP,OK,2018-02-15,1.38,True
short_interest_days_to_cover,AEP,OK,2018-02-28,2.44,True
short_interest_days_to_cover,AEP,OK,2018-03-15,2.33,True
short_interest_days_to_cover,AEP,OK,2018-03-29,2.59,True
short_interest_days_to_cover,AEP,OK,2018-04-13,3.66,True
short_interest_days_to_cover,AEP,OK,2018-04-30,3.62,True
short_interest_days_to_cover,AEP,OK,2018-05-15,3.09,True
short_interest_days_to_cover,AES,OK,2017-12-29,2.09,True
short_interest_days_to_cover,AES,OK,2018-01-12,2.21,True
