name,kind,family,weighting,sector_neutral,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,net_spread_50bps,subperiod_stable,ic_old,ic_new,top_sector_share,status
f_level_raw,scenario,orthogonal,,False,17496,101,-0.0037,-0.26,0.7935,False,-0.0005,0.4257,-0.0055,-0.0105,False,0.0045,0.0081,0.8828,rejected
f_level_sn,scenario,orthogonal,,True,17496,101,0.009,0.63,0.5262,False,-0.0014,0.505,-0.0064,-0.0114,False,0.0047,0.0066,0.7932,rejected
f_chg1_raw,scenario,orthogonal,,False,17472,101,0.0025,0.18,0.8599,False,0.0032,0.4752,-0.0018,-0.0068,True,-0.0004,0.0024,0.7939,rejected
f_chg1_sn,scenario,orthogonal,,True,17472,101,0.0052,0.38,0.7066,False,0.0017,0.4752,-0.0033,-0.0083,False,0.0016,0.0037,0.8301,rejected
f_accel_raw,scenario,orthogonal,,False,17350,101,0.0069,0.53,0.5953,False,0.0035,0.5446,-0.0015,-0.0065,False,-0.0015,0.0043,0.7919,rejected
f_accel_sn,scenario,orthogonal,,True,17350,101,0.0121,1.02,0.3078,False,0.0048,0.5347,-0.0002,-0.0052,False,0.0026,0.0054,0.8323,rejected
f_lag1_raw,scenario,orthogonal,,False,17472,101,-0.0052,-0.36,0.7181,False,0.0011,0.495,-0.0039,-0.0089,False,-0.0013,0.0085,0.9212,rejected
f_lag1_sn,scenario,orthogonal,,True,17472,101,0.0079,0.56,0.5734,False,-0.0009,0.5248,-0.0059,-0.0109,False,-0.0013,0.0067,0.7956,rejected
f_rmean_5_raw,scenario,orthogonal,,False,17472,101,-0.0075,-0.52,0.6034,False,0.0004,0.505,-0.0045,-0.0095,False,0.0036,0.0016,0.9112,rejected
f_rmean_5_sn,scenario,orthogonal,,True,17472,101,0.0088,0.6,0.5512,False,0.002,0.5545,-0.003,-0.008,False,-0.0004,-0.0002,0.8113,rejected
f_rstd_5_raw,scenario,orthogonal,,False,17472,101,-0.0007,-0.05,0.9622,False,-0.0008,0.4851,-0.0058,-0.0108,False,0.0019,0.0229,0.9095,rejected
f_rstd_5_sn,scenario,orthogonal,,True,17472,101,0.0112,0.8,0.4232,False,0.0015,0.505,-0.0035,-0.0085,True,-0.002,0.0215,0.7637,rejected
f_rchg_5_raw,scenario,orthogonal,,False,17472,101,0.0054,0.43,0.6651,False,0.0011,0.5248,-0.0039,-0.0089,False,-0.0115,0.008,0.8238,rejected
f_rchg_5_sn,scenario,orthogonal,,True,17472,101,0.0061,0.47,0.6406,False,0.0019,0.5446,-0.0031,-0.0081,True,-0.0043,0.0088,0.8312,rejected
f_rmean_21_raw,scenario,orthogonal,,False,17472,101,-0.0086,-0.59,0.5529,False,0.0008,0.5149,-0.0042,-0.0092,False,0.0032,0.0031,0.9371,rejected
f_rmean_21_sn,scenario,orthogonal,,True,17472,101,0.0103,0.71,0.4753,False,-0.0004,0.495,-0.0054,-0.0104,False,0.001,0.0015,0.7751,rejected
f_rstd_21_raw,scenario,orthogonal,,False,17472,101,0.0044,0.31,0.7561,False,0.0036,0.5941,-0.0014,-0.0063,False,0.011,0.0247,0.9103,rejected
f_rstd_21_sn,scenario,orthogonal,,True,17472,101,0.0133,0.89,0.3753,False,0.0016,0.5347,-0.0034,-0.0084,True,0.0009,0.0234,0.6681,rejected
f_rchg_21_raw,scenario,orthogonal,,False,17472,101,0.0005,0.04,0.9643,False,-0.0018,0.5149,-0.0068,-0.0118,False,-0.0156,-0.0026,0.8318,rejected
