name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
f_level_raw,scenario,Unknown,0.8828,0.7815,True
f_level_sn,scenario,Unknown,0.7932,0.6366,True
f_chg1_raw,scenario,Unknown,0.7939,0.6379,True
f_chg1_sn,scenario,Unknown,0.8301,0.6931,True
f_accel_raw,scenario,Unknown,0.7919,0.6332,True
f_accel_sn,scenario,Unknown,0.8323,0.6965,True
f_lag1_raw,scenario,Unknown,0.9212,0.8497,True
f_lag1_sn,scenario,Unknown,0.7956,0.6395,True
f_rmean_5_raw,scenario,Unknown,0.9112,0.8317,True
f_rmean_5_sn,scenario,Unknown,0.8113,0.6636,True
f_rstd_5_raw,scenario,Unknown,0.9095,0.8286,True
f_rstd_5_sn,scenario,Unknown,0.7637,0.5917,True
f_rchg_5_raw,scenario,Unknown,0.8238,0.6848,True
f_rchg_5_sn,scenario,Unknown,0.8312,0.6961,True
f_rmean_21_raw,scenario,Unknown,0.9371,0.8788,True
f_rmean_21_sn,scenario,Unknown,0.7751,0.6083,True
f_rstd_21_raw,scenario,Unknown,0.9103,0.8298,True
f_rstd_21_sn,scenario,Unknown,0.6681,0.4613,True
f_rchg_21_raw,scenario,Unknown,0.8318,0.6967,True
f_rchg_21_sn,scenario,Unknown,0.8634,0.7484,True
f_rmean_63_raw,scenario,Unknown,0.9371,0.8788,True
f_rmean_63_sn,scenario,Unknown,0.7751,0.6083,True
f_rstd_63_raw,scenario,Unknown,0.9103,0.8298,True
f_rstd_63_sn,scenario,Unknown,0.6681,0.4613,True
f_rchg_63_raw,scenario,Unknown,0.8318,0.6967,True
f_rchg_63_sn,scenario,Unknown,0.8634,0.7484,True
f_z_raw,scenario,Unknown,0.8828,0.7815,True
f_z_sn,scenario,Unknown,0.7932,0.6366,True
f_sector_z_raw,scenario,Unknown,0.6258,0.4107,True
f_sector_z_sn,scenario,Unknown,0.6258,0.4107,True
f_rank_raw,scenario,Unknown,0.8828,0.7815,True
f_rank_sn,scenario,Unknown,0.872,0.7637,True
f_winz_raw,scenario,Unknown,0.8828,0.7815,True
f_winz_sn,scenario,Unknown,0.8324,0.6983,True
f_x_surprise_raw,scenario,Unknown,0.8036,0.6511,True
f_x_surprise_sn,scenario,Unknown,0.8065,0.656,True
f_x_quality_raw,scenario,Unknown,0.8374,0.7062,True
f_x_quality_sn,scenario,Unknown,0.708,0.5153,True
f_x_value_raw,scenario,Unknown,0.7375,0.555,True
f_x_value_sn,scenario,Unknown,0.8225,0.6815,True
f_x_mom_raw,scenario,Unknown,0.7991,0.6443,True
f_x_mom_sn,scenario,Unknown,0.8069,0.6576,True
orthogonal_blend__ic_weighted,model,Unknown,0.8153,0.6706,True
orthogonal_blend__equal,model,Unknown,0.8214,0.6801,True
ix_short_interest_ratio_x_surprise,scenario,Unknown,0.8036,0.6511,True
ix_short_interest_ratio_x_momentum,scenario,Unknown,0.7991,0.6443,True
ix_short_interest_ratio_x_quality,scenario,Unknown,0.8374,0.7062,True
ix_short_interest_ratio_x_value,scenario,Unknown,0.7375,0.555,True
