endpoint,ticker,status,rows,requests_made
fundamentals,A,CACHED,0,0
fundamentals,AAPL,CACHED,0,0
fundamentals,ABBV,CACHED,0,0
fundamentals,ABNB,CACHED,0,0
fundamentals,ABT,CACHED,0,0
fundamentals,ACGL,CACHED,0,0
fundamentals,ACN,CACHED,0,0
fundamentals,ADBE,CACHED,0,0
fundamentals,ADI,CACHED,0,0
fundamentals,ADM,CACHED,0,0
fundamentals,ADP,CACHED,0,0
fundamentals,ADSK,CACHED,0,0
fundamentals,AEE,CACHED,0,0
fundamentals,AEM,CACHED,0,0
fundamentals,AEP,CACHED,0,0
fundamentals,AES,CACHED,0,0
fundamentals,AFL,CACHED,0,0
fundamentals,AIG,CACHED,0,0
fundamentals,AIZ,CACHED,0,0
fundamentals,AJG,CACHED,0,0
fundamentals,AKAM,CACHED,0,0
fundamentals,ALAB,CACHED,0,0
fundamentals,ALB,CACHED,0,0
fundamentals,ALGN,CACHED,0,0
fundamentals,ALL,CACHED,0,0
fundamentals,ALLE,CACHED,0,0
fundamentals,AMAT,CACHED,0,0
fundamentals,AMCR,CACHED,0,0
fundamentals,AMD,CACHED,0,0
fundamentals,AME,CACHED,0,0
fundamentals,AMGN,CACHED,0,0
fundamentals,AMP,CACHED,0,0
fundamentals,AMT,CACHED,0,0
fundamentals,AMX,CACHED,0,0
fundamentals,AMZN,CACHED,0,0
fundamentals,ANET,CACHED,0,0
fundamentals,AON,CACHED,0,0
fundamentals,AOS,CACHED,0,0
fundamentals,APA,CACHED,0,0
fundamentals,APD,CACHED,0,0
fundamentals,APH,CACHED,0,0
fundamentals,APO,CACHED,0,0
fundamentals,APP,CACHED,0,0
fundamentals,APTV,CACHED,0,0
fundamentals,ARE,CACHED,0,0
fundamentals,ARES,CACHED,0,0
fundamentals,ARM,CACHED,0,0
fundamentals,ASML,CACHED,0,0
fundamentals,ASX,CACHED,0,0
fundamentals,ATEYY,CACHED,0,0
fundamentals,ATO,CACHED,0,0
fundamentals,AVB,CACHED,0,0
fundamentals,AVGO,CACHED,0,0
fundamentals,AVY,CACHED,0,0
fundamentals,AWK,CACHED,0,0
fundamentals,AXON,CACHED,0,0
fundamentals,AXP,CACHED,0,0
fundamentals,AZN,CACHED,0,0
fundamentals,AZO,CACHED,0,0
fundamentals,B,CACHED,0,0
fundamentals,BA,CACHED,0,0
fundamentals,BABA,CACHED,0,0
fundamentals,BAC,CACHED,0,0
fundamentals,BAESY,CACHED,0,0
fundamentals,BALL,CACHED,0,0
fundamentals,BAM,CACHED,0,0
fundamentals,BAX,CACHED,0,0
fundamentals,BBVA,CACHED,0,0
fundamentals,BBY,CACHED,0,0
fundamentals,BCS,CACHED,0,0
fundamentals,BDX,CACHED,0,0
fundamentals,BE,CACHED,0,0
fundamentals,BEN,CACHED,0,0
fundamentals,BG,CACHED,0,0
fundamentals,BHP,CACHED,0,0
fundamentals,BIIB,CACHED,0,0
fundamentals,BKNG,CACHED,0,0
fundamentals,BKR,CACHED,0,0
fundamentals,BLDR,CACHED,0,0
fundamentals,BLK,CACHED,0,0
fundamentals,BMO,CACHED,0,0
fundamentals,BMY,CACHED,0,0
fundamentals,BN,CACHED,0,0
fundamentals,BNS,CACHED,0,0
fundamentals,BNY,CACHED,0,0
fundamentals,BP,CACHED,0,0
fundamentals,BR,CACHED,0,0
fundamentals,BRO,CACHED,0,0
fundamentals,BSX,CACHED,0,0
fundamentals,BTI,CACHED,0,0
fundamentals,BUD,CACHED,0,0
fundamentals,BX,CACHED,0,0
fundamentals,BXP,CACHED,0,0
fundamentals,C,CACHED,0,0
fundamentals,CAG,CACHED,0,0
fundamentals,CAH,CACHED,0,0
fundamentals,CARR,CACHED,0,0
fundamentals,CASY,CACHED,0,0
fundamentals,CAT,CACHED,0,0
fundamentals,CB,CACHED,0,0
fundamentals,CBOE,CACHED,0,0
fundamentals,CBRE,CACHED,0,0
fundamentals,CCI,CACHED,0,0
fundamentals,CCL,CACHED,0,0
fundamentals,CDNS,CACHED,0,0
fundamentals,CDW,CACHED,0,0
fundamentals,CEG,CACHED,0,0
fundamentals,CF,CACHED,0,0
fundamentals,CFG,CACHED,0,0
fundamentals,CHD,CACHED,0,0
fundamentals,CHRW,CACHED,0,0
fundamentals,CHTR,CACHED,0,0
fundamentals,CI,CACHED,0,0
fundamentals,CIEN,CACHED,0,0
fundamentals,CINF,CACHED,0,0
fundamentals,CL,CACHED,0,0
fundamentals,CLX,CACHED,0,0
fundamentals,CM,CACHED,0,0
fundamentals,CMCSA,CACHED,0,0
fundamentals,CME,CACHED,0,0
fundamentals,CMG,CACHED,0,0
fundamentals,CMI,CACHED,0,0
fundamentals,CMS,CACHED,0,0
fundamentals,CNC,CACHED,0,0
fundamentals,CNI,CACHED,0,0
fundamentals,CNP,CACHED,0,0
fundamentals,CNQ,CACHED,0,0
fundamentals,COF,CACHED,0,0
fundamentals,COHR,CACHED,0,0
fundamentals,COIN,CACHED,0,0
fundamentals,COO,CACHED,0,0
fundamentals,COP,CACHED,0,0
fundamentals,COR,CACHED,0,0
fundamentals,COST,CACHED,0,0
fundamentals,CP,CACHED,0,0
fundamentals,CPAY,CACHED,0,0
fundamentals,CPRT,CACHED,0,0
fundamentals,CPT,CACHED,0,0
fundamentals,CRH,CACHED,0,0
fundamentals,CRL,CACHED,0,0
fundamentals,CRM,CACHED,0,0
fundamentals,CRWD,CACHED,0,0
fundamentals,CSCO,CACHED,0,0
fundamentals,CSGP,CACHED,0,0
fundamentals,CSX,CACHED,0,0
fundamentals,CTAS,CACHED,0,0
fundamentals,CTSH,CACHED,0,0
fundamentals,CTVA,CACHED,0,0
fundamentals,CVNA,CACHED,0,0
fundamentals,CVS,CACHED,0,0
fundamentals,CVX,CACHED,0,0
fundamentals,CYATY,CACHED,0,0
fundamentals,D,CACHED,0,0
fundamentals,DAL,CACHED,0,0
fundamentals,DASH,CACHED,0,0
fundamentals,DB,CACHED,0,0
fundamentals,DD,CACHED,0,0
fundamentals,DDOG,CACHED,0,0
fundamentals,DE,CACHED,0,0
fundamentals,DECK,CACHED,0,0
fundamentals,DELL,CACHED,0,0
fundamentals,DG,CACHED,0,0
fundamentals,DGX,CACHED,0,0
fundamentals,DHI,CACHED,0,0
fundamentals,DHR,CACHED,0,0
fundamentals,DIS,CACHED,0,0
fundamentals,DLR,CACHED,0,0
fundamentals,DLTR,CACHED,0,0
fundamentals,DOC,CACHED,0,0
fundamentals,DOV,CACHED,0,0
fundamentals,DOW,CACHED,0,0
fundamentals,DPZ,CACHED,0,0
fundamentals,DRI,CACHED,0,0
fundamentals,DTE,CACHED,0,0
fundamentals,DTEGY,CACHED,0,0
fundamentals,DUK,CACHED,0,0
fundamentals,DVA,CACHED,0,0
fundamentals,DVN,CACHED,0,0
fundamentals,DXCM,CACHED,0,0
fundamentals,E,CACHED,0,0
fundamentals,EA,CACHED,0,0
fundamentals,EBAY,CACHED,0,0
fundamentals,ECL,CACHED,0,0
fundamentals,ED,CACHED,0,0
fundamentals,EFX,CACHED,0,0
fundamentals,EG,CACHED,0,0
fundamentals,EIX,CACHED,0,0
fundamentals,EL,CACHED,0,0
fundamentals,ELV,CACHED,0,0
fundamentals,EME,CACHED,0,0
fundamentals,EMR,CACHED,0,0
fundamentals,ENB,CACHED,0,0
fundamentals,EOG,CACHED,0,0
fundamentals,EPD,CACHED,0,0
fundamentals,EQIX,CACHED,0,0
fundamentals,EQNR,CACHED,0,0
fundamentals,EQR,CACHED,0,0
fundamentals,EQT,CACHED,0,0
fundamentals,ERIE,CACHED,0,0
fundamentals,ES,CACHED,0,0
fundamentals,ESS,CACHED,0,0
fundamentals,ET,CACHED,0,0
fundamentals,ETN,CACHED,0,0
fundamentals,ETR,CACHED,0,0
fundamentals,EVRG,CACHED,0,0
fundamentals,EW,CACHED,0,0
fundamentals,EXC,CACHED,0,0
fundamentals,EXE,CACHED,0,0
fundamentals,EXPD,CACHED,0,0
fundamentals,EXPE,CACHED,0,0
fundamentals,EXR,CACHED,0,0
fundamentals,F,CACHED,0,0
fundamentals,FANG,CACHED,0,0
fundamentals,FAST,CACHED,0,0
fundamentals,FCX,CACHED,0,0
fundamentals,FDS,CACHED,0,0
fundamentals,FDX,CACHED,0,0
fundamentals,FE,CACHED,0,0
fundamentals,FFIV,CACHED,0,0
fundamentals,FICO,CACHED,0,0
fundamentals,FIS,CACHED,0,0
fundamentals,FISV,CACHED,0,0
fundamentals,FITB,CACHED,0,0
fundamentals,FIX,CACHED,0,0
fundamentals,FLEX,CACHED,0,0
fundamentals,FOX,CACHED,0,0
fundamentals,FOXA,CACHED,0,0
fundamentals,FRT,CACHED,0,0
fundamentals,FSLR,CACHED,0,0
fundamentals,FTNT,CACHED,0,0
fundamentals,FTV,CACHED,0,0
fundamentals,GD,CACHED,0,0
fundamentals,GDDY,CACHED,0,0
fundamentals,GE,CACHED,0,0
fundamentals,GEHC,CACHED,0,0
fundamentals,GEN,CACHED,0,0
fundamentals,GEV,CACHED,0,0
fundamentals,GILD,CACHED,0,0
fundamentals,GIS,CACHED,0,0
fundamentals,GL,CACHED,0,0
