name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_level_raw,scenario,orthogonal,0.0386,2.26,-0.015,-0.75,False,True
f_level_sn,scenario,orthogonal,0.0546,3.07,-0.0163,-0.81,False,True
f_chg1_raw,scenario,orthogonal,0.0366,2.16,-0.0124,-0.65,False,True
f_chg1_sn,scenario,orthogonal,0.0368,2.24,-0.0126,-0.65,False,True
f_accel_raw,scenario,orthogonal,0.0289,1.82,-0.0066,-0.37,False,True
f_accel_sn,scenario,orthogonal,0.0317,1.89,-0.0077,-0.43,False,True
f_lag1_raw,scenario,orthogonal,-0.0058,-0.32,0.0009,0.04,False,False
f_lag1_sn,scenario,orthogonal,0.0025,0.13,0.001,0.05,True,False
f_rmean_5_raw,scenario,orthogonal,0.0058,0.34,-0.0252,-1.34,False,True
f_rmean_5_sn,scenario,orthogonal,0.0095,0.51,-0.0263,-1.4,False,True
f_rstd_5_raw,scenario,orthogonal,-0.0007,-0.04,-0.0039,-0.19,False,False
f_rstd_5_sn,scenario,orthogonal,0.0022,0.13,-0.006,-0.29,False,True
f_rchg_5_raw,scenario,orthogonal,0.0436,2.59,-0.0109,-0.51,False,True
f_rchg_5_sn,scenario,orthogonal,0.0447,2.84,-0.0107,-0.5,False,True
f_rmean_21_raw,scenario,orthogonal,-0.0168,-0.98,-0.0294,-1.71,False,False
f_rmean_21_sn,scenario,orthogonal,-0.0099,-0.54,-0.031,-1.79,False,False
f_rstd_21_raw,scenario,orthogonal,-0.0107,-0.55,-0.0003,-0.02,False,False
f_rstd_21_sn,scenario,orthogonal,-0.0131,-0.71,-0.0019,-0.1,False,False
f_rchg_21_raw,scenario,orthogonal,0.0556,3.07,0.0214,1.12,True,False
f_rchg_21_sn,scenario,orthogonal,0.0538,3.01,0.0214,1.12,True,False
f_rmean_63_raw,scenario,orthogonal,0.0093,0.5,-0.0301,-1.95,False,True
f_rmean_63_sn,scenario,orthogonal,0.009,0.52,-0.0326,-2.11,False,True
f_rstd_63_raw,scenario,orthogonal,-0.0074,-0.38,0.0153,0.79,False,False
f_rstd_63_sn,scenario,orthogonal,-0.0084,-0.53,0.0144,0.74,False,False
f_rchg_63_raw,scenario,orthogonal,0.0344,1.96,-0.0026,-0.12,False,True
