section,field,pit_usable,date_field,history_rows,first_date,last_date
Earnings::History,reportDate,True,reportDate,131,1993-12-31,2026-07-30
Earnings::History,epsActual,True,reportDate,131,1993-12-31,2026-07-30
Earnings::History,epsEstimate,True,reportDate,131,1993-12-31,2026-07-30
Earnings::History,epsDifference,True,reportDate,131,1993-12-31,2026-07-30
Earnings::History,surprisePercent,True,reportDate,131,1993-12-31,2026-07-30
Financials::quarterly,filing_date,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,totalRevenue,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,grossProfit,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,operatingIncome,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,netIncome,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,totalAssets,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,shortLongTermDebtTotal,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,commonStockSharesOutstanding,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,totalCashFromOperatingActivities,True,filing_date,163,1985-09-30,2026-05-01
Financials::quarterly,freeCashFlow,True,filing_date,163,1985-09-30,2026-05-01
General,Code,False,,0,,
General,Type,False,,0,,
General,Name,False,,0,,
General,Exchange,False,,0,,
General,CurrencyCode,False,,0,,
General,CurrencyName,False,,0,,
General,CurrencySymbol,False,,0,,
General,CountryName,False,,0,,
General,CountryISO,False,,0,,
General,OpenFigi,False,,0,,
General,ISIN,False,,0,,
General,LEI,False,,0,,
Highlights,MarketCapitalization,False,,0,,
Highlights,MarketCapitalizationMln,False,,0,,
Highlights,EBITDA,False,,0,,
Highlights,PERatio,False,,0,,
Highlights,PEGRatio,False,,0,,
Highlights,WallStreetTargetPrice,False,,0,,
Highlights,BookValue,False,,0,,
Highlights,DividendShare,False,,0,,
Highlights,DividendYield,False,,0,,
Highlights,EarningsShare,False,,0,,
Highlights,EPSEstimateCurrentYear,False,,0,,
Highlights,EPSEstimateNextYear,False,,0,,
Valuation,TrailingPE,False,,0,,
Valuation,ForwardPE,False,,0,,
Valuation,PriceSalesTTM,False,,0,,
Valuation,PriceBookMRQ,False,,0,,
Valuation,EnterpriseValue,False,,0,,
Valuation,EnterpriseValueRevenue,False,,0,,
Valuation,EnterpriseValueEbitda,False,,0,,
SharesStats,SharesOutstanding,False,,0,,
SharesStats,SharesFloat,False,,0,,
SharesStats,PercentInsiders,False,,0,,
SharesStats,PercentInstitutions,False,,0,,
SharesStats,SharesShort,False,,0,,
SharesStats,SharesShortPriorMonth,False,,0,,
SharesStats,ShortRatio,False,,0,,
SharesStats,ShortPercentOutstanding,False,,0,,
SharesStats,ShortPercentFloat,False,,0,,
Technicals,Beta,False,,0,,
Technicals,52WeekHigh,False,,0,,
Technicals,52WeekLow,False,,0,,
Technicals,50DayMA,False,,0,,
Technicals,200DayMA,False,,0,,
Technicals,SharesShort,False,,0,,
Technicals,SharesShortPriorMonth,False,,0,,
Technicals,ShortRatio,False,,0,,
Technicals,ShortPercent,False,,0,,
SplitsDividends,ForwardAnnualDividendRate,False,,0,,
SplitsDividends,ForwardAnnualDividendYield,False,,0,,
SplitsDividends,PayoutRatio,False,,0,,
SplitsDividends,DividendDate,False,,0,,
SplitsDividends,ExDividendDate,False,,0,,
SplitsDividends,LastSplitFactor,False,,0,,
SplitsDividends,LastSplitDate,False,,0,,
SplitsDividends,NumberDividendsByYear,False,,0,,
AnalystRatings,Rating,False,,0,,
AnalystRatings,TargetPrice,False,,0,,
AnalystRatings,StrongBuy,False,,0,,
AnalystRatings,Buy,False,,0,,
AnalystRatings,Hold,False,,0,,
AnalystRatings,Sell,False,,0,,
AnalystRatings,StrongSell,False,,0,,
Holders,Institutions,False,,0,,
Holders,Funds,False,,0,,
ESGScores,Disclaimer,False,,0,,
ESGScores,RatingDate,False,,0,,
ESGScores,TotalEsg,False,,0,,
ESGScores,TotalEsgPercentile,False,,0,,
ESGScores,EnvironmentScore,False,,0,,
ESGScores,EnvironmentScorePercentile,False,,0,,
ESGScores,SocialScore,False,,0,,
ESGScores,SocialScorePercentile,False,,0,,
ESGScores,GovernanceScore,False,,0,,
ESGScores,GovernanceScorePercentile,False,,0,,
ESGScores,ControversyLevel,False,,0,,
ESGScores,ActivitiesInvolvement,False,,0,,
Earnings::Trend,2027-09-30,False,,0,,
Earnings::Trend,2026-09-30,False,,0,,
Earnings::Trend,2026-06-30,False,,0,,
Earnings::Trend,2026-03-31,False,,0,,
Earnings::Trend,2025-12-31,False,,0,,
Earnings::Trend,2025-09-30,False,,0,,
Earnings::Trend,2025-06-30,False,,0,,
Earnings::Trend,2025-03-31,False,,0,,
Earnings::Trend,2024-12-31,False,,0,,
Earnings::Trend,2024-09-30,False,,0,,
Earnings::Trend,2024-06-30,False,,0,,
Earnings::Trend,2024-03-31,False,,0,,
Earnings::Annual,2026-03-31,False,,0,,
Earnings::Annual,2025-09-30,False,,0,,
Earnings::Annual,2024-09-30,False,,0,,
Earnings::Annual,2023-09-30,False,,0,,
Earnings::Annual,2022-09-30,False,,0,,
Earnings::Annual,2021-09-30,False,,0,,
Earnings::Annual,2020-09-30,False,,0,,
Earnings::Annual,2019-09-30,False,,0,,
Earnings::Annual,2018-09-30,False,,0,,
Earnings::Annual,2017-09-30,False,,0,,
Earnings::Annual,2016-09-30,False,,0,,
Earnings::Annual,2015-09-30,False,,0,,
