feature_col,family,transform,description,orthogonal_to,coverage
f_level,eodhd_earnings_surprise,earnings_surprise,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38237
f_chg1,eodhd_earnings_surprise,earnings_surprise,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_accel,eodhd_earnings_surprise,earnings_surprise,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38042
f_lag1,eodhd_earnings_surprise,earnings_surprise,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rmean_5,eodhd_earnings_surprise,earnings_surprise,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rstd_5,eodhd_earnings_surprise,earnings_surprise,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rchg_5,eodhd_earnings_surprise,earnings_surprise,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rmean_21,eodhd_earnings_surprise,earnings_surprise,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rstd_21,eodhd_earnings_surprise,earnings_surprise,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rchg_21,eodhd_earnings_surprise,earnings_surprise,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rmean_63,eodhd_earnings_surprise,earnings_surprise,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rstd_63,eodhd_earnings_surprise,earnings_surprise,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_rchg_63,eodhd_earnings_surprise,earnings_surprise,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38159
f_z,eodhd_earnings_surprise,earnings_surprise,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38237
f_sector_z,eodhd_earnings_surprise,earnings_surprise,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),37949
f_rank,eodhd_earnings_surprise,earnings_surprise,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38237
f_winz,eodhd_earnings_surprise,earnings_surprise,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38237
f_x_surprise,eodhd_earnings_surprise,earnings_surprise,cross-family interaction: earnings_surprise x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36862
f_x_quality,eodhd_earnings_surprise,earnings_surprise,cross-family interaction: earnings_surprise x quality,NO (orthogonal to EODHD earnings/fundamentals/price),36826
f_x_value,eodhd_earnings_surprise,earnings_surprise,cross-family interaction: earnings_surprise x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36689
f_x_mom,eodhd_earnings_surprise,earnings_surprise,cross-family interaction: earnings_surprise x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20304
f_level,eodhd_eps_growth_yoy,eps_growth_yoy,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38473
f_chg1,eodhd_eps_growth_yoy,eps_growth_yoy,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_accel,eodhd_eps_growth_yoy,eps_growth_yoy,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38324
f_lag1,eodhd_eps_growth_yoy,eps_growth_yoy,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rmean_5,eodhd_eps_growth_yoy,eps_growth_yoy,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rstd_5,eodhd_eps_growth_yoy,eps_growth_yoy,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38398
