family,signal,horizon_days,n_months,n_events,mean_ic,ic_t,note
eodhd_earnings_surprise,earnings_surprise,1,120,38237,0.00942,0.621,
eodhd_earnings_surprise,earnings_surprise,5,120,38237,0.00087,0.059,
eodhd_earnings_surprise,earnings_surprise,21,120,38237,0.0112,0.689,primary
eodhd_earnings_surprise,earnings_surprise,63,118,37753,0.01384,1.019,
eodhd_earnings_surprise,earnings_surprise__z,1,120,38237,0.00942,0.621,
eodhd_earnings_surprise,earnings_surprise__z,5,120,38237,0.00087,0.059,
eodhd_earnings_surprise,earnings_surprise__z,21,120,38237,0.0112,0.689,primary
eodhd_earnings_surprise,earnings_surprise__z,63,118,37753,0.01384,1.019,
eodhd_eps_growth_yoy,eps_growth_yoy,1,120,38473,0.00673,0.458,
eodhd_eps_growth_yoy,eps_growth_yoy,5,120,38473,0.01435,0.984,
eodhd_eps_growth_yoy,eps_growth_yoy,21,120,38473,0.0083,0.481,primary
eodhd_eps_growth_yoy,eps_growth_yoy,63,118,37992,0.02897,1.557,
eodhd_eps_growth_yoy,eps_growth_yoy__z,1,120,38473,0.00673,0.458,
eodhd_eps_growth_yoy,eps_growth_yoy__z,5,120,38473,0.01435,0.984,
eodhd_eps_growth_yoy,eps_growth_yoy__z,21,120,38473,0.0083,0.481,primary
eodhd_eps_growth_yoy,eps_growth_yoy__z,63,118,37992,0.02897,1.557,
eodhd_revenue_growth_yoy,rev_growth_yoy,1,120,38597,-0.00891,-0.559,
eodhd_revenue_growth_yoy,rev_growth_yoy,5,120,38597,0.01455,0.883,
eodhd_revenue_growth_yoy,rev_growth_yoy,21,120,38597,0.00849,0.448,primary
eodhd_revenue_growth_yoy,rev_growth_yoy,63,118,38109,0.01557,0.743,
eodhd_revenue_growth_yoy,rev_growth_yoy__z,1,120,38597,-0.00891,-0.559,
eodhd_revenue_growth_yoy,rev_growth_yoy__z,5,120,38597,0.01455,0.883,
eodhd_revenue_growth_yoy,rev_growth_yoy__z,21,120,38597,0.00849,0.448,primary
eodhd_revenue_growth_yoy,rev_growth_yoy__z,63,118,38109,0.01557,0.743,
eodhd_gross_profitability,gross_profitability,1,120,38512,-0.00323,-0.243,
