name,kind,family,ic_t,bh_significant,reject_reasons
f_level_raw,scenario,orthogonal,0.69,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_level_sn,scenario,orthogonal,0.76,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_chg1_raw,scenario,orthogonal,1.11,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
f_chg1_sn,scenario,orthogonal,1.3,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split
f_accel_raw,scenario,orthogonal,1.04,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
f_accel_sn,scenario,orthogonal,1.62,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split
f_lag1_raw,scenario,orthogonal,0.01,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_lag1_sn,scenario,orthogonal,-0.18,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rmean_5_raw,scenario,orthogonal,-0.85,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rmean_5_sn,scenario,orthogonal,-0.47,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rstd_5_raw,scenario,orthogonal,-0.11,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rstd_5_sn,scenario,orthogonal,0.17,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability
f_rchg_5_raw,scenario,orthogonal,1.31,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
f_rchg_5_sn,scenario,orthogonal,1.17,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
f_rmean_21_raw,scenario,orthogonal,-2.0,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rmean_21_sn,scenario,orthogonal,-0.97,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rstd_21_raw,scenario,orthogonal,-0.67,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
f_rstd_21_sn,scenario,orthogonal,-0.0,False,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability
f_rchg_21_raw,scenario,orthogonal,2.96,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); single-sector-dominated (>60% one sector)
f_rchg_21_sn,scenario,orthogonal,2.02,False,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; single-sector-dominated (>60% one sector)
