name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
f_level_raw,scenario,Unknown,0.7604,0.586,True
f_level_sn,scenario,Unknown,0.7317,0.5448,True
f_chg1_raw,scenario,Unknown,0.81,0.661,True
f_chg1_sn,scenario,Unknown,0.5372,0.3195,False
f_accel_raw,scenario,Unknown,0.7724,0.604,True
f_accel_sn,scenario,Unknown,0.5154,0.3005,False
f_lag1_raw,scenario,Unknown,0.6799,0.4793,True
f_lag1_sn,scenario,Unknown,0.8537,0.732,True
f_rmean_5_raw,scenario,Unknown,0.7251,0.5382,True
f_rmean_5_sn,scenario,Unknown,0.7962,0.6395,True
f_rstd_5_raw,scenario,Unknown,0.816,0.6701,True
f_rstd_5_sn,scenario,Unknown,0.3933,0.2031,False
f_rchg_5_raw,scenario,Unknown,0.7856,0.623,True
f_rchg_5_sn,scenario,Unknown,0.6351,0.4245,True
f_rmean_21_raw,scenario,Unknown,0.7228,0.5341,True
f_rmean_21_sn,scenario,Unknown,0.6662,0.466,True
f_rstd_21_raw,scenario,Unknown,0.7919,0.6339,True
f_rstd_21_sn,scenario,Unknown,0.5075,0.288,False
f_rchg_21_raw,scenario,Unknown,0.7777,0.6114,True
f_rchg_21_sn,scenario,Unknown,0.7317,0.5463,True
f_rmean_63_raw,scenario,Unknown,0.762,0.5917,True
f_rmean_63_sn,scenario,Unknown,0.7334,0.5504,True
f_rstd_63_raw,scenario,Unknown,0.7338,0.5561,True
f_rstd_63_sn,scenario,Unknown,0.5925,0.377,False
f_rchg_63_raw,scenario,Unknown,0.7591,0.5842,True
f_rchg_63_sn,scenario,Unknown,0.7289,0.541,True
f_z_raw,scenario,Unknown,0.7604,0.586,True
f_z_sn,scenario,Unknown,0.7317,0.5448,True
f_sector_z_raw,scenario,Unknown,0.4804,0.2639,False
f_sector_z_sn,scenario,Unknown,0.4804,0.2639,False
f_rank_raw,scenario,Unknown,0.7604,0.586,True
f_rank_sn,scenario,Unknown,0.7859,0.624,True
f_winz_raw,scenario,Unknown,0.7604,0.586,True
f_winz_sn,scenario,Unknown,0.7478,0.5679,True
f_x_surprise_raw,scenario,Unknown,0.7634,0.5899,True
f_x_surprise_sn,scenario,Unknown,0.5528,0.3303,False
f_x_quality_raw,scenario,Unknown,0.7006,0.5042,True
f_x_quality_sn,scenario,Unknown,0.7802,0.6161,True
f_x_value_raw,scenario,Unknown,0.7362,0.5515,True
f_x_value_sn,scenario,Unknown,0.557,0.3396,False
f_x_mom_raw,scenario,Unknown,0.8103,0.6613,True
f_x_mom_sn,scenario,Unknown,0.7022,0.5053,True
orthogonal_blend__ic_weighted,model,Unknown,0.7906,0.6324,True
orthogonal_blend__equal,model,Unknown,0.8013,0.6487,True
f_level_raw,scenario,Unknown,0.6419,0.4368,True
