name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_level_raw,scenario,0.0315,-0.0091,False,120
f_level_sn,scenario,0.0328,-0.0085,False,120
f_chg1_raw,scenario,0.0165,0.0158,True,120
f_chg1_sn,scenario,0.016,0.0232,True,120
f_accel_raw,scenario,0.0101,0.0156,True,120
f_accel_sn,scenario,0.0129,0.0293,True,120
f_lag1_raw,scenario,0.0188,-0.0185,False,120
f_lag1_sn,scenario,0.0146,-0.02,False,120
f_rmean_5_raw,scenario,-0.0136,-0.0109,False,120
f_rmean_5_sn,scenario,-0.0108,-0.0026,False,120
f_rstd_5_raw,scenario,0.0022,-0.0057,False,120
f_rstd_5_sn,scenario,0.0226,-0.0176,False,120
f_rchg_5_raw,scenario,0.0324,0.0076,True,120
f_rchg_5_sn,scenario,0.0322,0.0038,True,120
f_rmean_21_raw,scenario,-0.0103,-0.0423,False,120
f_rmean_21_sn,scenario,-0.0061,-0.0177,False,120
f_rstd_21_raw,scenario,-0.0133,-0.0071,False,120
f_rstd_21_sn,scenario,0.0095,-0.0095,False,120
f_rchg_21_raw,scenario,0.0519,0.0383,True,120
f_rchg_21_sn,scenario,0.0458,0.0135,True,120
f_rmean_63_raw,scenario,-0.0072,-0.0208,False,120
f_rmean_63_sn,scenario,-0.0125,-0.0088,False,120
f_rstd_63_raw,scenario,0.0018,0.0033,True,120
f_rstd_63_sn,scenario,0.027,-0.0081,False,120
f_rchg_63_raw,scenario,0.0329,0.0136,True,120
f_rchg_63_sn,scenario,0.0327,0.0037,True,120
f_z_raw,scenario,0.0315,-0.0091,False,120
f_z_sn,scenario,0.0328,-0.0085,False,120
f_sector_z_raw,scenario,0.0219,-0.0032,False,120
f_sector_z_sn,scenario,0.0219,-0.0032,False,120
f_rank_raw,scenario,0.0315,-0.0091,False,120
f_rank_sn,scenario,0.0272,-0.0116,False,120
f_winz_raw,scenario,0.0314,-0.0091,False,120
f_winz_sn,scenario,0.0313,-0.0079,False,120
f_x_surprise_raw,scenario,0.0048,-0.0188,False,120
f_x_surprise_sn,scenario,0.0121,-0.011,False,120
f_x_quality_raw,scenario,0.0113,-0.0206,False,120
f_x_quality_sn,scenario,-0.0011,-0.0051,False,120
f_x_value_raw,scenario,0.0145,0.0117,True,120
f_x_value_sn,scenario,-0.0029,0.019,False,120
f_x_mom_raw,scenario,-0.0112,-0.0127,False,119
f_x_mom_sn,scenario,-0.0068,-0.0064,False,119
orthogonal_blend__ic_weighted,model,-0.0282,0.0004,False,96
orthogonal_blend__equal,model,0.0066,-0.008,False,96
f_level_raw,scenario,0.0124,0.0042,True,120
f_level_sn,scenario,0.0117,0.0202,True,120
f_chg1_raw,scenario,0.0413,-0.0015,False,120
f_chg1_sn,scenario,0.0352,0.0217,True,120
f_accel_raw,scenario,0.059,0.0163,True,120
f_accel_sn,scenario,0.0535,0.0336,True,120
f_lag1_raw,scenario,-0.0263,0.0006,False,120
f_lag1_sn,scenario,-0.0245,-0.0026,False,120
f_rmean_5_raw,scenario,-0.0184,-0.001,False,120
f_rmean_5_sn,scenario,-0.0157,0.0166,False,120
f_rstd_5_raw,scenario,-0.0239,0.0026,False,120
f_rstd_5_sn,scenario,0.0043,0.0076,True,120
f_rchg_5_raw,scenario,0.0164,0.0108,True,120
f_rchg_5_sn,scenario,0.0056,0.016,True,120
f_rmean_21_raw,scenario,-0.0085,-0.0084,False,120
f_rmean_21_sn,scenario,-0.0089,0.0032,False,120
f_rstd_21_raw,scenario,-0.0305,-0.0019,False,120
f_rstd_21_sn,scenario,-0.0184,0.0043,False,120
f_rchg_21_raw,scenario,0.03,0.014,True,120
f_rchg_21_sn,scenario,0.0098,0.0212,True,120
f_rmean_63_raw,scenario,-0.0102,-0.0019,False,120
f_rmean_63_sn,scenario,-0.0096,0.0086,False,120
f_rstd_63_raw,scenario,0.0017,0.0018,True,120
f_rstd_63_sn,scenario,0.008,0.0045,True,120
f_rchg_63_raw,scenario,0.0294,0.0095,True,120
f_rchg_63_sn,scenario,0.0095,0.0109,True,120
f_z_raw,scenario,0.0124,0.0042,True,120
f_z_sn,scenario,0.0117,0.0202,True,120
f_sector_z_raw,scenario,0.0133,0.0163,True,120
f_sector_z_sn,scenario,0.0133,0.0163,True,120
f_rank_raw,scenario,0.0124,0.0042,True,120
f_rank_sn,scenario,0.0148,0.0086,True,120
f_winz_raw,scenario,0.0124,0.0042,True,120
f_winz_sn,scenario,0.0102,0.0183,True,120
f_x_surprise_raw,scenario,-0.0187,-0.0258,False,120
