ticker,review_label,liquidity_proxy,low_liquidity_flag
EXPE,LONG,319234945.75545,False
EA,LONG,356483975.58672,False
JPM,LONG,1614580632.36823,False
BKNG,LONG,883946761.92542,False
STX,LONG,305711234.37018,False
LYV,LONG,170609749.27673,False
LULU,LONG,453086138.99762,False
APP,LONG,958690151.55417,False
RELX,LONG,24333084.99082,True
FOX,LONG,50208974.52873,True
FOXA,LONG,150817976.09935,False
SNDK,LONG,5533086460.11645,False
EXE,LONG,207369272.3459,False
EQT,LONG,250876696.41551,False
ABNB,LONG,784821121.33798,False
NOW,LONG,784865169.87267,False
CHRW,LONG,134570694.32006,False
PM,LONG,446906305.04345,False
DXCM,LONG,658743622.53023,False
RACE,LONG,93826808.24992,True
DPZ,LONG,226791246.30786,False
SHOP,LONG,927856082.40511,False
NVR,LONG,109382583.50874,True
ANET,LONG,404809200.86719,False
FICO,LONG,149712213.23285,False
LVS,LONG,270985182.59841,False
MCO,LONG,229915110.33058,False
VRT,LONG,368724024.0579,False
IVZ,LONG,95898438.00682,True
IP,LONG,167255542.46503,False
EBAY,LONG,364968426.48052,False
FAST,LONG,423423231.78797,False
NFLX,LONG,2701766792.59631,False
SPOT,LONG,528189104.87683,False
LUV,LONG,309487527.52812,False
HDB,LONG,108366327.59013,True
UPS,LONG,419546582.78615,False
SMERY,LONG,7023039.7754,True
GDDY,LONG,122420743.26969,True
DDOG,LONG,488871765.25355,False
BUD,LONG,122397413.77855,True
CMG,LONG,18641712969.90915,False
CNC,LONG,293901918.72667,False
PLTR,LONG,3201525631.14285,False
GEV,LONG,1477850918.10517,False
GNRC,LONG,125625861.01189,False
GD,LONG,256370060.30509,False
NEM,LONG,383433846.09568,False
GWW,LONG,176730641.50985,False
ODFL,LONG,327279121.12856,False
EXPD,LONG,117393215.55295,True
AVY,LONG,85376431.03185,True
ALGN,LONG,238689219.89417,False
FANG,LONG,247907728.78057,False
HAS,LONG,111774839.37287,True
RMD,LONG,135901199.40673,False
RIO,LONG,137204265.01589,False
ADP,LONG,341854575.80015,False
URI,LONG,269902414.51209,False
SCCO,LONG,74326616.86486,True
JBHT,LONG,124187393.9874,True
HAL,LONG,329616790.89879,False
INCY,LONG,139363045.39251,False
TER,LONG,224910182.74848,False
IT,LONG,134733167.67005,False
SNA,LONG,90222869.54326,True
DVN,LONG,335139375.53882,False
NBIS,LONG,1308909597.79717,False
GRMN,LONG,104626747.11514,True
EW,LONG,441954734.79698,False
ECL,LONG,226972617.01153,False
UBER,LONG,1144371239.26847,False
SYK,LONG,326609661.47476,False
TXN,LONG,749828388.64047,False
