side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,cohort,liquidity_proxy,review_status,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
LONG,1,EXPE,9.21291,9.09173,Unknown,True,new,319234945.75545,PAPER_REVIEW_ONLY,0.14161,2026-05-08,-0.1488,2026-05-08
LONG,2,EA,8.29619,8.18347,Unknown,True,new,356483975.58672,PAPER_REVIEW_ONLY,0.13343,2026-02-03,-0.13087,2026-02-03
LONG,3,JPM,6.91003,6.45231,Financials,False,old,1614580632.36823,PAPER_REVIEW_ONLY,0.08325,2026-02-13,-0.08031,2026-02-13
LONG,4,BKNG,6.53289,7.48586,Consumer Discretionary,False,old,883946761.92542,PAPER_REVIEW_ONLY,0.11212,2026-04-28,-0.07691,2026-04-28
LONG,5,STX,5.73212,5.5367,Unknown,True,old,305711234.37018,PAPER_REVIEW_ONLY,0.10718,2026-04-29,-0.04116,2026-04-29
LONG,6,LYV,5.53697,5.45976,Unknown,True,new,170609749.27673,PAPER_REVIEW_ONLY,0.07787,2026-05-05,-0.10465,2026-05-05
LONG,7,LULU,5.28296,5.19578,Unknown,True,new,453086138.99762,PAPER_REVIEW_ONLY,0.11348,2026-03-17,-0.06575,2026-03-17
LONG,8,APP,5.05856,4.9552,Unknown,True,old,958690151.55417,PAPER_REVIEW_ONLY,0.16755,2026-05-06,-0.01113,2026-05-06
LONG,9,RELX,4.77604,4.60116,Unknown,True,old,24333084.99082,PAPER_REVIEW_ONLY,0.1005,2026-02-19,-0.02766,2026-02-19
LONG,10,FOX,4.73687,4.66366,Unknown,True,new,50208974.52873,PAPER_REVIEW_ONLY,0.08112,2026-05-11,-0.0797,2026-05-11
LONG,11,FOXA,4.73687,4.66366,Unknown,True,new,150817976.09935,PAPER_REVIEW_ONLY,0.08112,2026-05-11,-0.0797,2026-05-11
LONG,12,SNDK,3.67953,3.58237,Unknown,True,old,5533086460.11645,PAPER_REVIEW_ONLY,0.17529,2026-05-01,0.03379,2026-05-01
LONG,13,EXE,3.65676,3.5162,Unknown,True,new,207369272.3459,PAPER_REVIEW_ONLY,0.05742,2026-04-28,-0.04211,2026-04-28
LONG,14,EQT,3.41744,3.28109,Unknown,True,new,250876696.41551,PAPER_REVIEW_ONLY,0.05892,2026-04-22,-0.03601,2026-04-22
LONG,15,ABNB,3.37082,3.31193,Unknown,True,old,784821121.33798,PAPER_REVIEW_ONLY,0.06366,2026-05-07,-0.0577,2026-05-07
LONG,16,NOW,3.36541,4.08509,Information Technology,False,old,784865169.87267,PAPER_REVIEW_ONLY,0.06271,2026-04-23,-0.04926,2026-04-23
LONG,17,CHRW,3.32597,3.19116,Unknown,True,new,134570694.32006,PAPER_REVIEW_ONLY,0.05978,2026-02-13,-0.03343,2026-02-13
LONG,18,PM,3.23097,3.44856,Consumer Staples,False,old,446906305.04345,PAPER_REVIEW_ONLY,0.06165,2026-02-06,-0.03712,2026-02-06
