ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
EXPE,LONG,Unknown,True,False,False,True,new,True,False
EA,LONG,Unknown,True,False,False,True,new,True,False
JPM,LONG,Financials,False,False,False,True,old,False,False
BKNG,LONG,Consumer Discretionary,False,False,False,True,old,False,False
STX,LONG,Unknown,True,False,False,True,old,False,False
LYV,LONG,Unknown,True,False,False,True,new,True,False
LULU,LONG,Unknown,True,False,False,True,new,True,False
APP,LONG,Unknown,True,False,False,True,old,False,False
RELX,LONG,Unknown,True,True,False,True,old,False,False
FOX,LONG,Unknown,True,True,False,True,new,True,False
FOXA,LONG,Unknown,True,False,False,True,new,True,False
SNDK,LONG,Unknown,True,False,False,False,old,False,False
EXE,LONG,Unknown,True,False,False,False,new,True,False
EQT,LONG,Unknown,True,False,False,False,new,True,False
ABNB,LONG,Unknown,True,False,False,False,old,False,False
NOW,LONG,Information Technology,False,False,False,False,old,False,False
CHRW,LONG,Unknown,True,False,False,False,new,True,False
PM,LONG,Consumer Staples,False,False,False,False,old,False,False
DXCM,LONG,Unknown,True,False,False,False,new,True,False
RACE,LONG,Unknown,True,True,False,False,old,False,False
DPZ,LONG,Unknown,True,False,False,False,new,True,False
SHOP,LONG,Unknown,True,False,False,False,old,False,False
NVR,LONG,Unknown,True,True,False,False,new,True,False
ANET,LONG,Unknown,True,False,False,False,old,False,False
FICO,LONG,Unknown,True,False,False,False,new,True,False
LVS,LONG,Unknown,True,False,False,False,new,True,False
MCO,LONG,Financials,False,False,False,False,old,False,False
VRT,LONG,Unknown,True,False,False,False,old,False,False
IVZ,LONG,Unknown,True,True,False,False,new,True,False
IP,LONG,Unknown,True,False,False,False,new,True,False
EBAY,LONG,Unknown,True,False,False,False,new,True,False
FAST,LONG,Unknown,True,False,False,False,new,True,False
NFLX,LONG,Communication Services,False,False,False,False,old,False,False
SPOT,LONG,Unknown,True,False,False,False,old,False,False
LUV,LONG,Unknown,True,False,False,False,new,True,False
HDB,LONG,Unknown,True,True,False,False,old,False,False
UPS,LONG,Industrials,False,False,False,False,old,False,False
SMERY,LONG,Unknown,True,True,False,False,old,False,False
GDDY,LONG,Unknown,True,True,False,False,new,True,False
DDOG,LONG,Unknown,True,False,False,False,old,False,False
BUD,LONG,Unknown,True,True,False,False,old,False,False
CMG,LONG,Consumer Discretionary,False,False,False,False,new,True,False
CNC,LONG,Unknown,True,False,False,False,new,True,False
PLTR,LONG,Unknown,True,False,False,False,old,False,False
GEV,LONG,Unknown,True,False,False,False,old,False,False
GNRC,LONG,Unknown,True,False,False,False,new,True,False
GD,LONG,Industrials,False,False,False,False,old,False,False
NEM,LONG,Unknown,True,False,False,False,old,False,False
GWW,LONG,Unknown,True,False,False,False,old,False,False
ODFL,LONG,Unknown,True,False,False,False,new,True,False
EXPD,LONG,Unknown,True,True,False,False,new,True,False
AVY,LONG,Unknown,True,True,False,False,new,True,False
ALGN,LONG,Unknown,True,False,False,False,new,True,False
FANG,LONG,Unknown,True,False,False,False,new,True,False
HAS,LONG,Unknown,True,True,False,False,new,True,False
RMD,LONG,Unknown,True,False,False,False,new,True,False
RIO,LONG,Unknown,True,False,False,False,old,False,False
ADP,LONG,Industrials,False,False,False,False,old,False,False
URI,LONG,Unknown,True,False,False,False,old,False,False
SCCO,LONG,Unknown,True,True,False,False,old,False,False
JBHT,LONG,Unknown,True,True,False,False,new,True,False
HAL,LONG,Unknown,True,False,False,False,new,True,False
INCY,LONG,Unknown,True,False,False,False,new,True,False
TER,LONG,Unknown,True,False,False,False,old,False,False
IT,LONG,Unknown,True,False,False,False,new,True,False
SNA,LONG,Unknown,True,True,False,False,new,True,False
DVN,LONG,Unknown,True,False,False,False,new,True,False
NBIS,LONG,Unknown,True,False,False,False,old,False,False
GRMN,LONG,Unknown,True,True,False,False,new,True,False
EW,LONG,Unknown,True,False,False,False,new,True,False
ECL,LONG,Unknown,True,False,False,False,old,False,False
UBER,LONG,Industrials,False,False,False,False,old,False,False
SYK,LONG,Health Care,False,False,False,False,old,False,False
TXN,LONG,Information Technology,False,False,False,False,old,False,False
FTNT,LONG,Unknown,True,False,False,False,old,False,False
HLT,LONG,Unknown,True,False,False,False,old,False,False
ABBV,LONG,Health Care,False,False,False,False,old,False,False
DAL,LONG,Unknown,True,False,False,False,new,True,False
WM,LONG,Industrials,False,False,False,False,old,False,False
VRTX,LONG,Health Care,False,False,False,False,old,False,False
IDXX,LONG,Unknown,True,False,False,False,new,True,False
MCK,LONG,Unknown,True,False,False,False,old,False,False
HTHIY,LONG,Unknown,True,True,False,False,old,False,False
CDNS,LONG,Information Technology,False,False,False,False,old,False,False
HST,LONG,Unknown,True,False,False,False,new,True,False
PKG,LONG,Unknown,True,True,False,False,new,True,False
HOOD,LONG,Unknown,True,False,False,False,old,False,False
UNP,LONG,Industrials,False,False,False,False,old,False,False
XYZ,LONG,Unknown,True,False,False,False,new,True,False
CCI,LONG,Unknown,True,False,False,False,new,True,False
GEN,LONG,Unknown,True,False,False,False,new,True,False
CAG,LONG,Unknown,True,False,False,False,new,True,False
CAH,LONG,Unknown,True,False,False,False,new,True,False
ITW,LONG,Industrials,False,False,False,False,old,False,False
CTAS,LONG,Unknown,True,False,False,False,old,False,False
MNST,LONG,Unknown,True,False,False,False,old,False,False
AAPL,LONG,Information Technology,False,False,False,False,old,False,False
SONY,HOLD,Unknown,True,True,False,False,old,False,False
RCL,HOLD,Unknown,True,False,False,False,old,False,False
NWS,HOLD,Unknown,True,True,False,False,new,True,False
NWSA,HOLD,Unknown,True,True,False,False,new,True,False
OTIS,HOLD,Unknown,True,False,False,False,new,True,False
MELI,HOLD,Unknown,True,False,False,False,old,False,False
