ticker,review_label,rank_sn,comp_sn,issue,recommended_remediation
EXPE,LONG,1,9.21291,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
EA,LONG,2,8.29619,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
STX,LONG,5,5.73212,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
LYV,LONG,6,5.53697,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
LULU,LONG,7,5.28296,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
APP,LONG,8,5.05856,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
RELX,LONG,9,4.77604,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
FOX,LONG,10,4.73687,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
FOXA,LONG,11,4.73687,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
SNDK,LONG,12,3.67953,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
EXE,LONG,13,3.65676,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
EQT,LONG,14,3.41744,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
ABNB,LONG,15,3.37082,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
CHRW,LONG,17,3.32597,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
DXCM,LONG,19,3.19167,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
RACE,LONG,20,3.12393,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
DPZ,LONG,21,3.10774,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
SHOP,LONG,22,3.01957,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
NVR,LONG,23,2.93341,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
ANET,LONG,24,2.79105,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
FICO,LONG,25,2.76089,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
LVS,LONG,26,2.75877,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
VRT,LONG,28,2.59402,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
IVZ,LONG,29,2.5786,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
IP,LONG,30,2.56914,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
EBAY,LONG,31,2.52439,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
FAST,LONG,32,2.44255,sector unmapped in owned Norgate/EODHD metadata,map sector from owned Norgate symbol metadata / EODHD fundamentals General::Sector; re-run the sector-neutral composite before sizing this name
