ticker,before_rank_sn,after_rank_sn,rank_delta(up=+),before_comp_sn,after_comp_sn,before_label,after_label
NWS,100,441,-341,1.00118,-2.0275,HOLD,SHORT
NWSA,101,442,-341,1.00118,-2.0275,HOLD,SHORT
WBD,200,466,-266,0.05221,-3.08076,HOLD,SHORT
LIN,363,118,245,-0.84122,0.83836,HOLD,HOLD
DIS,210,450,-240,0.0,-2.23476,HOLD,SHORT
SHW,212,447,-235,-0.0,-2.12023,HOLD,SHORT
DECK,173,394,-221,0.25538,-1.1666,HOLD,SHORT
DASH,132,351,-219,0.65554,-0.72426,HOLD,HOLD
MELI,103,296,-193,0.97117,-0.37414,HOLD,HOLD
SLB,213,22,191,-0.0,2.79294,HOLD,LONG
RCL,99,290,-191,1.01085,-0.32994,HOLD,HOLD
MCD,196,382,-186,0.09772,-1.00467,HOLD,HOLD
SONY,98,282,-184,1.04843,-0.28867,HOLD,HOLD
MAR,206,390,-184,0.02474,-1.0857,HOLD,SHORT
HD,227,402,-175,-0.12246,-1.24905,HOLD,SHORT
AMCR,374,205,169,-0.90283,0.16407,HOLD,HOLD
BABA,267,432,-165,-0.31348,-1.7991,HOLD,SHORT
SW,381,219,162,-0.97822,0.08012,HOLD,HOLD
CL,286,126,160,-0.41641,0.78599,HOLD,HOLD
RL,274,434,-160,-0.35569,-1.84533,HOLD,SHORT
IFF,306,149,157,-0.54833,0.5572,HOLD,HOLD
SRE,355,199,156,-0.77046,0.20294,HOLD,HOLD
PEG,356,200,156,-0.77336,0.20009,HOLD,HOLD
DD,296,143,153,-0.47711,0.63626,HOLD,HOLD
CF,297,144,153,-0.48234,0.6311,HOLD,HOLD
AEM,298,145,153,-0.48299,0.63048,HOLD,HOLD
EXC,342,189,153,-0.72121,0.25754,HOLD,HOLD
AES,330,180,150,-0.65154,0.33449,HOLD,HOLD
ATO,376,227,149,-0.92504,0.03145,HOLD,HOLD
LNT,326,178,148,-0.64402,0.34326,HOLD,HOLD
AEP,378,233,145,-0.96121,-0.00874,HOLD,HOLD
DTE,308,164,144,-0.54955,0.44776,HOLD,HOLD
PNW,380,236,144,-0.97152,-0.02025,HOLD,HOLD
MGM,199,342,-143,0.0707,-0.68099,HOLD,HOLD
EVRG,384,245,139,-1.02546,-0.08013,HOLD,HOLD
PPL,394,255,139,-1.06394,-0.12258,SHORT,HOLD
AEE,268,131,137,-0.32083,0.70147,HOLD,HOLD
NCLH,310,445,-135,-0.57061,-2.08557,HOLD,SHORT
PSKY,340,475,-135,-0.71034,-3.92553,HOLD,SHORT
NI,405,273,132,-1.1811,-0.25238,SHORT,HOLD
RTX,220,352,-132,-0.06206,-0.74313,HOLD,HOLD
ALB,241,110,131,-0.19746,0.94671,HOLD,HOLD
DHI,143,270,-127,0.50332,-0.23468,HOLD,HOLD
GE,187,314,-127,0.14607,-0.53084,HOLD,HOLD
ES,250,124,126,-0.23355,0.79852,HOLD,HOLD
D,413,297,116,-1.30171,-0.38645,SHORT,HOLD
LITE,226,338,-112,-0.12051,-0.66905,HOLD,HOLD
CDW,246,358,-112,-0.21646,-0.7752,HOLD,HOLD
AKAM,180,291,-111,0.18531,-0.33016,HOLD,HOLD
CMS,359,249,110,-0.78972,-0.09244,HOLD,HOLD
MSI,204,312,-108,0.0304,-0.50135,HOLD,HOLD
ETR,360,253,107,-0.80157,-0.11047,HOLD,HOLD
LDOS,262,369,-107,-0.28744,-0.85374,HOLD,HOLD
FLEX,218,324,-106,-0.05391,-0.59515,HOLD,HOLD
EIX,300,196,104,-0.48608,0.21786,HOLD,HOLD
EQIX,261,365,-104,-0.28676,-0.79615,HOLD,HOLD
PCG,322,220,102,-0.62358,0.07497,HOLD,HOLD
NRG,420,318,102,-1.45547,-0.55658,SHORT,HOLD
SATS,277,379,-102,-0.37404,-0.95047,HOLD,HOLD
HUM,201,302,-101,0.04867,-0.42353,HOLD,HOLD
ALAB,151,250,-99,0.39412,-0.09723,HOLD,HOLD
PLD,166,265,-99,0.28676,-0.19719,HOLD,HOLD
NUE,264,363,-99,-0.29381,-0.78844,HOLD,HOLD
HAS,55,153,-98,1.78181,0.52558,LONG,HOLD
DHR,235,333,-98,-0.15835,-0.63808,HOLD,HOLD
ASX,239,336,-97,-0.18307,-0.65323,HOLD,HOLD
AZN,270,366,-96,-0.32668,-0.80671,HOLD,HOLD
ARM,291,387,-96,-0.45761,-1.04243,HOLD,SHORT
AWK,402,307,95,-1.16119,-0.46427,SHORT,HOLD
CEG,424,330,94,-1.5209,-0.62892,SHORT,HOLD
MOS,433,339,94,-1.65709,-0.67263,SHORT,HOLD
MO,149,56,93,0.41641,1.7104,HOLD,LONG
NVS,158,251,-93,0.36387,-0.10553,HOLD,HOLD
SNY,266,359,-93,-0.29921,-0.77815,HOLD,HOLD
DGX,279,372,-93,-0.38965,-0.87191,HOLD,HOLD
FFIV,217,309,-92,-0.03809,-0.4706,HOLD,HOLD
APD,113,23,90,0.84122,2.70529,HOLD,LONG
STM,157,247,-90,0.36414,-0.08977,HOLD,HOLD
GM,320,410,-90,-0.61124,-1.36545,HOLD,SHORT
NXPI,276,364,-88,-0.36708,-0.7953,HOLD,HOLD
TEL,161,246,-85,0.35039,-0.0838,HOLD,HOLD
PRU,347,263,84,-0.73206,-0.1813,HOLD,HOLD
NWG,301,218,83,-0.48656,0.09075,HOLD,HOLD
KKR,305,222,83,-0.51217,0.06261,HOLD,HOLD
BAM,345,262,83,-0.72509,-0.1727,HOLD,HOLD
APO,284,202,82,-0.40791,0.17806,HOLD,HOLD
FISV,343,261,82,-0.72144,-0.1695,HOLD,HOLD
CRH,439,357,82,-1.74697,-0.77247,SHORT,HOLD
LYB,436,355,81,-1.73086,-0.75435,SHORT,HOLD
GPN,278,198,80,-0.3802,0.20893,HOLD,HOLD
HSBC,323,243,80,-0.63377,-0.07228,HOLD,HOLD
MFG,338,258,80,-0.6994,-0.14509,HOLD,HOLD
ED,428,348,80,-1.59338,-0.70947,SHORT,HOLD
MFC,317,238,79,-0.599,-0.03372,HOLD,HOLD
MDLZ,406,327,79,-1.21692,-0.60956,SHORT,HOLD
VALE,307,386,-79,-0.54896,-1.03346,HOLD,HOLD
MET,318,240,78,-0.60345,-0.03865,HOLD,HOLD
AIG,373,295,78,-0.89984,-0.36727,HOLD,HOLD
PG,243,167,76,-0.20957,0.41744,HOLD,HOLD
ING,393,317,76,-1.06175,-0.54676,SHORT,HOLD
SAP,304,380,-76,-0.51181,-0.95147,HOLD,HOLD
L,391,316,75,-1.05644,-0.54095,SHORT,HOLD
ON,136,210,-74,0.62007,0.15207,HOLD,HOLD
UNP,88,160,-72,1.14271,0.47269,LONG,HOLD
AJG,234,162,72,-0.15678,0.45671,HOLD,HOLD
BN,400,329,71,-1.13532,-0.62883,SHORT,HOLD
ITUB,198,128,70,0.07714,0.7162,HOLD,HOLD
BIIB,131,201,-70,0.67117,0.19981,HOLD,HOLD
DUK,216,286,-70,-0.02205,-0.30049,HOLD,HOLD
BA,349,419,-70,-0.73482,-1.43085,HOLD,SHORT
FCX,134,203,-69,0.64124,0.17636,HOLD,HOLD
B,106,38,68,0.95064,2.21989,HOLD,LONG
PTC,339,407,-68,-0.70943,-1.31988,HOLD,SHORT
MCHP,127,192,-65,0.70628,0.24782,HOLD,HOLD
SO,207,272,-65,0.02205,-0.25151,HOLD,HOLD
ORLY,389,325,64,-1.05032,-0.60026,SHORT,HOLD
STLD,328,392,-64,-0.64764,-1.13492,HOLD,SHORT
TM,397,461,-64,-1.09689,-2.66774,SHORT,SHORT
NOK,120,183,-63,0.76266,0.319,HOLD,HOLD
NET,125,188,-63,0.71673,0.25897,HOLD,HOLD
EPD,167,230,-63,0.28314,0.0068,HOLD,HOLD
COIN,189,127,62,0.13755,0.78273,HOLD,HOLD
AIZ,178,117,61,0.19978,0.85223,HOLD,HOLD
EMR,275,214,61,-0.36262,0.10841,HOLD,HOLD
GLW,116,176,-60,0.78916,0.34891,HOLD,HOLD
DOW,112,171,-59,0.86188,0.37402,HOLD,HOLD
HLT,76,134,-58,1.40595,0.67898,LONG,HOLD
BRO,362,304,58,-0.81533,-0.43079,HOLD,HOLD
NTRS,368,310,58,-0.87036,-0.49366,HOLD,HOLD
WM,79,136,-57,1.33545,0.66129,LONG,HOLD
PH,215,158,57,-0.00912,0.50081,HOLD,HOLD
ROP,285,228,57,-0.41617,0.01928,HOLD,HOLD
IFNNY,358,415,-57,-0.78329,-1.40444,HOLD,SHORT
Q,361,418,-57,-0.80565,-1.42891,HOLD,SHORT
SWKS,366,423,-57,-0.85861,-1.48785,HOLD,SHORT
NEE,211,267,-56,-0.0,-0.19729,HOLD,HOLD
MTB,364,308,56,-0.84843,-0.47038,HOLD,HOLD
KEYS,111,166,-55,0.86443,0.42376,HOLD,HOLD
TSLA,290,235,55,-0.45407,-0.01999,HOLD,HOLD
ERIE,392,337,55,-1.06155,-0.66697,SHORT,HOLD
MPWR,369,424,-55,-0.87897,-1.50948,HOLD,SHORT
SMFG,122,69,53,0.73781,1.44879,HOLD,LONG
GRMN,69,122,-53,1.53575,0.8146,LONG,HOLD
KO,135,83,52,0.62947,1.25719,HOLD,LONG
ETN,396,344,52,-1.08894,-0.6971,SHORT,HOLD
MUFG,145,94,51,0.46549,1.1468,HOLD,LONG
TMUS,146,197,-51,0.46042,0.20901,HOLD,HOLD
STT,329,278,51,-0.65112,-0.27271,HOLD,HOLD
CVS,238,289,-51,-0.17873,-0.31446,HOLD,HOLD
JKHY,108,59,49,0.93479,1.66814,HOLD,LONG
BBVA,324,275,49,-0.63748,-0.25848,HOLD,HOLD
FITB,337,288,49,-0.69077,-0.31191,HOLD,HOLD
UBS,341,292,49,-0.71664,-0.33929,HOLD,HOLD
INTC,399,350,49,-1.11883,-0.7178,SHORT,HOLD
CNP,437,388,49,-1.73885,-1.04965,SHORT,SHORT
KMI,142,190,-48,0.52286,0.2524,HOLD,HOLD
PFG,302,254,48,-0.49445,-0.11476,HOLD,HOLD
RVTY,223,271,-48,-0.10514,-0.24274,HOLD,HOLD
DVA,229,277,-48,-0.13195,-0.27249,HOLD,HOLD
KEY,333,285,48,-0.67495,-0.296,HOLD,HOLD
WELL,353,305,48,-0.75141,-0.44795,HOLD,HOLD
CFG,395,347,48,-1.08461,-0.70923,SHORT,HOLD
FDS,271,224,47,-0.34164,0.05578,HOLD,HOLD
TFC,311,264,47,-0.57402,-0.19431,HOLD,HOLD
XOM,315,268,47,-0.59054,-0.19907,HOLD,HOLD
HBAN,334,287,47,-0.68351,-0.30508,HOLD,HOLD
FE,450,403,47,-1.94091,-1.25118,SHORT,SHORT
PKG,86,132,-46,1.18461,0.69681,LONG,HOLD
CHTR,141,187,-46,0.52324,0.27379,HOLD,HOLD
GL,263,217,46,-0.2932,0.09202,HOLD,HOLD
BAX,254,300,-46,-0.25282,-0.40688,HOLD,HOLD
ARE,377,331,46,-0.935,-0.629,HOLD,HOLD
HIG,258,213,45,-0.27681,0.1095,HOLD,HOLD
AMGN,231,276,-45,-0.13877,-0.27005,HOLD,HOLD
CRL,316,361,-45,-0.59419,-0.78551,HOLD,HOLD
CVX,164,120,44,0.33387,0.82604,HOLD,HOLD
MDLN,257,301,-44,-0.26762,-0.42308,HOLD,HOLD
COP,225,182,43,-0.11885,0.32401,HOLD,HOLD
BCS,259,216,43,-0.28087,0.09357,HOLD,HOLD
MTD,214,257,-43,-0.00306,-0.12859,HOLD,HOLD
CNI,240,283,-43,-0.19471,-0.28897,HOLD,HOLD
LLY,319,362,-43,-0.60683,-0.7883,HOLD,HOLD
GEN,91,133,-42,1.10495,0.69024,LONG,HOLD
KDP,357,315,42,-0.78306,-0.53399,HOLD,HOLD
ADP,58,99,-41,1.72391,1.06272,LONG,HOLD
MAA,344,303,41,-0.7249,-0.42475,HOLD,HOLD
CAT,147,107,40,0.43864,0.99722,HOLD,HOLD
EOG,155,115,40,0.37551,0.87259,HOLD,HOLD
IBKR,249,209,40,-0.22939,0.1523,HOLD,HOLD
STE,181,221,-40,0.17944,0.07294,HOLD,HOLD
IQV,183,223,-40,0.16454,0.05631,HOLD,HOLD
COR,292,332,-40,-0.46175,-0.63791,HOLD,HOLD
PFE,295,335,-40,-0.47472,-0.64265,HOLD,HOLD
MRNA,303,343,-40,-0.5003,-0.68437,HOLD,HOLD
GSK,371,411,-40,-0.88524,-1.36697,HOLD,SHORT
GEHC,372,412,-40,-0.89072,-1.37847,HOLD,SHORT
MSFT,168,129,39,0.27875,0.71313,HOLD,HOLD
MRK,280,319,-39,-0.39793,-0.55741,HOLD,HOLD
AMAT,321,360,-39,-0.61923,-0.7827,HOLD,HOLD
AFL,407,368,39,-1.22577,-0.84552,SHORT,HOLD
CPAY,422,383,39,-1.47943,-1.00988,SHORT,HOLD
SAN,208,170,38,0.00987,0.39347,HOLD,HOLD
TRV,219,181,38,-0.05774,0.33177,HOLD,HOLD
RJF,408,370,38,-1.2348,-0.85825,SHORT,HOLD
RF,409,371,38,-1.23874,-0.86373,SHORT,HOLD
OKE,346,384,-38,-0.72629,-1.01398,HOLD,HOLD
LRCX,367,405,-38,-0.8619,-1.27388,HOLD,SHORT
ITW,94,57,37,1.0792,1.70821,LONG,LONG
EFX,237,274,-37,-0.15955,-0.25813,HOLD,HOLD
HTHIY,83,119,-36,1.26844,0.83106,LONG,HOLD
ACGL,191,155,36,0.12251,0.51721,HOLD,HOLD
BDX,172,208,-36,0.25626,0.15767,HOLD,HOLD
EQR,265,229,36,-0.2943,0.01775,HOLD,HOLD
CBOE,429,393,36,-1.60578,-1.14942,SHORT,SHORT
FIS,431,395,36,-1.62788,-1.1734,SHORT,SHORT
SBAC,260,225,35,-0.28236,0.03774,HOLD,HOLD
APH,129,95,34,0.6917,1.1442,HOLD,LONG
MSCI,159,125,34,0.36177,0.78832,HOLD,HOLD
ARES,184,150,34,0.16278,0.54947,HOLD,HOLD
KLAC,432,398,34,-1.64179,-1.18337,SHORT,SHORT
ECL,71,104,-33,1.48229,1.01451,LONG,HOLD
PGR,171,138,33,0.2588,0.6574,HOLD,HOLD
CINF,175,142,33,0.25123,0.63989,HOLD,HOLD
CMCSA,121,154,-33,0.76046,0.51906,HOLD,HOLD
COF,192,159,33,0.10842,0.49493,HOLD,HOLD
REG,382,349,33,-1.022,-0.7155,HOLD,HOLD
FOX,10,42,-32,4.73687,2.11552,LONG,LONG
FOXA,11,43,-32,4.73687,2.11552,LONG,LONG
GD,47,79,-32,1.97281,1.3121,LONG,LONG
BEN,423,391,32,-1.48384,-1.10655,SHORT,SHORT
UBER,72,41,31,1.46949,2.14002,LONG,LONG
EW,70,101,-31,1.52035,1.04779,LONG,HOLD
PODD,148,179,-31,0.41778,0.33759,HOLD,HOLD
AMX,354,385,-31,-0.76998,-1.02238,HOLD,HOLD
IBM,114,84,30,0.80326,1.24415,HOLD,LONG
CSX,163,193,-30,0.33917,0.24552,HOLD,HOLD
APTV,438,468,-30,-1.73972,-3.38069,SHORT,SHORT
DB,126,97,29,0.70639,1.0757,HOLD,LONG
PCAR,162,191,-29,0.3394,0.24849,HOLD,HOLD
EXR,244,215,29,-0.21525,0.09509,HOLD,HOLD
IBN,418,389,29,-1.4442,-1.06575,SHORT,SHORT
MMM,312,340,-28,-0.57752,-0.67468,HOLD,HOLD
TDG,425,397,28,-1.52666,-1.18238,SHORT,SHORT
NKE,448,420,28,-1.86925,-1.43178,SHORT,SHORT
PEP,461,433,28,-2.43395,-1.82792,SHORT,SHORT
GPC,411,439,-28,-1.25068,-2.00968,SHORT,SHORT
F,412,440,-28,-1.2638,-2.02515,SHORT,SHORT
INCY,63,90,-27,1.64809,1.20088,LONG,LONG
FTNT,75,102,-27,1.41213,1.03177,LONG,HOLD
NDAQ,150,123,27,0.4057,0.80173,HOLD,HOLD
IEX,294,321,-27,-0.47375,-0.56846,HOLD,HOLD
ALLE,314,341,-27,-0.58661,-0.67782,HOLD,HOLD
BNY,426,399,27,-1.57397,-1.2025,SHORT,SHORT
BX,452,425,27,-1.97128,-1.59146,SHORT,SHORT
RACE,20,46,-26,3.12393,2.01395,LONG,LONG
UPS,37,63,-26,2.23184,1.57261,LONG,LONG
AVY,52,78,-26,1.80311,1.33899,LONG,LONG
SCCO,60,86,-26,1.68484,1.23795,LONG,LONG
LYG,118,92,26,0.77403,1.18016,HOLD,LONG
ALL,119,93,26,0.768,1.16849,HOLD,LONG
NDSN,140,114,26,0.57255,0.8758,HOLD,HOLD
CSGP,174,148,26,0.25375,0.55901,HOLD,HOLD
AVB,194,168,26,0.10174,0.40901,HOLD,HOLD
BE,287,313,-26,-0.4207,-0.51814,HOLD,HOLD
DOV,327,353,-26,-0.64715,-0.74415,HOLD,HOLD
CI,352,378,-26,-0.74379,-0.94111,HOLD,HOLD
EG,435,409,26,-1.72937,-1.3559,SHORT,SHORT
SBUX,456,430,26,-2.18548,-1.75186,SHORT,SHORT
GEV,45,20,25,2.10737,2.87247,LONG,LONG
TXN,74,49,25,1.44833,1.89524,LONG,LONG
RIO,57,82,-25,1.75263,1.27144,LONG,LONG
DLR,160,135,25,0.35838,0.66869,HOLD,HOLD
INVH,209,184,25,0.00407,0.31373,HOLD,HOLD
BXP,232,207,25,-0.14855,0.15906,HOLD,HOLD
CDNS,84,60,24,1.20307,1.66452,LONG,LONG
ALGN,53,77,-24,1.79308,1.3425,LONG,LONG
RSG,133,109,24,0.64805,0.95909,HOLD,HOLD
LMT,427,451,-24,-1.57987,-2.2679,SHORT,SHORT
EBAY,31,54,-23,2.52439,1.80721,LONG,LONG
HOOD,87,64,23,1.17613,1.57246,LONG,LONG
TER,64,87,-23,1.6419,1.23432,LONG,LONG
IT,65,88,-23,1.58006,1.21754,LONG,LONG
NBIS,68,91,-23,1.55644,1.18845,LONG,LONG
CPT,170,147,23,0.2613,0.57998,HOLD,HOLD
AMT,179,156,23,0.19904,0.51059,HOLD,HOLD
IR,299,322,-23,-0.48344,-0.58198,HOLD,HOLD
XYZ,89,67,22,1.123,1.48556,LONG,LONG
NEM,48,70,-22,1.88972,1.44687,LONG,LONG
ESS,130,108,22,0.6716,0.98714,HOLD,HOLD
BTI,138,116,22,0.59107,0.86846,HOLD,HOLD
IP,30,9,21,2.56914,4.01243,LONG,LONG
PSA,110,89,21,0.87916,1.20622,HOLD,LONG
NU,458,437,21,-2.31335,-1.93473,SHORT,SHORT
ABNB,15,35,-20,3.37082,2.28719,LONG,LONG
CYATY,137,157,-20,0.59542,0.50497,HOLD,HOLD
STZ,193,173,20,0.10459,0.36649,HOLD,HOLD
FTV,195,175,20,0.09848,0.34983,HOLD,HOLD
LVS,26,45,-19,2.75877,2.0319,LONG,LONG
CCI,90,71,19,1.11982,1.43939,LONG,LONG
KMB,188,169,19,0.14158,0.40508,HOLD,HOLD
CAG,92,74,18,1.09801,1.36382,LONG,LONG
E,390,408,-18,-1.05492,-1.34968,SHORT,SHORT
BKR,403,421,-18,-1.16959,-1.45293,SHORT,SHORT
BLK,449,431,18,-1.89895,-1.77685,SHORT,SHORT
CTSH,417,435,-18,-1.41623,-1.85863,SHORT,SHORT
MLM,467,449,18,-3.00701,-2.16781,SHORT,SHORT
AOS,154,137,17,0.37832,0.6607,HOLD,HOLD
BR,156,139,17,0.3732,0.65503,HOLD,HOLD
FIX,123,140,-17,0.72927,0.65445,HOLD,HOLD
AME,182,165,17,0.17128,0.43092,HOLD,HOLD
TT,203,186,17,0.03886,0.28404,HOLD,HOLD
CSCO,383,400,-17,-1.0225,-1.23015,HOLD,SHORT
AMP,463,446,17,-2.45935,-2.09235,SHORT,SHORT
CMG,42,26,16,2.17625,2.64773,LONG,LONG
MNST,96,80,16,1.07714,1.29485,LONG,LONG
PNC,336,320,16,-0.68875,-0.5625,HOLD,HOLD
CP,365,381,-16,-0.8531,-0.95619,HOLD,HOLD
GWW,49,34,15,1.86419,2.30885,LONG,LONG
EXPD,51,36,15,1.82756,2.26836,LONG,LONG
DVN,67,52,15,1.56259,1.84865,LONG,LONG
CNC,43,58,-15,2.16153,1.70422,LONG,LONG
BLDR,252,237,15,-0.24408,-0.03055,HOLD,HOLD
O,233,248,-15,-0.15037,-0.09114,HOLD,HOLD
BP,398,413,-15,-1.10227,-1.39092,SHORT,SHORT
GOOG,441,426,15,-1.77137,-1.69543,SHORT,SHORT
GOOGL,442,427,15,-1.77137,-1.69543,SHORT,SHORT
SMERY,38,24,14,2.2162,2.69831,LONG,LONG
