ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
EXPE,LONG,Consumer Discretionary,False,False,False,True,new,True,False
JPM,LONG,Financials,False,False,False,True,old,False,False
BKNG,LONG,Consumer Discretionary,False,False,False,True,old,False,False
EA,LONG,Communication Services,False,False,False,True,new,True,False
STX,LONG,Information Technology,False,False,False,True,old,False,False
APP,LONG,Information Technology,False,False,False,True,old,False,False
RELX,LONG,Industrials,False,True,False,True,old,False,False
LULU,LONG,Consumer Discretionary,False,False,False,True,new,True,False
IP,LONG,Materials,False,False,False,False,new,True,False
PM,LONG,Consumer Staples,False,False,False,False,old,False,False
NOW,LONG,Information Technology,False,False,False,False,old,False,False
SNDK,LONG,Information Technology,False,False,False,False,old,False,False
DXCM,LONG,Health Care,False,False,False,False,new,True,False
EXE,LONG,Energy,False,False,False,False,new,True,False
CHRW,LONG,Industrials,False,False,False,False,new,True,False
EQT,LONG,Energy,False,False,False,False,new,True,False
LYV,LONG,Communication Services,False,False,False,False,new,True,False
IVZ,LONG,Financials,False,True,False,False,new,True,False
MCO,LONG,Financials,False,False,False,False,old,False,False
GEV,LONG,Utilities,False,False,False,False,old,False,False
SHOP,LONG,Information Technology,False,False,False,False,old,False,False
SLB,LONG,Energy,False,False,False,False,old,False,False
APD,LONG,Materials,False,False,False,False,old,False,False
SMERY,LONG,Industrials,False,True,False,False,old,False,False
HDB,LONG,Financials,False,True,False,False,old,False,False
CMG,LONG,Consumer Discretionary,False,False,False,False,new,True,False
ANET,LONG,Information Technology,False,False,False,False,old,False,False
VRT,LONG,Industrials,False,False,False,False,old,False,False
BUD,LONG,Consumer Staples,False,True,False,False,old,False,False
NFLX,LONG,Communication Services,False,False,False,False,old,False,False
DPZ,LONG,Consumer Discretionary,False,False,False,False,new,True,False
FICO,LONG,Information Technology,False,False,False,False,new,True,False
FAST,LONG,Industrials,False,False,False,False,new,True,False
GWW,LONG,Industrials,False,False,False,False,old,False,False
ABNB,LONG,Consumer Discretionary,False,False,False,False,old,False,False
EXPD,LONG,Industrials,False,True,False,False,new,True,False
NVR,LONG,Consumer Discretionary,False,True,False,False,new,True,False
B,LONG,Materials,False,False,False,False,old,False,False
LUV,LONG,Industrials,False,False,False,False,new,True,False
SPOT,LONG,Communication Services,False,False,False,False,old,False,False
UBER,LONG,Industrials,False,False,False,False,old,False,False
FOX,LONG,Communication Services,False,True,False,False,new,True,False
FOXA,LONG,Communication Services,False,False,False,False,new,True,False
FANG,LONG,Energy,False,False,False,False,new,True,False
