side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,sector_repaired,before_review_label,cohort,liquidity_proxy,review_status
LONG,1,EXPE,8.76583,9.09173,Consumer Discretionary,False,True,LONG,new,319234945.75545,PAPER_REVIEW_ONLY
LONG,2,JPM,7.09546,6.45231,Financials,False,False,LONG,old,1614580632.36823,PAPER_REVIEW_ONLY
LONG,3,BKNG,7.05134,7.48586,Consumer Discretionary,False,False,LONG,old,883946761.92542,PAPER_REVIEW_ONLY
LONG,4,EA,6.06291,8.18347,Communication Services,False,True,LONG,new,356483975.58672,PAPER_REVIEW_ONLY
LONG,5,STX,5.36829,5.5367,Information Technology,False,True,LONG,old,305711234.37018,PAPER_REVIEW_ONLY
LONG,6,APP,5.0787,4.9552,Information Technology,False,True,LONG,old,958690151.55417,PAPER_REVIEW_ONLY
LONG,7,RELX,4.75745,4.60116,Industrials,False,True,LONG,old,24333084.99082,PAPER_REVIEW_ONLY
LONG,8,LULU,4.4089,5.19578,Consumer Discretionary,False,True,LONG,new,453086138.99762,PAPER_REVIEW_ONLY
LONG,9,IP,4.01243,2.53384,Materials,False,True,LONG,new,167255542.46503,PAPER_REVIEW_ONLY
LONG,10,PM,3.88587,3.44856,Consumer Staples,False,False,LONG,old,446906305.04345,PAPER_REVIEW_ONLY
LONG,11,NOW,3.8313,4.08509,Information Technology,False,False,LONG,old,784865169.87267,PAPER_REVIEW_ONLY
LONG,12,SNDK,3.55072,3.58237,Information Technology,False,True,LONG,old,5533086460.11645,PAPER_REVIEW_ONLY
LONG,13,DXCM,3.41381,3.1326,Health Care,False,True,LONG,new,658743622.53023,PAPER_REVIEW_ONLY
LONG,14,EXE,3.41343,3.5162,Energy,False,True,LONG,new,207369272.3459,PAPER_REVIEW_ONLY
LONG,15,CHRW,3.26801,3.19116,Industrials,False,True,LONG,new,134570694.32006,PAPER_REVIEW_ONLY
LONG,16,EQT,3.17681,3.28109,Energy,False,True,LONG,new,250876696.41551,PAPER_REVIEW_ONLY
LONG,17,LYV,3.0021,5.45976,Communication Services,False,True,LONG,new,170609749.27673,PAPER_REVIEW_ONLY
