ticker,source_family,outcome,value
A,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
A,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
ABNB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ABNB,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
ACGL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ACGL,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
ADM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ADM,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
ADSK,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ADSK,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
AEE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AEE,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
AEM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AEM,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
AEP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AEP,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
AES,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AES,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
AFL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AFL,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
AIG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AIG,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
AIZ,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AIZ,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
AJG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AJG,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
AKAM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AKAM,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ALAB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ALAB,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ALB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ALB,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
ALGN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ALGN,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
ALL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ALL,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
ALLE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ALLE,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
AMCR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AMCR,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
AME,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AME,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
AMP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AMP,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
AMT,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AMT,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
AMX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AMX,eodhd_raw_fundamentals(General.GicSector),HIT,Communication Services
ANET,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ANET,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
AOS,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AOS,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
APA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
APA,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
APO,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
APO,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
APP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
APP,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
APTV,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
APTV,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
ARE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ARE,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
ARES,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ARES,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
ARM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ARM,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ASML,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ASML,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ASX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ASX,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ATEYY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ATEYY,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
ATO,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ATO,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
AVB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AVB,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
AVY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AVY,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
AWK,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AWK,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
AXON,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AXON,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
AZN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AZN,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
AZO,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
AZO,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
B,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
B,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
BABA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BABA,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
BAESY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BAESY,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
BALL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BALL,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
BAM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BAM,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BAX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BAX,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
BBVA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BBVA,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BBY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BBY,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
BCS,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BCS,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BDX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BDX,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
BE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BE,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
BEN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BEN,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BG,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
BHP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BHP,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
BIIB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BIIB,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
BKR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BKR,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
BLDR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BLDR,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
BMO,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BMO,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BN,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BNS,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BNS,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BNY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BNY,eodhd_raw_fundamentals(General.GicSector),BLANK,
BNY,eodhd_raw_fundamentals(General.Sector->GICS_crosswalk),HIT,Financial Services->Financials
BP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BP,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
BR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BR,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
BRO,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BRO,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BTI,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BTI,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
BUD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BUD,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
BX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BX,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
BXP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
BXP,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
CAG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CAG,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
CAH,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CAH,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
CARR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CARR,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CASY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CASY,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
CBOE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CBOE,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
CBRE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CBRE,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
CCI,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CCI,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
CCL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CCL,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
CDW,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CDW,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
CEG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CEG,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
CF,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CF,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
CFG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CFG,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
CHD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CHD,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
CHRW,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CHRW,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CHTR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CHTR,eodhd_raw_fundamentals(General.GicSector),HIT,Communication Services
CIEN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CIEN,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
CINF,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CINF,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
CLX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CLX,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
CM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CM,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
