side,ticker,sector,comp_sn,comp_sn_z,exception_type,detail,action
LONG,EXPE,Consumer Discretionary,8.76583,5.1216,extreme_score_flagged,"|comp_sn_z| >= 3.0 (extreme score held out, not auto-included)",HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,JPM,Financials,7.09546,4.1455,extreme_score_flagged,"|comp_sn_z| >= 3.0 (extreme score held out, not auto-included)",HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,BKNG,Consumer Discretionary,7.05134,4.1197,extreme_score_flagged,"|comp_sn_z| >= 3.0 (extreme score held out, not auto-included)",HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,EA,Communication Services,6.06291,3.5421,extreme_score_flagged,"|comp_sn_z| >= 3.0 (extreme score held out, not auto-included)",HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,STX,Information Technology,5.36829,3.1362,extreme_score_flagged,"|comp_sn_z| >= 3.0 (extreme score held out, not auto-included)",HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,RELX,Industrials,4.75745,2.7793,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,CHRW,Industrials,3.26801,1.9089,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,IVZ,Financials,2.95738,1.7274,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,SMERY,Industrials,2.69831,1.576,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,HDB,Financials,2.65284,1.5494,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,BUD,Consumer Staples,2.52467,1.4745,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,EXPD,Industrials,2.26836,1.3247,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,NVR,Consumer Discretionary,2.24164,1.3091,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,FOX,Communication Services,2.11552,1.2354,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,RACE,Consumer Discretionary,2.01395,1.176,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,GNRC,Industrials,1.92188,1.1222,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,GDDY,Information Technology,1.91769,1.1198,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,JKHY,Financials,1.66814,0.974,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,JBHT,Industrials,1.59606,0.9318,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
LONG,SNA,Industrials,1.49285,0.8715,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
