metric,value
n_rows,38725
n_tickers,545
composite_coverage_both_legs,38404
composite_sn_non_null,38404
forward_63d_return_non_null,38237
scoreable_rows_comp_sn_and_fwd,37917
rebalance_date_min,2016-06-23
rebalance_date_max,2026-05-22
n_months,120
n_sectors,12
unknown_sector_rows,24561
cohort_old_rows,29032
cohort_new_rows,9693
rows_year_2016,18593
rows_year_2017,2078
rows_year_2018,2026
rows_year_2019,2087
rows_year_2020,2086
rows_year_2021,2131
rows_year_2022,2211
rows_year_2023,2128
rows_year_2024,2197
rows_year_2025,2171
rows_year_2026,1017
