variant_id,classification,net25_baseline,net25_variant,net25_delta,net50_delta,ic_t_delta,turnover_ratio,oos_frac_delta,top_sector_share_delta
w_60_40,REJECT_OVERFIT,0.00401,0.004115,0.000105,0.000186,0.129,0.974,0.0,0.003
w_40_60,NO_IMPROVEMENT,0.00401,0.002319,-0.001691,-0.001765,0.086,1.024,0.188,-0.0062
w_70_30,NO_IMPROVEMENT,0.00401,0.003892,-0.000118,6.3e-05,0.103,0.941,0.0,-0.0016
w_30_70,NO_IMPROVEMENT,0.00401,0.003076,-0.000934,-0.00105,0.034,1.038,0.188,-0.0036
w_fcf_only_100_0,NO_IMPROVEMENT,0.00401,0.002262,-0.001748,-0.001328,-0.283,0.863,0.0,-0.0314
w_accruals_only_0_100,NO_IMPROVEMENT,0.00401,0.002716,-0.001294,-0.001471,-0.021,1.058,0.25,-0.0052
zcap_abs_3_0,REJECT_OVERFIT,0.00401,0.004275,0.000265,0.000267,-0.011,1.0,0.0,0.0003
zcap_abs_2_5,REJECT_OVERFIT,0.00401,0.004209,0.000199,0.000201,-0.007,0.999,0.0,0.0003
winsorize_1_99,REJECT_OVERFIT,0.00401,0.004195,0.000185,0.000185,-0.017,1.0,0.0,0.0001
winsorize_5_95,NO_IMPROVEMENT,0.00401,0.002611,-0.001399,-0.001404,0.031,1.002,0.0,-0.0067
liq_p25_baseline,NO_IMPROVEMENT,0.00401,0.003181,-0.000829,-0.000883,-0.671,1.017,0.0,-0.0868
liq_p50_stricter,REJECT_COST_KILLED,0.00401,-0.00139,-0.0054,-0.005481,-1.276,1.027,0.125,-0.2125
sector_cap_25_baseline,REJECT_COST_KILLED,0.00401,-0.002796,-0.006806,-0.005798,0.0,0.671,0.0,0.0
sector_cap_20_stricter,REJECT_COST_KILLED,0.00401,-0.001513,-0.005523,-0.004289,0.0,0.596,0.0,0.0
best_weight_plus_zcap_3_0,REJECT_OVERFIT,0.00401,0.004287,0.000277,0.000358,0.11,0.974,0.0,0.003
best_weight_plus_liq_p50,REJECT_COST_KILLED,0.00401,-0.002087,-0.006097,-0.006113,-1.154,1.005,0.125,-0.2089
best_weight_plus_sector_cap_20,REJECT_COST_KILLED,0.00401,-0.002313,-0.006323,-0.005062,0.129,0.588,0.0,0.003
