variant_id,old_ic,old_ic_t,old_n_events,new_ic,new_ic_t,new_n_events,both_cohorts_positive
w_50_50,0.018898,1.026,28452,0.044225,2.232,9465,True
w_60_40,0.018419,0.959,28452,0.042081,2.113,9465,True
w_40_60,0.020906,1.12,28452,0.040487,2.069,9465,True
w_70_30,0.020804,1.072,28452,0.040236,2.038,9465,True
w_30_70,0.020744,1.107,28452,0.041048,2.125,9465,True
w_fcf_only_100_0,0.025369,1.254,28455,0.030504,1.566,9465,True
w_accruals_only_0_100,0.02454,1.345,28658,0.033157,1.742,9465,True
zcap_abs_3_0,0.019,1.032,28452,0.044549,2.247,9465,True
zcap_abs_2_5,0.019499,1.058,28452,0.044599,2.248,9465,True
winsorize_1_99,0.019073,1.036,28452,0.043436,2.191,9465,True
winsorize_5_95,0.021094,1.152,28452,0.042382,2.128,9465,True
liq_p25_baseline,0.003491,0.179,22401,0.048484,2.258,6325,True
liq_p50_stricter,0.002815,0.134,16407,0.00476,0.19,2945,True
sector_cap_25_baseline,0.018898,1.026,28452,0.044225,2.232,9465,True
sector_cap_20_stricter,0.018898,1.026,28452,0.044225,2.232,9465,True
best_weight_plus_zcap_3_0,0.018432,0.96,28452,0.042233,2.119,9465,True
best_weight_plus_liq_p50,0.000344,0.016,16407,0.002258,0.088,2945,True
best_weight_plus_sector_cap_20,0.018419,0.959,28452,0.042081,2.113,9465,True
