variant_id,top_sector_share,q_top_sector_share_long,q_top_sector_long,q_top_sector_share_short,q_top_sector_short,cap_frac
w_50_50,0.6262,0.7589,Unknown,0.7689,Unknown,
w_60_40,0.6292,0.7596,Unknown,0.7676,Unknown,
w_40_60,0.62,0.7596,Unknown,0.7654,Unknown,
w_70_30,0.6246,0.7591,Unknown,0.7642,Unknown,
w_30_70,0.6226,0.7623,Unknown,0.7601,Unknown,
w_fcf_only_100_0,0.5948,0.7592,Unknown,0.7625,Unknown,
w_accruals_only_0_100,0.621,0.759,Unknown,0.7662,Unknown,
zcap_abs_3_0,0.6265,0.7596,Unknown,0.7689,Unknown,
zcap_abs_2_5,0.6265,0.7596,Unknown,0.7689,Unknown,
winsorize_1_99,0.6263,0.7596,Unknown,0.7686,Unknown,
winsorize_5_95,0.6195,0.7591,Unknown,0.7684,Unknown,
liq_p25_baseline,0.5394,0.6969,Unknown,0.6834,Unknown,
liq_p50_stricter,0.4137,0.5871,Unknown,0.5323,Unknown,
sector_cap_25_baseline,0.6262,0.2457,Unknown,0.2457,Unknown,0.25
sector_cap_20_stricter,0.6262,0.1959,Unknown,0.1959,Unknown,0.2
best_weight_plus_zcap_3_0,0.6292,0.7596,Unknown,0.7676,Unknown,
best_weight_plus_liq_p50,0.4173,0.5823,Unknown,0.5352,Unknown,
best_weight_plus_sector_cap_20,0.6292,0.1959,Unknown,0.1959,Unknown,0.2
