variant_id,quarterly_gross_spread,quarterly_turnover,quarterly_net_10bps,quarterly_net_25bps,quarterly_net_50bps,n_quarters,avg_long_count,avg_short_count
w_50_50,0.007067,0.6115,0.005844,0.00401,0.000952,40,102.22,102.42
w_60_40,0.007092,0.5954,0.005901,0.004115,0.001138,40,102.22,102.42
w_40_60,0.00545,0.6263,0.004198,0.002319,-0.000813,40,102.22,102.42
w_70_30,0.006769,0.5754,0.005618,0.003892,0.001015,40,102.22,102.42
w_30_70,0.00625,0.6348,0.004981,0.003076,-9.8e-05,40,102.22,102.42
w_fcf_only_100_0,0.004901,0.5278,0.003846,0.002262,-0.000376,40,102.25,102.42
w_accruals_only_0_100,0.005952,0.6471,0.004658,0.002716,-0.000519,40,102.47,102.65
zcap_abs_3_0,0.007332,0.6114,0.00611,0.004275,0.001219,40,102.22,102.42
zcap_abs_2_5,0.007264,0.6111,0.006042,0.004209,0.001153,40,102.22,102.42
winsorize_1_99,0.007254,0.6116,0.00603,0.004195,0.001137,40,102.22,102.42
winsorize_5_95,0.005675,0.6127,0.00445,0.002611,-0.000452,40,102.22,102.42
liq_p25_baseline,0.006292,0.6222,0.005047,0.003181,6.9e-05,40,76.7,76.9
liq_p50_stricter,0.001749,0.6278,0.000494,-0.00139,-0.004529,40,51.65,51.85
sector_cap_25_baseline,-0.000746,0.4101,-0.001566,-0.002796,-0.004846,40,102.08,102.08
sector_cap_20_stricter,0.00031,0.3647,-0.000419,-0.001513,-0.003337,40,102.08,102.08
best_weight_plus_zcap_3_0,0.007263,0.5953,0.006072,0.004287,0.00131,40,102.22,102.42
best_weight_plus_liq_p50,0.000987,0.6148,-0.000243,-0.002087,-0.005161,40,51.65,51.85
best_weight_plus_sector_cap_20,-0.000517,0.3593,-0.001235,-0.002313,-0.00411,40,102.08,102.08
