variant_id,group,basis,weight_fcf,weight_acc,cap_frac,ic_mean,ic_t,quarterly_gross_spread,quarterly_net_25bps,quarterly_net_50bps,quarterly_turnover,oos_pooled_ic,oos_frac_windows_positive,both_cohorts_positive,both_subperiods_positive,top_sector_share,avg_long_count,avg_short_count,n_quarters,long_leg_contribution,short_leg_contribution,classification,reject_reason,description
w_50_50,weighting,backtested_sn,0.5,0.5,,0.034941,2.665,0.007067,0.00401,0.000952,0.6115,0.029554,0.5,True,True,0.6262,102.22,102.42,40,0.017312,0.017335,BASELINE,confirmed baseline configuration,50/50 equal weight on within-month sector-neutral z-legs (== Phase 10-D composite_sn baseline)
w_60_40,weighting,backtested_sn,0.6,0.4,,0.036745,2.794,0.007092,0.004115,0.001138,0.5954,0.031693,0.5,True,True,0.6292,102.22,102.42,40,0.020775,0.013868,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,60% fcf_to_assets / 40% operating_accruals (sector-neutral legs)
w_40_60,weighting,backtested_sn,0.4,0.6,,0.035093,2.751,0.00545,0.002319,-0.000813,0.6263,0.030512,0.688,True,True,0.62,102.22,102.42,40,0.01385,0.020802,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.002319); baseline stands,40% fcf_to_assets / 60% operating_accruals (sector-neutral legs)
w_70_30,weighting,backtested_sn,0.7,0.3,,0.036836,2.768,0.006769,0.003892,0.001015,0.5754,0.032944,0.5,True,True,0.6246,102.22,102.42,40,0.024237,0.010401,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.003892); baseline stands,70% fcf_to_assets / 30% operating_accruals (sector-neutral legs)
w_30_70,weighting,backtested_sn,0.3,0.7,,0.034761,2.699,0.00625,0.003076,-9.8e-05,0.6348,0.030471,0.688,True,True,0.6226,102.22,102.42,40,0.010387,0.024269,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.003076); baseline stands,30% fcf_to_assets / 70% operating_accruals (sector-neutral legs)
w_fcf_only_100_0,weighting,backtested_sn,1.0,0.0,,0.034624,2.382,0.004901,0.002262,-0.000376,0.5278,0.030177,0.5,True,True,0.5948,102.25,102.42,40,0.034624,0.0,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.002262); baseline stands,"fcf_to_assets only (100/0) - long-leg standalone, sector-neutral"
w_accruals_only_0_100,weighting,backtested_sn,0.0,1.0,,0.03467,2.644,0.005952,0.002716,-0.000519,0.6471,0.033963,0.75,True,True,0.621,102.47,102.65,40,0.0,0.03467,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.002716); baseline stands,"operating_accruals only (0/100) - short-leg standalone, sector-neutral"
zcap_abs_3_0,robustness_transform,backtested_sn,0.5,0.5,,0.034831,2.654,0.007332,0.004275,0.001219,0.6114,0.029418,0.5,True,True,0.6265,102.22,102.42,40,0.017312,0.017335,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,"z-score cap at |z|=3.0 on each sector-neutral leg, then equal-weight"
zcap_abs_2_5,robustness_transform,backtested_sn,0.5,0.5,,0.034761,2.658,0.007264,0.004209,0.001153,0.6111,0.029499,0.5,True,True,0.6265,102.22,102.42,40,0.017312,0.017335,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,"z-score cap at |z|=2.5 on each sector-neutral leg, then equal-weight"
winsorize_1_99,robustness_transform,backtested_sn,0.5,0.5,,0.034695,2.648,0.007254,0.004195,0.001137,0.6116,0.029461,0.5,True,True,0.6263,102.22,102.42,40,0.017312,0.017335,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,"within-month winsorize each sector-neutral leg at 1/99 pct, then equal-weight"
winsorize_5_95,robustness_transform,backtested_sn,0.5,0.5,,0.035262,2.696,0.005675,0.002611,-0.000452,0.6127,0.030264,0.5,True,True,0.6195,102.22,102.42,40,0.017312,0.017335,NO_IMPROVEMENT,does not beat the baseline net-25bps 0.00401 (variant 0.002611); baseline stands,"within-month winsorize each sector-neutral leg at 5/95 pct, then equal-weight"
