variant_id,top_sector_share,matched_baseline_top_sector_share,classification
baseline_composite_sn,0.6262,,BASELINE
altcomp_signed_log,0.61686,0.6262,NO_IMPROVEMENT
altcomp_rank,0.61015,0.6262,REJECT_OVERFIT
altcomp_snrank,0.56438,0.6262,NO_IMPROVEMENT
base70_cash_roa_rank_30,0.61805,0.6262,NO_IMPROVEMENT
base60_cash_roa_rank_40,0.61686,0.6262,REJECT_COST_KILLED
base50_cash_roa_rank_50,0.61489,0.6262,NO_IMPROVEMENT
base70_gross_prof_snrank_30,0.61712,0.6262,REJECT_OVERFIT
base60_gross_prof_snrank_40,0.6162,0.6262,REJECT_OVERFIT
base50_gross_prof_snrank_50,0.59608,0.6262,REJECT_OVERFIT
base70_fcf_delta_30,0.63273,0.62441,REJECT_OVERFIT
base60_fcf_delta_40,0.63893,0.62441,REJECT_OVERFIT
base50_fcf_delta_50,0.63893,0.62441,REJECT_OVERFIT
base70_accruals_x_leverage_30,0.59326,0.62628,NO_IMPROVEMENT
base60_accruals_x_leverage_40,0.5909,0.62628,NO_IMPROVEMENT
base50_accruals_x_leverage_50,0.59682,0.62628,NO_IMPROVEMENT
