variant_id,group,legs,weights,ic_mean,ic_t,quarterly_gross_spread,quarterly_net_25bps,quarterly_net_50bps,quarterly_turnover,n_quarters,oos_pooled_ic,oos_frac_windows_positive,both_cohorts_positive,both_subperiods_positive,top_sector_share,matched_baseline_net_25bps,matched_baseline_ic_t,matched_baseline_top_sector_share,classification,reject_reason,description
baseline_composite_sn,baseline,composite_sn,1/1,0.03494,2.66461,0.00707,0.00401,0.00095,0.61151,40,0.02994,0.5,True,True,0.6262,,,,BASELINE,confirmed baseline configuration,frozen 10-D equal-weight sector-neutral composite (reference)
altcomp_signed_log,alt_composite,composite(signed_log legs),1/1,0.03558,2.709,0.00689,0.00384,0.00079,0.60981,40,0.03069,0.5,True,True,0.61686,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00384),baseline 2-factor composite with signed_log-transformed sector-neutral legs
altcomp_rank,alt_composite,composite(rank legs),1/1,0.04085,3.22045,0.00739,0.0043,0.0012,0.619,40,0.03849,0.625,True,True,0.61015,0.00401,2.66461,0.6262,REJECT_OVERFIT,full-sample net-25bps gain is one-era-driven and does not generalise: post-2020 net25 reverses (0.00077 vs base 0.00325),baseline 2-factor composite with rank-transformed sector-neutral legs
altcomp_snrank,alt_composite,composite(snrank legs),1/1,0.03937,3.1074,0.00647,0.00347,0.00047,0.60062,40,0.03729,0.6875,True,True,0.56438,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00347),baseline 2-factor composite with snrank-transformed sector-neutral legs
base70_cash_roa_rank_30,incremental_transform,composite_sn+cash_roa_rank,70/30,0.03784,2.84931,0.00417,0.0013,-0.00157,0.57482,40,0.03226,0.5625,True,True,0.61805,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.0013),within-month rank of oriented cash-return-on-assets (robustified quality)
base60_cash_roa_rank_40,incremental_transform,composite_sn+cash_roa_rank,60/40,0.03651,2.74724,0.00255,-0.00026,-0.00307,0.56227,40,0.03053,0.625,True,True,0.61686,0.00401,2.66461,0.6262,REJECT_COST_KILLED,quarterly net-25bps <= 0 (cost-killed),within-month rank of oriented cash-return-on-assets (robustified quality)
base50_cash_roa_rank_50,incremental_transform,composite_sn+cash_roa_rank,50/50,0.03713,2.7581,0.00338,0.00065,-0.00207,0.5452,40,0.03091,0.5625,True,True,0.61489,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00065),within-month rank of oriented cash-return-on-assets (robustified quality)
base70_gross_prof_snrank_30,incremental_transform,composite_sn+gross_prof_snrank,70/30,0.03311,2.26647,0.00947,0.00709,0.00471,0.47614,40,0.02194,0.4375,True,True,0.61712,0.00402,2.66861,0.6262,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: IC t-stat materially worse; OOS frac-windows-positive deteriorates,sector-neutral rank of oriented gross profitability
base60_gross_prof_snrank_40,incremental_transform,composite_sn+gross_prof_snrank,60/40,0.0315,2.03971,0.00651,0.00437,0.00224,0.42696,40,0.01867,0.4375,True,True,0.6162,0.00402,2.66861,0.6262,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: IC t-stat materially worse; OOS frac-windows-positive deteriorates,sector-neutral rank of oriented gross profitability
base50_gross_prof_snrank_50,incremental_transform,composite_sn+gross_prof_snrank,50/50,0.0291,1.79755,0.00597,0.00405,0.00213,0.38366,40,0.01546,0.4375,True,True,0.59608,0.00402,2.66861,0.6262,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: IC t-stat materially worse; OOS frac-windows-positive deteriorates,sector-neutral rank of oriented gross profitability
base70_fcf_delta_30,incremental_transform,composite_sn+fcf_delta,70/30,0.0418,3.44756,0.00825,0.00515,0.00205,0.61985,40,0.03514,0.6875,True,True,0.63273,0.00285,2.75463,0.62441,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,sector-neutral yoy change in fcf/assets (improving cash quality)
base60_fcf_delta_40,incremental_transform,composite_sn+fcf_delta,60/40,0.04209,3.33835,0.00976,0.00663,0.0035,0.6253,40,0.0354,0.75,True,True,0.63893,0.00285,2.75463,0.62441,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,sector-neutral yoy change in fcf/assets (improving cash quality)
base50_fcf_delta_50,incremental_transform,composite_sn+fcf_delta,50/50,0.04203,3.18109,0.01184,0.00868,0.00553,0.63122,40,0.03456,0.8125,True,True,0.63893,0.00285,2.75463,0.62441,REJECT_OVERFIT,net-25bps improves in-sample but fails the strict test: sector concentration worsens,sector-neutral yoy change in fcf/assets (improving cash quality)
base70_accruals_x_leverage_30,interaction,composite_sn+accruals_x_leverage,70/30,0.03236,2.44542,0.0065,0.0035,0.0005,0.6,40,0.02645,0.4375,True,True,0.59326,0.00401,2.66279,0.62628,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.0035),clean accruals (oriented) AND low leverage (oriented) -> safer quality -> stronger
base60_accruals_x_leverage_40,interaction,composite_sn+accruals_x_leverage,60/40,0.03025,2.31239,0.00674,0.00376,0.00078,0.59612,40,0.02527,0.4375,True,True,0.5909,0.00401,2.66279,0.62628,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00376),clean accruals (oriented) AND low leverage (oriented) -> safer quality -> stronger
base50_accruals_x_leverage_50,interaction,composite_sn+accruals_x_leverage,50/50,0.02667,2.02809,0.00611,0.00318,0.00026,0.58511,40,0.02185,0.4375,True,True,0.59682,0.00401,2.66279,0.62628,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00318),clean accruals (oriented) AND low leverage (oriented) -> safer quality -> stronger
