code,concept,present,matched_column
ZACKS/EE,ticker,True,m_ticker
ZACKS/EE,observation_or_effective_date,False,
ZACKS/EE,fiscal_period,True,per_end_date
ZACKS/EE,eps_consensus_estimate,True,eps_mean_est
ZACKS/EE,revenue_or_sales_estimate,False,
ZACKS/EE,analyst_count,True,eps_mean_est
ZACKS/EE,estimate_high_low_std,True,eps_high_est
ZACKS/EE,upward_revision_count,False,
ZACKS/EE,downward_revision_count,False,
ZACKS/EE,prior_estimate,False,
ZACKS/EE,new_estimate,False,
ZACKS/EE,broker_or_analyst,False,
ZACKS/EE,_SCHEMA_BACKTESTABLE,False,
ZACKS/EE,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/EE,_BACKTESTABLE,False,
ZACKS/LTG,ticker,True,m_ticker
ZACKS/LTG,observation_or_effective_date,False,
ZACKS/LTG,fiscal_period,False,
ZACKS/LTG,eps_consensus_estimate,True,eps_mean_est_fwd12m
ZACKS/LTG,revenue_or_sales_estimate,False,
ZACKS/LTG,analyst_count,True,eps_mean_est_fwd12m
ZACKS/LTG,estimate_high_low_std,True,eps_high_est_fwd12m
ZACKS/LTG,upward_revision_count,False,
ZACKS/LTG,downward_revision_count,False,
ZACKS/LTG,prior_estimate,False,
ZACKS/LTG,new_estimate,False,
ZACKS/LTG,broker_or_analyst,False,
ZACKS/LTG,_SCHEMA_BACKTESTABLE,False,
ZACKS/LTG,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/LTG,_BACKTESTABLE,False,
ZACKS/MT,ticker,True,m_ticker
ZACKS/MT,observation_or_effective_date,False,
ZACKS/MT,fiscal_period,False,
ZACKS/MT,eps_consensus_estimate,False,
ZACKS/MT,revenue_or_sales_estimate,False,
ZACKS/MT,analyst_count,False,
ZACKS/MT,estimate_high_low_std,False,
ZACKS/MT,upward_revision_count,False,
ZACKS/MT,downward_revision_count,False,
ZACKS/MT,prior_estimate,False,
ZACKS/MT,new_estimate,False,
ZACKS/MT,broker_or_analyst,False,
ZACKS/MT,_SCHEMA_BACKTESTABLE,False,
ZACKS/MT,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/MT,_BACKTESTABLE,False,
ZACKS/EEH,ticker,True,m_ticker
ZACKS/EEH,observation_or_effective_date,True,obs_date
ZACKS/EEH,fiscal_period,True,per_end_date
ZACKS/EEH,eps_consensus_estimate,True,eps_mean_est
ZACKS/EEH,revenue_or_sales_estimate,False,
ZACKS/EEH,analyst_count,True,eps_mean_est
ZACKS/EEH,estimate_high_low_std,True,eps_high_est
ZACKS/EEH,upward_revision_count,True,eps_cnt_est_rev_up
ZACKS/EEH,downward_revision_count,True,eps_cnt_est_rev_down
ZACKS/EEH,prior_estimate,False,
ZACKS/EEH,new_estimate,False,
ZACKS/EEH,broker_or_analyst,False,
ZACKS/EEH,_SCHEMA_BACKTESTABLE,True,
ZACKS/EEH,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/EEH,_BACKTESTABLE,False,
ZACKS/EET,ticker,True,m_ticker
ZACKS/EET,observation_or_effective_date,False,
ZACKS/EET,fiscal_period,True,per_end_date
ZACKS/EET,eps_consensus_estimate,True,eps_mean_est
ZACKS/EET,revenue_or_sales_estimate,False,
ZACKS/EET,analyst_count,True,eps_mean_est
ZACKS/EET,estimate_high_low_std,False,
ZACKS/EET,upward_revision_count,True,eps_cnt_est_rev_up_last_7d
ZACKS/EET,downward_revision_count,True,eps_cnt_est_rev_down_last_7d
ZACKS/EET,prior_estimate,False,
ZACKS/EET,new_estimate,False,
ZACKS/EET,broker_or_analyst,False,
ZACKS/EET,_SCHEMA_BACKTESTABLE,False,
ZACKS/EET,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/EET,_BACKTESTABLE,False,
ZACKS/EREV,ticker,True,m_ticker
ZACKS/EREV,observation_or_effective_date,True,eps_rev_date
ZACKS/EREV,fiscal_period,True,per_end_date
ZACKS/EREV,eps_consensus_estimate,True,eps_rev_est
ZACKS/EREV,revenue_or_sales_estimate,False,
ZACKS/EREV,analyst_count,False,
ZACKS/EREV,estimate_high_low_std,False,
ZACKS/EREV,upward_revision_count,False,
ZACKS/EREV,downward_revision_count,False,
ZACKS/EREV,prior_estimate,True,eps_rev_date_prev
ZACKS/EREV,new_estimate,True,eps_rev_est
ZACKS/EREV,broker_or_analyst,True,broker_name
