code,group,source,endpoint_no_key,http_status,accessible,premium_blocked,code_not_found,error_code,error_message,n_columns,sample_rows,obs_date_column,period_date_column,ticker_filter_works,date_filter_works,pagination_required,universe_coverage_present,universe_coverage_sampled,universe_coverage_frac,obs_hist_reaches_back_10yr,obs_hist_span,full_access,appears_sample,per_ticker_rows,schema_class,schema_backtestable,backtestable_full_access
ZACKS/EE,current_product_visible,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/EE.json,200,True,False,False,,,20,5,,per_end_date,True,,True,0,0,,False,,,,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",CURRENT_SNAPSHOT_ONLY,False,False
ZACKS/LTG,current_product_visible,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/LTG.json,200,True,False,False,,,13,5,,,True,,True,0,0,,False,,,,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",CURRENT_SNAPSHOT_ONLY,False,False
ZACKS/MT,current_product_visible,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/MT.json,200,True,False,False,,,27,5,,,True,,True,0,0,,False,,,,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",MASTER_REFERENCE,False,False
ZACKS/EEH,historical_alpha_critical,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/EEH.json,200,True,False,False,,,20,5,obs_date,per_end_date,True,True,True,3,18,0.167,False,2018-01-01..2018-12-21 (AAPL),False,True,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",REVISION_HISTORY,True,False
ZACKS/EET,historical_alpha_critical,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/EET.json,200,True,False,False,,,31,5,,per_end_date,True,,True,0,0,,False,,,,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",CURRENT_SNAPSHOT_ONLY,False,False
ZACKS/EREV,historical_alpha_critical,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/EREV.json,200,True,False,False,,,21,5,eps_rev_date,per_end_date,True,False,True,2,18,0.111,False,2026-06-25..2026-06-25 (CVX),False,True,"{""AAPL"": 0, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",REVISION_HISTORY,True,False
ZACKS/SEH,historical_alpha_critical,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/SEH.json,200,True,False,False,,,20,5,obs_date,per_end_date,True,True,True,3,18,0.167,False,2018-01-02..2018-12-19 (AAPL),False,True,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",HISTORICAL_POINT_IN_TIME,False,False
ZACKS/ZEEH,historical_alpha_critical,user_task,https://data.nasdaq.com/api/v3/datatables/ZACKS/ZEEH.json,404,False,False,True,QECx02,The following datatable 'ZACKS/ZEEH' does not exist.,0,0,,,,,,0,0,,False,,,,{},NOT_BACKTESTABLE,False,False
ZACKS/SE,current_product_visible,hypothesized,https://data.nasdaq.com/api/v3/datatables/ZACKS/SE.json,200,True,False,False,,,31,5,last_rev_date,per_end_date,True,False,True,3,18,0.167,False,2026-06-08..2026-06-25 (AAPL),False,True,"{""AAPL"": 1, ""JPM"": 1, ""MOS"": 0, ""MSFT"": 1, ""XOM"": 1}",REVISION_HISTORY,True,False
ZACKS/EPRR,historical_alpha_critical,hypothesized,https://data.nasdaq.com/api/v3/datatables/ZACKS/EPRR.json,404,False,False,True,QECx02,The following datatable 'ZACKS/EPRR' does not exist.,0,0,,,,,,0,0,,False,,,,{},NOT_BACKTESTABLE,False,False
