rank,ticker,sector,composite_sn,in_champion_top25,in_champion_top50,sp500_member_pit,sp500_membership_status,in_shadow_top25,in_shadow_top50
1,EXPE,Unknown,9.212906,True,True,True,CONFIRMED_SP500,True,True
2,EA,Unknown,8.296191,True,True,True,CONFIRMED_SP500,True,True
3,LYV,Unknown,5.536966,True,True,True,CONFIRMED_SP500,True,True
4,LULU,Unknown,5.282964,True,True,True,CONFIRMED_SP500,True,True
5,APP,Unknown,5.058559,True,True,True,CONFIRMED_SP500,True,True
6,FOXA,Unknown,4.736872,True,True,True,CONFIRMED_SP500,True,True
7,FOX,Unknown,4.736872,True,True,True,CONFIRMED_SP500,True,True
8,SNDK,Unknown,3.679529,True,True,True,CONFIRMED_SP500,True,True
9,ABNB,Unknown,3.370824,True,True,True,CONFIRMED_SP500,True,True
10,DXCM,Unknown,3.191668,True,True,True,CONFIRMED_SP500,True,True
11,RACE,Unknown,3.123935,True,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
12,SHOP,Unknown,3.019568,True,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
13,ANET,Unknown,2.791054,True,True,True,CONFIRMED_SP500,True,True
14,IP,Unknown,2.56914,True,True,True,CONFIRMED_SP500,True,True
15,SMERY,Unknown,2.216202,True,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
16,GDDY,Unknown,2.211403,True,True,True,CONFIRMED_SP500,True,True
17,DDOG,Unknown,2.190687,True,True,True,CONFIRMED_SP500,True,True
18,BUD,Unknown,2.187189,True,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
19,PLTR,Unknown,2.151112,True,True,True,CONFIRMED_SP500,True,True
20,GWW,Unknown,1.864189,True,True,True,CONFIRMED_SP500,True,True
21,EXPD,Unknown,1.827561,True,True,True,CONFIRMED_SP500,True,True
22,FANG,Unknown,1.788224,True,True,True,CONFIRMED_SP500,True,True
23,HAS,Unknown,1.781812,True,True,True,CONFIRMED_SP500,True,True
24,RMD,Unknown,1.774803,True,True,True,CONFIRMED_SP500,True,True
25,IT,Unknown,1.580065,True,True,True,CONFIRMED_SP500,True,True
26,DVN,Unknown,1.562592,False,True,True,CONFIRMED_SP500,True,True
27,NBIS,Unknown,1.556439,False,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
28,UBER,Industrials,1.469494,False,True,True,CONFIRMED_SP500,True,True
29,SYK,Health Care,1.453124,False,True,True,CONFIRMED_SP500,True,True
30,FTNT,Unknown,1.412126,False,True,True,CONFIRMED_SP500,True,True
31,VRTX,Health Care,1.330361,False,True,True,CONFIRMED_SP500,False,True
32,IDXX,Unknown,1.325207,False,True,True,CONFIRMED_SP500,False,True
33,MCK,Unknown,1.280081,False,True,True,CONFIRMED_SP500,False,True
34,HST,Unknown,1.199342,False,True,True,CONFIRMED_SP500,False,True
35,XYZ,Unknown,1.122998,False,True,True,CONFIRMED_SP500,False,True
36,GEN,Unknown,1.104952,False,True,True,CONFIRMED_SP500,False,True
37,CAH,Unknown,1.0796,False,True,True,CONFIRMED_SP500,False,True
38,ITW,Industrials,1.079203,False,True,True,CONFIRMED_SP500,False,True
39,MNST,Unknown,1.077143,False,True,True,CONFIRMED_SP500,False,True
40,AAPL,Information Technology,1.067186,False,True,True,CONFIRMED_SP500,False,True
41,SONY,Unknown,1.048433,False,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
42,RCL,Unknown,1.010851,False,True,True,CONFIRMED_SP500,False,True
43,NWSA,Unknown,1.001175,False,True,True,CONFIRMED_SP500,False,True
44,NWS,Unknown,1.001175,False,True,True,CONFIRMED_SP500,False,True
45,MELI,Unknown,0.971174,False,True,False,NOT_SP500_NOT_IN_SUPERSET,False,False
46,LH,Unknown,0.95975,False,True,True,CONFIRMED_SP500,False,True
47,B,Unknown,0.950637,False,True,False,NOT_CONFIRMED_SP500,False,False
48,GILD,Health Care,0.936618,False,True,True,CONFIRMED_SP500,False,True
49,JKHY,Unknown,0.934792,False,True,True,CONFIRMED_SP500,False,True
50,KEYS,Unknown,0.86443,False,True,True,CONFIRMED_SP500,False,True
51,APD,Materials,0.841216,False,False,True,CONFIRMED_SP500,False,True
52,MA,Financials,0.803218,False,False,True,CONFIRMED_SP500,False,True
53,SMFG,Unknown,0.737812,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
54,NET,Unknown,0.716726,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
55,MCHP,Unknown,0.706278,False,False,True,CONFIRMED_SP500,False,True
56,TECH,Unknown,0.701484,False,False,True,CONFIRMED_SP500,False,True
