month,n_names,champion_rank_ic,repaired_rank_ic,champion_ls_spread,repaired_ls_spread
2016-06,265,0.044479,-0.017494,0.015683,-0.025278
2016-07,276,-0.060424,-0.117305,-0.002181,-0.015755
2016-08,195,-0.105289,-0.087388,-0.027495,-0.012926
2016-09,26,0.277654,0.152821,0.002929,0.006044
2016-10,263,-0.191383,-0.137192,-0.073105,-0.063091
2016-11,197,0.011742,-0.023364,-0.007668,-0.001408
2016-12,31,-0.078661,-0.054435,0.01855,0.039449
2017-01,145,0.216203,0.210193,0.047159,0.043733
2017-02,303,0.114472,0.121842,0.030035,0.025731
2017-03,51,0.055294,0.063712,0.036381,-0.004872
2017-04,236,-0.026988,-0.033942,-0.035111,-0.021103
2017-05,227,-0.025312,-0.043221,-0.024729,-0.00957
2017-06,31,-0.136909,-0.147581,-0.043884,0.010157
2017-07,269,0.034942,0.056851,0.014099,0.014762
2017-08,204,0.135908,0.118964,0.027911,0.056018
2017-09,26,0.287912,0.222564,0.053494,0.034844
2017-10,262,0.024288,0.053547,0.00738,0.014985
2017-11,204,0.085548,0.064369,0.02781,0.014992
2017-12,29,0.204534,0.10197,0.043853,0.004444
2018-01,141,0.003802,0.014851,-0.006206,-0.007455
2018-02,315,0.134696,0.141045,0.050703,0.045477
2018-03,46,0.091212,-0.046687,0.017917,-0.068488
2018-04,250,0.148867,0.158208,0.047866,0.047332
2018-05,220,0.079438,0.129072,0.020788,0.040754
2018-06,29,0.145392,0.100012,0.000947,-0.010927
2018-07,264,-0.002971,0.017778,-0.011757,-0.002562
2018-08,216,0.142235,0.123016,0.025914,0.0112
2018-09,22,-0.127648,-0.080745,-0.089065,-0.082172
2018-10,275,0.02696,0.027366,-0.002656,-0.006388
2018-11,199,0.113028,0.055612,0.028809,0.012234
2018-12,29,0.186299,0.114546,0.077826,0.062611
2019-01,153,0.051969,0.059001,-0.00343,-0.008345
2019-02,299,0.043642,0.023151,0.022189,0.014148
2019-03,55,0.032396,-0.020925,0.002673,0.002837
2019-04,208,0.13024,0.14049,0.026268,0.032647
2019-05,277,-0.020234,-0.012786,-0.034475,-0.020158
2019-06,26,-0.092713,-0.02908,0.045263,0.083412
2019-07,259,-0.031543,-0.023048,-0.004574,0.008822
2019-08,227,-0.064994,0.006922,-0.027571,-0.011522
2019-09,24,-0.197869,-0.02087,-0.022631,0.002945
2019-10,291,-2e-05,0.031929,-0.016622,0.016427
2019-11,192,0.024617,0.029005,0.024718,0.03988
2019-12,32,0.105977,-0.014296,0.077824,0.054544
2020-01,181,0.285865,0.399632,0.131143,0.156669
2020-02,294,0.249269,0.172797,0.105272,0.084
2020-03,39,0.303862,0.288115,0.254487,0.223583
2020-04,204,0.074372,0.054314,0.021696,0.019944
2020-05,286,-0.073055,-0.059105,-0.067244,-0.010583
2020-06,23,0.173913,0.230237,0.160851,0.160146
2020-07,283,-0.081977,-0.089515,-0.051775,-0.063949
2020-08,213,-0.036643,-0.078736,-0.008114,-0.019961
2020-09,24,0.050479,0.026957,-0.062505,-0.053448
2020-10,292,-0.164285,-0.163089,-0.00692,0.005819
2020-11,195,0.062349,0.107885,0.075884,0.127783
2020-12,36,-0.037848,-0.020335,0.000901,-0.005472
2021-01,139,-0.092186,-0.092337,-0.023471,-0.029678
2021-02,346,0.013577,-0.000881,0.010152,0.01536
2021-03,37,-0.039002,0.118072,-0.048188,0.027365
2021-04,279,0.113328,0.05131,0.02297,0.004299
2021-05,223,0.066224,0.003589,0.069188,0.029232
2021-06,27,0.409708,0.423077,0.103203,0.103203
2021-07,276,-0.100319,-0.08482,-0.031678,-0.038168
2021-08,224,0.036252,0.082403,0.006046,0.038768
2021-09,26,0.092713,0.115214,0.113302,0.113302
2021-10,259,0.037829,0.023848,0.009496,0.006913
2021-11,230,0.011024,-0.019494,0.005029,-0.001275
2021-12,40,0.124678,-0.131144,0.061949,-0.020855
2022-01,138,0.15534,0.154979,0.066834,0.039317
2022-02,341,-0.107639,-0.095565,-0.0333,-0.067851
2022-03,49,0.016328,-0.026431,-0.019918,0.025096
2022-04,252,0.032666,0.019424,0.003992,0.002552
2022-05,244,-0.090482,-0.021571,-0.042281,-0.013049
2022-06,29,0.040153,0.059113,-0.004925,0.051271
2022-07,256,0.036515,0.069084,-0.000228,0.017037
2022-08,246,-0.042131,-0.051194,-0.009989,-0.009594
2022-09,23,-0.01088,0.079051,-0.01136,0.000104
2022-10,257,-0.107552,-0.128423,-0.020997,-0.024986
2022-11,235,0.037099,0.094027,0.015574,0.027425
2022-12,38,0.406194,0.052194,0.092789,0.048607
2023-01,122,0.123305,0.13575,0.004341,0.013042
2023-02,349,0.079137,0.047826,0.027968,0.019099
2023-03,59,0.16137,0.078609,0.12436,0.126957
2023-04,244,0.040874,0.045503,0.008731,0.013531
2023-05,252,0.087499,0.036277,0.061611,0.06844
2023-06,34,0.333563,0.152024,0.099682,0.071495
2023-07,247,0.131623,0.159418,0.027168,0.030342
2023-08,255,0.046917,0.093966,0.024723,0.063751
2023-09,28,-0.023001,0.049261,0.060599,0.013238
2023-10,246,-0.030416,-0.011485,-0.025598,-0.02074
2023-11,253,0.083265,0.021327,0.044485,0.024811
2023-12,34,0.001222,0.090909,0.104902,0.161335
2024-01,137,0.021868,0.009313,0.011102,0.000186
2024-02,344,-0.016346,0.041446,-0.024392,-0.010133
2024-03,53,0.040357,0.087683,-0.004094,0.018222
2024-04,226,0.008435,0.027214,0.006375,0.014682
2024-05,279,0.076051,0.07245,0.015301,0.0104
2024-06,29,-0.048793,0.003202,-0.049636,-0.036816
2024-07,246,0.024529,0.023688,-0.001547,0.008392
2024-08,264,0.145851,0.179167,0.097075,0.12823
2024-09,22,0.049125,-0.009599,-0.079387,-0.127185
2024-10,282,-0.05819,-0.035854,-0.026787,-0.007478
2024-11,218,-0.085024,-0.051788,0.001825,-0.033754
2024-12,40,0.149444,0.088555,0.026664,0.003127
2025-01,151,0.125646,0.092876,0.026874,0.020829
2025-02,350,-0.06448,-0.082332,-0.031801,-0.028435
2025-03,35,0.039779,-0.014007,0.027902,0.027902
2025-04,224,-0.03253,-0.032772,0.015999,-0.004673
2025-05,283,-0.147914,-0.129463,-0.096402,-0.118657
2025-06,29,-0.084278,-0.022909,0.021751,0.033956
2025-07,259,-0.125008,-0.135378,-0.032539,-0.039104
2025-08,249,-0.001305,-0.003887,0.000768,-0.01737
2025-09,26,0.023252,0.033846,0.063021,0.041844
2025-10,307,-0.099469,-0.097526,-0.026152,-0.030676
2025-11,195,-0.068271,-0.108748,-0.040029,-0.104165
2025-12,41,0.146696,0.102787,0.141831,0.138922
2026-01,144,-0.010751,-0.029033,-0.02888,0.003148
2026-02,351,-0.025984,-0.084521,-0.022266,-0.091579
2026-03,31,-0.342776,-0.362243,-0.193317,-0.224077
