rank,ticker,repaired_sector,sector_confidence,composite_sn_repaired,fcf_leg_z,accruals_leg_z,liquidity_proxy,has_local_price,order_action
1,EXPE,Consumer Discretionary,HIGH,8.76583,3.824288,4.941542,319234945.76,True,NO_ORDER
2,EA,Communication Services,HIGH,6.062905,3.026157,3.036748,356483975.59,True,NO_ORDER
3,APP,Information Technology,HIGH,5.078696,4.814712,0.263984,958690151.55,False,NO_ORDER
4,LULU,Consumer Discretionary,HIGH,4.408899,2.808783,1.600116,453086139.0,True,NO_ORDER
5,IP,Materials,HIGH,4.012426,0.260093,3.752333,167255542.47,True,NO_ORDER
6,SNDK,Information Technology,HIGH,3.550716,5.09408,-1.543364,5533086460.12,False,NO_ORDER
7,DXCM,Health Care,HIGH,3.413812,1.725722,1.68809,658743622.53,True,NO_ORDER
8,LYV,Communication Services,HIGH,3.002095,1.020522,1.981574,170609749.28,True,NO_ORDER
9,SHOP,Information Technology,HIGH,2.812187,-0.020007,2.832194,927856082.41,False,NO_ORDER
10,APD,Materials,HIGH,2.705294,2.058657,0.646637,254762317.73,False,NO_ORDER
11,SMERY,Industrials,MEDIUM,2.698314,1.09018,1.608134,7023039.78,False,NO_ORDER
12,ANET,Information Technology,HIGH,2.561036,1.498973,1.062063,404809200.87,False,NO_ORDER
13,BUD,Consumer Staples,HIGH,2.524666,0.899565,1.625101,122397413.78,False,NO_ORDER
14,GWW,Industrials,HIGH,2.308854,1.574922,0.733932,176730641.51,False,NO_ORDER
15,ABNB,Consumer Discretionary,HIGH,2.287194,1.01076,1.276434,784821121.34,False,NO_ORDER
16,EXPD,Industrials,HIGH,2.268359,1.645955,0.622403,117393215.55,True,NO_ORDER
17,B,Materials,HIGH,2.219894,1.154503,1.065392,307679708.26,False,NO_ORDER
18,UBER,Industrials,HIGH,2.140016,0.784752,1.355264,1144371239.27,False,NO_ORDER
19,FOX,Communication Services,HIGH,2.115521,1.137863,0.977657,50208974.53,True,NO_ORDER
20,FOXA,Communication Services,HIGH,2.115521,1.137863,0.977657,150817976.1,True,NO_ORDER
21,FANG,Energy,HIGH,2.098728,0.388789,1.709939,247907728.78,True,NO_ORDER
22,RACE,Consumer Discretionary,HIGH,2.013946,1.28244,0.731506,93826808.25,False,NO_ORDER
23,GDDY,Information Technology,HIGH,1.91769,0.833941,1.083749,122420743.27,True,NO_ORDER
24,DDOG,Information Technology,HIGH,1.894192,0.445642,1.44855,488871765.25,False,NO_ORDER
25,PLTR,Information Technology,HIGH,1.852383,1.923186,-0.070803,3201525631.14,False,NO_ORDER
26,DVN,Energy,HIGH,1.848652,0.381967,1.466685,335139375.54,True,NO_ORDER
27,RMD,Health Care,HIGH,1.84309,1.421161,0.421929,135901199.41,True,NO_ORDER
28,MO,Consumer Staples,HIGH,1.710402,1.597009,0.113393,319967134.64,False,NO_ORDER
29,ITW,Industrials,HIGH,1.708209,1.324755,0.383454,211104910.16,False,NO_ORDER
30,JKHY,Financials,HIGH,1.668144,1.249316,0.418828,82117957.09,True,NO_ORDER
31,SYK,Health Care,HIGH,1.495396,0.697079,0.798317,326609661.47,False,NO_ORDER
32,XYZ,Industrials,HIGH,1.485561,0.250958,1.234603,859760671.19,True,NO_ORDER
33,SMFG,Financials,HIGH,1.448795,0.502098,0.946697,15779865.67,False,NO_ORDER
34,HST,Real Estate,HIGH,1.405509,0.54225,0.863259,137963806.01,True,NO_ORDER
35,VRTX,Health Care,HIGH,1.359825,1.04701,0.312815,403766019.07,False,NO_ORDER
36,IDXX,Health Care,HIGH,1.345304,1.780115,-0.434812,190059477.03,True,NO_ORDER
37,MNST,Consumer Staples,HIGH,1.294848,1.213763,0.081085,236069285.09,False,NO_ORDER
38,MCK,Health Care,HIGH,1.293839,0.733787,0.560052,342493152.87,False,NO_ORDER
39,IT,Information Technology,HIGH,1.21754,0.514726,0.702815,134733167.67,True,NO_ORDER
40,NBIS,Information Technology,HIGH,1.188448,-1.580459,2.768907,1308909597.8,False,NO_ORDER
41,MUFG,Financials,HIGH,1.146798,0.372665,0.774134,21112561.48,False,NO_ORDER
42,AAPL,Information Technology,HIGH,1.088566,1.367338,-0.278772,9706746175.48,False,NO_ORDER
43,CAH,Health Care,HIGH,1.071115,0.350288,0.720827,204013506.7,True,NO_ORDER
44,FTNT,Information Technology,HIGH,1.031774,0.773303,0.258472,271073332.35,False,NO_ORDER
45,MA,Financials,HIGH,1.030063,1.656672,-0.62661,1063080377.88,False,NO_ORDER
46,CAT,Industrials,HIGH,0.997221,0.559129,0.438092,716759000.27,False,NO_ORDER
47,RSG,Industrials,HIGH,0.959091,0.190356,0.768734,149111920.36,False,NO_ORDER
48,ALB,Materials,HIGH,0.946707,0.607859,0.338848,232088954.09,True,NO_ORDER
49,LH,Health Care,HIGH,0.93814,0.244713,0.693428,147018170.59,True,NO_ORDER
50,GILD,Health Care,HIGH,0.923154,0.839109,0.084045,540155682.66,False,NO_ORDER
51,NDSN,Industrials,HIGH,0.875798,0.46579,0.410009,50705355.09,True,NO_ORDER
52,EOG,Energy,HIGH,0.872593,0.571605,0.300988,315882949.61,False,NO_ORDER
53,AIZ,Financials,HIGH,0.852228,0.307226,0.545002,61609768.63,True,NO_ORDER
54,LIN,Materials,HIGH,0.838358,0.393172,0.445186,527167734.62,False,NO_ORDER
