candidate,family,neutralization,horizon,n_months,mean_ic,ic_t,ic_nw_t,pos_ic_rate,gross_spread,net25,net50,avg_turnover,max_year_frac,corr_vs_champion
mom_12_1,MOMENTUM,raw,fwd_1m,425,0.03404,5.004,5.01,0.628,0.00922,0.00784,0.00647,0.2756,0.374,0.0636
mom_12_1,MOMENTUM,raw,fwd_3m,423,0.04115,6.296,4.337,0.664,0.02469,0.02331,0.02194,0.2758,0.408,0.0636
mom_12_1,MOMENTUM,raw,fwd_6m,420,0.04818,7.04,3.411,0.702,0.03156,0.03018,0.0288,0.2761,0.596,0.0636
mom_12_1,MOMENTUM,sector_neutral,fwd_1m,425,0.02785,5.123,5.129,0.642,0.00746,0.00563,0.00379,0.3669,0.47,0.012
mom_12_1,MOMENTUM,sector_neutral,fwd_3m,423,0.03129,5.956,4.157,0.648,0.01484,0.01302,0.01119,0.3661,0.674,0.012
mom_12_1,MOMENTUM,sector_neutral,fwd_6m,420,0.04281,8.029,4.034,0.71,0.02061,0.01879,0.01697,0.3649,0.855,0.012
mom_6_1,MOMENTUM,raw,fwd_1m,430,0.02679,4.238,4.243,0.609,0.00967,0.00786,0.00605,0.3632,0.301,0.0499
mom_6_1,MOMENTUM,raw,fwd_3m,428,0.03843,6.646,4.959,0.661,0.03141,0.0296,0.02778,0.3637,0.25,0.0499
mom_6_1,MOMENTUM,raw,fwd_6m,425,0.05794,9.677,5.135,0.715,0.05657,0.05475,0.05293,0.3642,0.257,0.0499
mom_6_1,MOMENTUM,sector_neutral,fwd_1m,430,0.02244,4.468,4.473,0.593,0.00587,0.00365,0.00144,0.4433,0.605,0.017
mom_6_1,MOMENTUM,sector_neutral,fwd_3m,428,0.03176,6.817,5.091,0.65,0.02025,0.01804,0.01584,0.4418,0.397,0.017
mom_6_1,MOMENTUM,sector_neutral,fwd_6m,425,0.04833,10.028,5.37,0.755,0.03642,0.03421,0.03201,0.4413,0.395,0.017
mom_3_1,MOMENTUM,raw,fwd_1m,431,0.015,2.55,2.553,0.578,0.00564,0.00312,0.00061,0.5042,0.306,0.0442
mom_3_1,MOMENTUM,raw,fwd_3m,429,0.0234,4.563,3.5,0.594,0.02211,0.01959,0.01707,0.5052,0.183,0.0442
mom_3_1,MOMENTUM,raw,fwd_6m,426,0.03958,7.73,5.11,0.714,0.04342,0.0409,0.03838,0.5056,0.188,0.0442
mom_3_1,MOMENTUM,sector_neutral,fwd_1m,431,0.01472,3.193,3.197,0.566,0.00345,0.00066,-0.00213,0.5591,1.212,0.0095
mom_3_1,MOMENTUM,sector_neutral,fwd_3m,429,0.0219,5.371,4.23,0.611,0.01508,0.01229,0.0095,0.5591,0.317,0.0095
mom_3_1,MOMENTUM,sector_neutral,fwd_6m,426,0.03369,8.358,5.444,0.739,0.02618,0.0234,0.02062,0.5572,0.356,0.0095
rev_1m,SHORT_REVERSAL,raw,fwd_1m,431,0.01137,2.151,2.153,0.531,0.00578,0.00156,-0.00267,0.8477,0.682,-0.0567
rev_1m,SHORT_REVERSAL,raw,fwd_3m,429,-0.00464,-0.933,-0.862,0.473,-0.00501,-0.00924,-0.01348,0.8484,0.34,-0.0567
rev_1m,SHORT_REVERSAL,raw,fwd_6m,426,-0.01498,-3.158,-2.842,0.425,-0.01777,-0.022,-0.02623,0.8487,0.198,-0.0567
rev_1m,SHORT_REVERSAL,sector_neutral,fwd_1m,431,0.01552,3.681,3.685,0.587,0.00846,0.00416,-0.00013,0.8611,0.305,-0.0116
rev_1m,SHORT_REVERSAL,sector_neutral,fwd_3m,429,-0.00199,-0.491,-0.422,0.506,0.00034,-0.00396,-0.00825,0.8614,0.536,-0.0116
rev_1m,SHORT_REVERSAL,sector_neutral,fwd_6m,426,-0.01312,-3.388,-2.63,0.43,-0.00896,-0.01325,-0.01755,0.8608,0.317,-0.0116
lowvol_12m,LOW_VOLATILITY,raw,fwd_1m,425,0.04488,5.147,5.153,0.586,0.00167,0.00094,0.00021,0.1459,2.579,-0.04
lowvol_12m,LOW_VOLATILITY,raw,fwd_3m,423,0.0686,7.605,5.222,0.619,0.00552,0.00479,0.00407,0.1458,1.602,-0.04
lowvol_12m,LOW_VOLATILITY,raw,fwd_6m,420,0.10027,11.397,5.621,0.707,0.01269,0.01197,0.01124,0.1454,1.145,-0.04
lowvol_12m,LOW_VOLATILITY,sector_neutral,fwd_1m,425,0.02282,5.112,5.118,0.584,0.00595,0.00509,0.00422,0.1729,0.25,0.071
lowvol_12m,LOW_VOLATILITY,sector_neutral,fwd_3m,423,0.03469,7.387,5.044,0.619,0.02071,0.01985,0.01899,0.173,0.307,0.071
