candidate,neutralization,horizon,slice,n_months,mean_ic,ic_t,net25,gross_spread,long_only,maxdd
mom_12_1,raw,fwd_1m,full,425,0.03404,5.004,0.00784,0.00922,0.01388,-1.57944
mom_12_1,raw,fwd_1m,dev,318,0.03465,4.41,0.00756,0.00896,0.01375,-1.57944
mom_12_1,raw,fwd_1m,val,48,0.00354,0.163,-0.00164,-0.00029,0.0177,-0.5885
mom_12_1,raw,fwd_1m,holdout,59,0.05553,3.298,0.01709,0.01837,0.01144,-0.29765
mom_12_1,raw,fwd_1m,pre2020,348,0.03374,4.471,0.00781,0.0092,0.01334,-1.57944
mom_12_1,raw,fwd_1m,post2020,77,0.03537,2.24,0.00799,0.00932,0.01628,-0.5885
mom_12_1,raw,fwd_3m,full,423,0.04115,6.296,0.02331,0.02469,0.03796,-4.65323
mom_12_1,raw,fwd_3m,dev,318,0.04078,5.305,0.02317,0.02457,0.03655,-4.65323
mom_12_1,raw,fwd_3m,val,48,-0.00031,-0.016,0.00022,0.00157,0.0523,-1.28014
mom_12_1,raw,fwd_3m,holdout,57,0.07813,5.507,0.04356,0.04485,0.03377,-0.51488
mom_12_1,raw,fwd_3m,pre2020,348,0.04089,5.667,0.02389,0.02528,0.03441,-4.65323
mom_12_1,raw,fwd_3m,post2020,75,0.04235,2.727,0.02064,0.02197,0.05446,-1.28014
mom_12_1,raw,fwd_6m,full,420,0.04818,7.04,0.03018,0.03156,0.06768,-11.00881
mom_12_1,raw,fwd_6m,dev,318,0.04731,5.912,0.02938,0.03078,0.06649,-11.00881
mom_12_1,raw,fwd_6m,val,48,-0.00028,-0.012,-0.0178,-0.01645,0.08764,-3.21199
mom_12_1,raw,fwd_6m,holdout,54,0.09637,8.187,0.0775,0.07879,0.05692,-1.34645
mom_12_1,raw,fwd_6m,pre2020,348,0.04879,6.546,0.03221,0.03359,0.06213,-11.00881
mom_12_1,raw,fwd_6m,post2020,72,0.04523,2.612,0.02037,0.02171,0.09447,-3.21199
mom_12_1,sector_neutral,fwd_1m,full,425,0.02785,5.123,0.00563,0.00746,0.01319,-1.32491
mom_12_1,sector_neutral,fwd_1m,dev,318,0.03194,5.339,0.0065,0.00812,0.01344,-1.32491
mom_12_1,sector_neutral,fwd_1m,val,48,-0.00583,-0.319,-0.00034,0.00216,0.01448,-0.43636
mom_12_1,sector_neutral,fwd_1m,holdout,59,0.03322,2.048,0.00577,0.00816,0.01075,-0.26099
mom_12_1,sector_neutral,fwd_1m,pre2020,348,0.03108,5.362,0.00688,0.00855,0.01308,-1.32491
mom_12_1,sector_neutral,fwd_1m,post2020,77,0.01326,0.908,-7e-05,0.0025,0.01366,-0.53895
mom_12_1,sector_neutral,fwd_3m,full,423,0.03129,5.956,0.01302,0.01484,0.03493,-3.98453
mom_12_1,sector_neutral,fwd_3m,dev,318,0.03494,5.716,0.01298,0.0146,0.03497,-3.98453
mom_12_1,sector_neutral,fwd_3m,val,48,-0.01647,-1.096,-0.00837,-0.00586,0.03691,-1.16943
mom_12_1,sector_neutral,fwd_3m,holdout,57,0.05114,4.028,0.03124,0.03362,0.03301,-0.26304
mom_12_1,sector_neutral,fwd_3m,pre2020,348,0.03385,5.882,0.01351,0.01518,0.03277,-3.98453
mom_12_1,sector_neutral,fwd_3m,post2020,75,0.01941,1.512,0.01072,0.01328,0.04492,-1.18691
mom_12_1,sector_neutral,fwd_6m,full,420,0.04281,8.029,0.01879,0.02061,0.06268,-7.79432
mom_12_1,sector_neutral,fwd_6m,dev,318,0.04362,6.993,0.01522,0.01685,0.06243,-7.79432
mom_12_1,sector_neutral,fwd_6m,val,48,0.0015,0.095,-0.01559,-0.01309,0.07237,-2.44985
mom_12_1,sector_neutral,fwd_6m,holdout,54,0.07475,6.493,0.07035,0.07272,0.05558,-0.42813
mom_12_1,sector_neutral,fwd_6m,pre2020,348,0.04321,7.406,0.01785,0.01951,0.05818,-7.79432
mom_12_1,sector_neutral,fwd_6m,post2020,72,0.04088,3.095,0.02335,0.02592,0.08443,-2.44985
mom_6_1,raw,fwd_1m,full,430,0.02679,4.238,0.00786,0.00967,0.0143,-1.2242
mom_6_1,raw,fwd_1m,dev,323,0.02339,3.206,0.00668,0.00852,0.01385,-1.2242
mom_6_1,raw,fwd_1m,val,48,0.02239,1.17,0.00959,0.01137,0.0232,-0.26741
mom_6_1,raw,fwd_1m,holdout,59,0.04898,2.902,0.01287,0.01458,0.00956,-0.25529
mom_6_1,raw,fwd_1m,pre2020,353,0.02345,3.338,0.00684,0.00866,0.01345,-1.2242
mom_6_1,raw,fwd_1m,post2020,77,0.0421,2.921,0.01253,0.01428,0.0182,-0.25529
mom_6_1,raw,fwd_3m,full,428,0.03843,6.646,0.0296,0.03141,0.04332,-3.40275
mom_6_1,raw,fwd_3m,dev,323,0.03356,4.974,0.02833,0.03017,0.04243,-3.40275
mom_6_1,raw,fwd_3m,val,48,0.03054,1.928,0.02395,0.02573,0.0617,-0.38412
mom_6_1,raw,fwd_3m,holdout,57,0.07268,4.801,0.04151,0.04323,0.03295,-0.48914
mom_6_1,raw,fwd_3m,pre2020,353,0.03502,5.51,0.02836,0.03019,0.03982,-3.40275
