variant,neutralization,mask,note,horizon,n_months,mean_ic,ic_t,ic_nw_t,pos_ic_rate,gross_spread,gross_t,net25,net50,avg_turnover,pre2020_ic,post2020_ic,holdout_net25
mom_12_1,raw,base,12-1 reference,fwd_1m,425,0.03404,5.004,5.01,0.628,0.00922,2.12,0.00784,0.00647,0.2756,0.03374,0.03537,0.01709
mom_12_1,raw,base,12-1 reference,fwd_3m,423,0.04115,6.296,4.337,0.664,0.02469,3.438,0.02331,0.02194,0.2758,0.04089,0.04235,0.04356
mom_12_1,raw,base,12-1 reference,fwd_6m,420,0.04818,7.04,3.411,0.702,0.03156,2.603,0.03018,0.0288,0.2761,0.04879,0.04523,0.0775
mom_6_1,raw,base,6-1 neighbor,fwd_1m,430,0.02679,4.238,4.243,0.609,0.00967,2.298,0.00786,0.00605,0.3632,0.02345,0.0421,0.01287
mom_6_1,raw,base,6-1 neighbor,fwd_3m,428,0.03843,6.646,4.959,0.661,0.03141,4.726,0.0296,0.02778,0.3637,0.03502,0.05448,0.04151
mom_6_1,raw,base,6-1 neighbor,fwd_6m,425,0.05794,9.677,5.135,0.715,0.05657,5.139,0.05475,0.05293,0.3642,0.05606,0.06713,0.08287
mom_3_1,raw,base,3-1 neighbor,fwd_3m,429,0.0234,4.563,3.5,0.594,0.02211,4.025,0.01959,0.01707,0.5052,0.01875,0.04532,0.02661
mom_12_1,sector_neutral,base,residual vs sector,fwd_3m,423,0.03129,5.956,4.157,0.648,0.01484,2.569,0.01302,0.01119,0.3661,0.03385,0.01941,0.03124
mom_6_1,sector_neutral,base,residual vs sector,fwd_3m,428,0.03176,6.817,5.091,0.65,0.02025,3.699,0.01804,0.01584,0.4418,0.03365,0.02285,0.01776
mom_voladj,raw,base,volatility-adjusted 12-1,fwd_3m,423,0.05005,7.788,5.397,0.667,0.02838,5.538,0.02683,0.02528,0.3116,0.04832,0.05809,0.05119
resid_mom_spy,raw,base,residual vs SPY (trailing beta),fwd_3m,363,0.03466,5.274,3.703,0.634,0.0203,3.554,0.01894,0.01757,0.273,0.0352,0.03255,0.02735
mom_12_1,raw,min_liq_top2tertile,min-liquidity screen,fwd_3m,423,0.02603,3.724,2.605,0.61,0.02379,3.605,0.02221,0.02064,0.3162,0.02592,0.02656,0.05301
mom_12_1,raw,ex_illiq_decile,exclude lowest liquidity decile,fwd_3m,423,0.03513,5.273,3.656,0.648,0.02363,3.366,0.02217,0.0207,0.2941,0.03512,0.03516,0.03916
mom_12_1,raw,min_history,require >=12m trailing history,fwd_3m,423,0.04115,6.296,4.337,0.664,0.02469,3.438,0.02331,0.02194,0.2758,0.04089,0.04235,0.04356
