ticker,base_symbol,delist_yyyymm,gics_sector,is_delisted
A,A,,Health Care,False
AA,AA,,Materials,False
AABA-201910,AABA,201910,Consumer Discretionary,True
AAC-199601,AAC,199601,Industrials,True
AAC-200004,AAC,200004,Financials,True
AACC-201306,AACC,201306,Financials,True
AACE-200610,AACE,200610,Financials,True
AACH-202012,AACH,202012,Health Care,True
AACI-199711,AACI,199711,Consumer Discretionary,True
AADV-199804,AADV,199804,Financials,True
AAH-199805,AAH,199805,Financials,True
AAI-199908,AAI,199908,Industrials,True
AAI-201105,AAI,201105,Industrials,True
AAIC-202312,AAIC,202312,Financials,True
AAIIQ,AAIIQ,,Industrials,False
AAIIQ-200603,AAIIQ,200603,Health Care,True
AAL,AAL,,Industrials,False
AAL-199702,AAL,199702,Financials,True
AALR-199707,AALR,199707,Information Technology,True
AAMCF,AAMCF,,Real Estate,False
AAMI,AAMI,,Financials,False
AAMRQ-201312,AAMRQ,201312,Industrials,True
AAN-201012,AAN,201012,Consumer Discretionary,True
AAN-202410,AAN,202410,Consumer Discretionary,True
AAOI,AAOI,,Information Technology,False
AAON,AAON,,Industrials,False
AAP,AAP,,Consumer Discretionary,False
AAPL,AAPL,,Information Technology,False
AARD,AARD,,Health Care,False
AAT,AAT,,Real Estate,False
AATI-199906,AATI,199906,Industrials,True
AATI-201201,AATI,201201,Information Technology,True
AATT-200002,AATT,200002,Information Technology,True
AAV-199901,AAV,199901,Financials,True
AAWHQ-200407,AAWHQ,200407,Industrials,True
AAWW-202303,AAWW,202303,Industrials,True
AB-199708,AB,199708,Financials,True
ABAT,ABAT,,Materials,False
ABAT-201512,ABAT,201512,Industrials,True
ABAX-201807,ABAX,201807,Health Care,True
ABBC-201109,ABBC,201109,Financials,True
ABBV,ABBV,,Health Care,False
ABBY-199506,ABBY,199506,Health Care,True
ABCB,ABCB,,Financials,False
ABCC-199810,ABCC,199810,UNKNOWN,True
ABCD-201812,ABCD,201812,Consumer Discretionary,True
ABCL,ABCL,,Health Care,False
ABCL-200107,ABCL,200107,Financials,True
ABCO-199905,ABCO,199905,Consumer Discretionary,True
ABCO-201711,ABCO,201711,Industrials,True
ABCP,ABCP,,Real Estate,False
ABCR-200110,ABCR,200110,Industrials,True
ABCW-201604,ABCW,201604,Financials,True
ABCWQ-201309,ABCWQ,201309,Financials,True
ABDN-199212,ABDN,199212,Health Care,True
ABDR-199911,ABDR,199911,Industrials,True
ABDS-201012,ABDS,201012,Energy,True
ABE-199506,ABE,199506,Industrials,True
ABEO,ABEO,,Health Care,False
ABF-200308,ABF,200308,Industrials,True
ABG,ABG,,Consumer Discretionary,False
ABG-199311,ABG,199311,Industrials,True
ABGX-200603,ABGX,200603,Health Care,True
ABI-199908,ABI,199908,Financials,True
ABI-200811,ABI,200811,Health Care,True
ABII-201010,ABII,201010,Health Care,True
ABIO-199302,ABIO,199302,Health Care,True
ABIZQ-200204,ABIZQ,200204,Communication Services,True
ABKFQ-201304,ABKFQ,201304,Financials,True
ABKR-199501,ABKR,199501,Financials,True
ABLSQ-200608,ABLSQ,200608,Health Care,True
ABLT,ABLT,,Materials,False
ABM,ABM,,Industrials,False
ABMD-202212,ABMD,202212,Health Care,True
ABN-199908,ABN,199908,Industrials,True
ABNB,ABNB,,Consumer Discretionary,False
ABNK-200512,ABNK,200512,UNKNOWN,True
ABOS,ABOS,,Health Care,False
ABOV-199909,ABOV,199909,Information Technology,True
ABP-200002,ABP,200002,Industrials,True
ABR,ABR,,Financials,False
ABRX-199907,ABRX,199907,Financials,True
ABS-200606,ABS,200606,Consumer Staples,True
ABSC-200107,ABSC,200107,Health Care,True
ABSI,ABSI,,Health Care,False
ABT,ABT,,Health Care,False
ABTC,ABTC,,Information Technology,False
