year,survivorship_free_members,current_members_daily_universe,note
2016,2968,301,phase7i current-members universe is fixed at ~301 alive-today names
2017,2962,301,phase7i current-members universe is fixed at ~301 alive-today names
2018,2982,301,phase7i current-members universe is fixed at ~301 alive-today names
2019,2986,301,phase7i current-members universe is fixed at ~301 alive-today names
2020,3005,301,phase7i current-members universe is fixed at ~301 alive-today names
2021,3048,301,phase7i current-members universe is fixed at ~301 alive-today names
2022,3012,301,phase7i current-members universe is fixed at ~301 alive-today names
2023,2969,301,phase7i current-members universe is fixed at ~301 alive-today names
2024,2964,301,phase7i current-members universe is fixed at ~301 alive-today names
2025,2972,301,phase7i current-members universe is fixed at ~301 alive-today names
2026,2934,301,phase7i current-members universe is fixed at ~301 alive-today names
