candidate,family,neutralization,frequency,primary_horizon,status,reasons,adjusted_p,adj_ic_t,mean_ic,ic_t,ic_nw_t,pos_ic_rate,gross_spread,gross_t,net25,net50,holdout_net25,pre2020_ic,post2020_ic,avg_turnover,max_year_frac,corr_champ,corr_ok,data_class
mom_12_1,MOMENTUM,raw,monthly,fwd_3m,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,YEAR_CONCENTRATION(0.408>0.4),0.00043,4.337,0.04115,6.296,4.337,0.664,0.02469,3.438,0.02331,0.02194,0.04356,0.04089,0.04235,0.2758,0.408,0.1206,True,
mom_12_1,MOMENTUM,sector_neutral,monthly,fwd_3m,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,YEAR_CONCENTRATION(0.674>0.4),0.00097,4.157,0.03129,5.956,4.157,0.648,0.01484,2.569,0.01302,0.01119,0.03124,0.03385,0.01941,0.3661,0.674,0.1071,True,
mom_6_1,MOMENTUM,raw,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,2e-05,4.959,0.03843,6.646,4.959,0.661,0.03141,4.726,0.0296,0.02778,0.04151,0.03502,0.05448,0.3637,0.25,0.1186,True,
mom_6_1,MOMENTUM,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,1e-05,5.091,0.03176,6.817,5.091,0.65,0.02025,3.699,0.01804,0.01584,0.01776,0.03365,0.02285,0.4418,0.397,0.1079,True,
mom_3_1,MOMENTUM,raw,monthly,fwd_1m,REJECTED,WEAK_SPREAD_T(gross_t=1.52<2.0);FAILS_MULTIPLE_TESTING(adj_p=0.3204),0.3204,2.553,0.015,2.55,2.553,0.578,0.00564,1.524,0.00312,0.00061,0.0066,0.01173,0.03001,0.5042,0.306,0.1161,True,
mom_3_1,MOMENTUM,sector_neutral,monthly,fwd_1m,REJECTED,WEAK_SPREAD_T(gross_t=1.14<2.0);YEAR_CONCENTRATION(1.212>0.4),0.04166,3.197,0.01472,3.193,3.197,0.566,0.00345,1.137,0.00066,-0.00213,0.00202,0.01154,0.02933,0.5591,1.212,0.1214,True,
mom_voladj,MOMENTUM,raw,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.0,5.397,0.05005,7.788,5.397,0.667,0.02838,5.538,0.02683,0.02528,0.05119,0.04832,0.05809,0.3116,0.174,0.1111,True,
mom_voladj,MOMENTUM,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.0,5.686,0.04051,8.263,5.686,0.671,0.02399,6.27,0.02245,0.02092,0.04806,0.03912,0.04698,0.3084,0.189,0.1104,True,
resid_mom_spy,MOMENTUM,raw,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.00639,3.703,0.03466,5.274,3.703,0.634,0.0203,3.554,0.01894,0.01757,0.02735,0.0352,0.03255,0.273,0.249,0.1186,True,
resid_mom_spy,MOMENTUM,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.00388,3.828,0.02978,5.478,3.828,0.617,0.01411,2.909,0.01255,0.01099,0.02627,0.02914,0.03224,0.313,0.237,0.1137,True,
