candidate,neutralization,cohort,ic_t,mean_ic,n
mom_12_1,raw,large,2.789,0.02273,423
mom_12_1,raw,small,10.148,0.06667,423
mom_12_1,sector_neutral,large,2.711,0.01648,423
mom_12_1,sector_neutral,small,8.567,0.05012,423
mom_6_1,raw,large,2.458,0.01789,428
mom_6_1,raw,small,10.819,0.06238,428
mom_6_1,sector_neutral,large,2.479,0.01343,428
mom_6_1,sector_neutral,small,9.699,0.05009,428
mom_3_1,raw,large,0.147,0.00111,431
mom_3_1,raw,small,5.699,0.03158,431
mom_3_1,sector_neutral,large,0.769,0.00428,431
mom_3_1,sector_neutral,small,5.572,0.02683,431
mom_voladj,raw,large,4.26,0.03339,423
mom_voladj,raw,small,10.873,0.0664,423
mom_voladj,sector_neutral,large,4.759,0.02954,423
mom_voladj,sector_neutral,small,10.365,0.04724,423
resid_mom_spy,raw,large,2.834,0.02367,363
resid_mom_spy,raw,small,8.976,0.05644,363
resid_mom_spy,sector_neutral,large,3.647,0.02384,363
resid_mom_spy,sector_neutral,small,7.865,0.04615,363
rev_1m,raw,large,0.579,0.00398,431
rev_1m,raw,small,3.705,0.01837,431
rev_1m,sector_neutral,large,1.307,0.00661,431
rev_1m,sector_neutral,small,5.516,0.02538,431
trend_ma12,raw,large,3.183,0.02436,423
trend_ma12,raw,small,11.21,0.07211,423
trend_ma12,sector_neutral,large,3.371,0.01979,423
trend_ma12,sector_neutral,small,10.771,0.05904,423
breakout_12,raw,large,4.034,0.0325,423
breakout_12,raw,small,11.842,0.09033,423
breakout_12,sector_neutral,large,3.836,0.02315,423
breakout_12,sector_neutral,small,11.879,0.06961,423
trend_consistency,raw,large,4.374,0.02722,422
trend_consistency,raw,small,12.005,0.06383,422
trend_consistency,sector_neutral,large,4.891,0.0244,422
trend_consistency,sector_neutral,small,12.682,0.04846,422
lowvol_12m,raw,large,3.54,0.03775,423
lowvol_12m,raw,small,11.534,0.09498,423
lowvol_12m,sector_neutral,large,4.127,0.02339,423
lowvol_12m,sector_neutral,small,9.483,0.04485,423
downside_vol,raw,large,4.473,0.045,424
downside_vol,raw,small,11.282,0.10012,424
downside_vol,sector_neutral,large,3.76,0.03388,424
downside_vol,sector_neutral,small,11.268,0.09048,424
ivol_spy,raw,large,3.705,0.03731,352
ivol_spy,raw,small,9.941,0.08296,352
ivol_spy,sector_neutral,large,3.143,0.01789,352
ivol_spy,sector_neutral,small,6.678,0.03308,352
liquidity,raw,large,3.806,0.02257,423
liquidity,raw,small,13.029,0.04358,423
