signal,mom_12_1,mom_12_1_sn,mom_6_1,mom_6_1_sn,mom_voladj,mom_voladj_sn,resid_mom_spy,resid_mom_spy_sn,trend_ma12,trend_ma12_sn,breakout_12,breakout_12_sn,trend_consistency,trend_consistency_sn,lowvol_12m_sn,ivol_spy_sn
mom_12_1,1.0,0.75,0.693,0.513,0.928,0.872,0.906,0.674,0.854,0.727,0.644,0.512,0.629,0.587,0.036,0.035
mom_12_1_sn,0.75,1.0,0.531,0.628,0.704,0.787,0.682,0.792,0.651,0.749,0.493,0.477,0.474,0.517,-0.064,-0.057
mom_6_1,0.693,0.531,1.0,0.756,0.664,0.63,0.645,0.492,0.901,0.781,0.69,0.548,0.467,0.441,0.015,0.016
mom_6_1_sn,0.513,0.628,0.756,1.0,0.495,0.555,0.477,0.541,0.678,0.777,0.524,0.493,0.345,0.377,-0.089,-0.092
mom_voladj,0.928,0.704,0.664,0.495,1.0,0.932,0.906,0.672,0.811,0.683,0.683,0.489,0.686,0.629,0.077,0.054
mom_voladj_sn,0.872,0.787,0.63,0.555,0.932,1.0,0.852,0.754,0.766,0.781,0.632,0.604,0.635,0.675,0.14,0.117
resid_mom_spy,0.906,0.682,0.645,0.477,0.906,0.852,1.0,0.744,0.786,0.671,0.626,0.466,0.613,0.568,0.036,0.014
resid_mom_spy_sn,0.674,0.792,0.492,0.541,0.672,0.754,0.744,1.0,0.596,0.685,0.467,0.464,0.445,0.494,0.009,-0.026
trend_ma12,0.854,0.651,0.901,0.678,0.811,0.766,0.786,0.596,1.0,0.858,0.789,0.622,0.561,0.527,0.029,0.027
trend_ma12_sn,0.727,0.749,0.781,0.777,0.683,0.781,0.671,0.685,0.858,1.0,0.665,0.751,0.464,0.542,0.096,0.107
breakout_12,0.644,0.493,0.69,0.524,0.683,0.632,0.626,0.467,0.789,0.665,1.0,0.676,0.515,0.45,0.118,0.077
breakout_12_sn,0.512,0.477,0.548,0.493,0.489,0.604,0.466,0.464,0.622,0.751,0.676,1.0,0.33,0.456,0.453,0.431
trend_consistency,0.629,0.474,0.467,0.345,0.686,0.635,0.613,0.445,0.561,0.464,0.515,0.33,1.0,0.931,0.071,0.056
trend_consistency_sn,0.587,0.517,0.441,0.377,0.629,0.675,0.568,0.494,0.527,0.542,0.45,0.456,0.931,1.0,0.166,0.158
lowvol_12m_sn,0.036,-0.064,0.015,-0.089,0.077,0.14,0.036,0.009,0.029,0.096,0.118,0.453,0.071,0.166,1.0,0.883
ivol_spy_sn,0.035,-0.057,0.016,-0.092,0.054,0.117,0.014,-0.026,0.027,0.107,0.077,0.431,0.056,0.158,0.883,1.0
