candidate,family,neutralization,primary_horizon,n_months,mean_ic,ic_t,ic_nw_t,screen_t,pos_ic_rate,gross_spread,net25,net50,avg_turnover,pre2020_ic,post2020_ic,pre_post_same_sign,screen_pass,screen_reasons
mom_12_1,MOMENTUM,raw,fwd_3m,423,0.04115,6.296,4.337,6.296,0.664,0.02469,0.02331,0.02194,0.2758,0.04089,0.04235,True,True,
mom_12_1,MOMENTUM,sector_neutral,fwd_3m,423,0.03129,5.956,4.157,5.956,0.648,0.01484,0.01302,0.01119,0.3661,0.03385,0.01941,True,True,
mom_6_1,MOMENTUM,raw,fwd_3m,428,0.03843,6.646,4.959,6.646,0.661,0.03141,0.0296,0.02778,0.3637,0.03502,0.05448,True,True,
mom_6_1,MOMENTUM,sector_neutral,fwd_3m,428,0.03176,6.817,5.091,6.817,0.65,0.02025,0.01804,0.01584,0.4418,0.03365,0.02285,True,True,
mom_3_1,MOMENTUM,raw,fwd_1m,431,0.015,2.55,2.553,2.553,0.578,0.00564,0.00312,0.00061,0.5042,0.01173,0.03001,True,True,
mom_3_1,MOMENTUM,sector_neutral,fwd_1m,431,0.01472,3.193,3.197,3.197,0.566,0.00345,0.00066,-0.00213,0.5591,0.01154,0.02933,True,True,
mom_voladj,MOMENTUM,raw,fwd_3m,423,0.05005,7.788,5.397,7.788,0.667,0.02838,0.02683,0.02528,0.3116,0.04832,0.05809,True,True,
mom_voladj,MOMENTUM,sector_neutral,fwd_3m,423,0.04051,8.263,5.686,8.263,0.671,0.02399,0.02245,0.02092,0.3084,0.03912,0.04698,True,True,
resid_mom_spy,MOMENTUM,raw,fwd_3m,363,0.03466,5.274,3.703,5.274,0.634,0.0203,0.01894,0.01757,0.273,0.0352,0.03255,True,True,
resid_mom_spy,MOMENTUM,sector_neutral,fwd_3m,363,0.02978,5.478,3.828,5.478,0.617,0.01411,0.01255,0.01099,0.313,0.02914,0.03224,True,True,
rev_1m,SHORT_REVERSAL,raw,fwd_1m,431,0.01137,2.151,2.153,2.153,0.531,0.00578,0.00156,-0.00267,0.8477,0.01838,-0.02085,False,True,
rev_1m,SHORT_REVERSAL,sector_neutral,fwd_1m,431,0.01552,3.681,3.685,3.685,0.587,0.00846,0.00416,-0.00013,0.8611,0.0236,-0.02162,False,True,
trend_ma12,TREND,raw,fwd_3m,423,0.04522,7.249,5.169,7.249,0.69,0.03199,0.0304,0.02881,0.3186,0.04318,0.05467,True,True,
trend_ma12,TREND,sector_neutral,fwd_3m,423,0.03799,7.644,5.376,7.644,0.693,0.02696,0.02538,0.0238,0.3173,0.03673,0.04385,True,True,
breakout_12,TREND,raw,fwd_3m,423,0.06065,8.258,5.781,8.258,0.702,0.02466,0.02275,0.02084,0.3837,0.05975,0.06481,True,True,
breakout_12,TREND,sector_neutral,fwd_3m,423,0.04598,8.355,5.813,8.355,0.719,0.02425,0.02273,0.02121,0.3043,0.04584,0.04666,True,True,
trend_consistency,TREND,raw,fwd_3m,422,0.04435,8.444,5.897,8.444,0.678,0.02099,0.01956,0.01813,0.2868,0.04283,0.05139,True,True,
trend_consistency,TREND,sector_neutral,fwd_3m,422,0.03599,9.084,6.313,9.084,0.678,0.01892,0.01747,0.01601,0.2921,0.03504,0.04039,True,True,
lowvol_12m,LOW_VOLATILITY,raw,fwd_3m,423,0.0686,7.605,5.222,7.605,0.619,0.00552,0.00479,0.00407,0.1458,0.06974,0.06333,True,True,
lowvol_12m,LOW_VOLATILITY,sector_neutral,fwd_3m,423,0.03469,7.387,5.044,7.387,0.619,0.02071,0.01985,0.01899,0.173,0.04032,0.00852,True,True,
downside_vol,LOW_VOLATILITY,raw,fwd_3m,424,0.07434,8.205,5.627,8.205,0.667,0.01709,0.01624,0.01539,0.1703,0.07393,0.07626,True,True,
downside_vol,LOW_VOLATILITY,sector_neutral,fwd_3m,424,0.0648,7.913,5.445,7.913,0.667,0.01463,0.01379,0.01295,0.1684,0.06554,0.0614,True,True,
ivol_spy,LOW_VOLATILITY,raw,fwd_3m,352,0.06226,7.08,4.885,7.08,0.634,0.00651,0.00578,0.00505,0.1461,0.06518,0.05146,True,True,
ivol_spy,LOW_VOLATILITY,sector_neutral,fwd_3m,352,0.02666,5.67,3.881,5.67,0.605,0.01349,0.01278,0.01207,0.1421,0.03056,0.01227,True,True,
beta_neg,LOW_VOLATILITY,raw,fwd_3m,363,0.01646,1.915,1.313,1.915,0.551,-0.01457,-0.01517,-0.01576,0.1196,0.02447,-0.01431,False,False,NONPOSITIVE_SPREAD(-0.01457);NONPOSITIVE_NET25(-0.01517)
beta_neg,LOW_VOLATILITY,sector_neutral,fwd_3m,363,0.0074,1.224,0.822,1.224,0.532,-0.00913,-0.00975,-0.01037,0.1242,0.01049,-0.00448,False,False,NONPOSITIVE_SPREAD(-0.00913);NONPOSITIVE_NET25(-0.00975)
liquidity,LIQUIDITY,raw,fwd_3m,423,0.03978,8.063,5.711,8.063,0.671,0.00416,0.00382,0.00348,0.0686,0.03646,0.05517,True,True,
liquidity,LIQUIDITY,sector_neutral,fwd_3m,423,-0.01239,-2.237,-1.556,2.237,0.485,-0.00147,-0.00221,-0.00294,0.1478,-0.01018,-0.02263,False,False,NONPOSITIVE_IC(-0.01239);NONPOSITIVE_SPREAD(-0.00147);NONPOSITIVE_NET25(-0.00221)
dvol_accel,LIQUIDITY,raw,fwd_1m,431,0.01484,3.928,3.933,3.933,0.585,0.00284,-0.00058,-0.004,0.6859,0.01301,0.02329,True,False,NONPOSITIVE_NET25(-0.00058)
dvol_accel,LIQUIDITY,sector_neutral,fwd_1m,431,0.01472,5.338,5.344,5.344,0.626,0.00265,-0.0008,-0.00425,0.6924,0.01201,0.02718,True,False,NONPOSITIVE_NET25(-0.0008)
