candidate,neutralization,regime,ic_t,mean_ic,n
mom_12_1,raw,bull,6.101,0.0379,303
mom_12_1,raw,bear,2.918,0.04935,120
mom_12_1,raw,highvol,2.042,0.02473,195
mom_12_1,raw,lowvol,8.93,0.05519,228
mom_12_1,sector_neutral,bull,6.416,0.03125,303
mom_12_1,sector_neutral,bear,2.259,0.03138,120
mom_12_1,sector_neutral,highvol,1.222,0.01167,195
mom_12_1,sector_neutral,lowvol,9.471,0.04806,228
mom_6_1,raw,bull,7.918,0.04455,303
mom_6_1,raw,bear,1.649,0.02361,125
mom_6_1,raw,highvol,2.697,0.02798,195
mom_6_1,raw,lowvol,7.755,0.04718,233
mom_6_1,sector_neutral,bull,8.214,0.03671,303
mom_6_1,sector_neutral,bear,1.692,0.01976,125
mom_6_1,sector_neutral,highvol,1.871,0.01572,195
mom_6_1,sector_neutral,lowvol,9.571,0.04518,233
mom_3_1,raw,bull,3.554,0.02081,304
mom_3_1,raw,bear,0.076,0.00108,127
mom_3_1,raw,highvol,0.486,0.00522,196
mom_3_1,raw,lowvol,3.864,0.02315,235
mom_3_1,sector_neutral,bull,4.148,0.01968,304
mom_3_1,sector_neutral,bear,0.265,0.00284,127
mom_3_1,sector_neutral,highvol,1.024,0.00865,196
mom_3_1,sector_neutral,lowvol,4.238,0.01979,235
mom_voladj,raw,bull,7.555,0.04991,303
mom_voladj,raw,bear,3.276,0.0504,120
mom_voladj,raw,highvol,2.584,0.02935,195
mom_voladj,raw,lowvol,10.085,0.06775,228
mom_voladj,sector_neutral,bull,8.374,0.04339,303
mom_voladj,sector_neutral,bear,2.94,0.03325,120
mom_voladj,sector_neutral,highvol,2.348,0.01998,195
mom_voladj,sector_neutral,lowvol,11.176,0.05807,228
resid_mom_spy,raw,bull,5.244,0.03723,281
resid_mom_spy,raw,bear,1.614,0.02582,82
resid_mom_spy,raw,highvol,1.728,0.01759,195
resid_mom_spy,raw,lowvol,7.143,0.05446,168
resid_mom_spy,sector_neutral,bull,5.695,0.03243,281
resid_mom_spy,sector_neutral,bear,1.466,0.02069,82
resid_mom_spy,sector_neutral,highvol,1.355,0.01128,195
resid_mom_spy,sector_neutral,lowvol,8.123,0.05125,168
rev_1m,raw,bull,1.323,0.00753,304
rev_1m,raw,bear,1.761,0.02057,127
rev_1m,raw,highvol,2.21,0.02037,196
rev_1m,raw,lowvol,0.657,0.00387,235
rev_1m,sector_neutral,bull,2.021,0.00977,304
rev_1m,sector_neutral,bear,3.519,0.02928,127
rev_1m,sector_neutral,highvol,3.011,0.02068,196
rev_1m,sector_neutral,lowvol,2.16,0.01122,235
trend_ma12,raw,bull,8.44,0.0486,303
trend_ma12,raw,bear,2.219,0.03667,120
trend_ma12,raw,highvol,2.56,0.0293,195
trend_ma12,raw,lowvol,9.71,0.05883,228
trend_ma12,sector_neutral,bull,8.97,0.04131,303
trend_ma12,sector_neutral,bear,2.257,0.02962,120
trend_ma12,sector_neutral,highvol,2.307,0.02107,195
trend_ma12,sector_neutral,lowvol,11.127,0.05247,228
breakout_12,raw,bull,9.558,0.06757,303
breakout_12,raw,bear,2.306,0.04318,120
breakout_12,raw,highvol,2.86,0.03841,195
breakout_12,raw,lowvol,11.181,0.07967,228
breakout_12,sector_neutral,bull,9.704,0.05133,303
breakout_12,sector_neutral,bear,2.312,0.03247,120
breakout_12,sector_neutral,highvol,2.466,0.02544,195
breakout_12,sector_neutral,lowvol,13.037,0.06355,228
trend_consistency,raw,bull,8.424,0.0438,303
trend_consistency,raw,bear,3.48,0.04576,119
trend_consistency,raw,highvol,3.05,0.02824,195
trend_consistency,raw,lowvol,10.535,0.0582,227
trend_consistency,sector_neutral,bull,8.891,0.03637,303
trend_consistency,sector_neutral,bear,3.701,0.03503,119
trend_consistency,sector_neutral,highvol,3.056,0.02104,195
trend_consistency,sector_neutral,lowvol,11.565,0.04883,227
lowvol_12m,raw,bull,7.903,0.07603,303
lowvol_12m,raw,bear,2.432,0.04984,120
lowvol_12m,raw,highvol,3.393,0.05292,195
lowvol_12m,raw,lowvol,8.155,0.08202,228
lowvol_12m,sector_neutral,bull,6.018,0.03243,303
lowvol_12m,sector_neutral,bear,4.277,0.04038,120
lowvol_12m,sector_neutral,highvol,4.122,0.03018,195
lowvol_12m,sector_neutral,lowvol,6.361,0.03854,228
downside_vol,raw,bull,8.817,0.08253,303
downside_vol,raw,bear,2.519,0.05386,121
downside_vol,raw,highvol,3.259,0.05253,195
downside_vol,raw,lowvol,9.769,0.09292,229
downside_vol,sector_neutral,bull,8.712,0.07286,303
downside_vol,sector_neutral,bear,2.28,0.04462,121
downside_vol,sector_neutral,highvol,2.937,0.04294,195
downside_vol,sector_neutral,lowvol,9.816,0.08342,229
ivol_spy,raw,bull,7.343,0.06837,270
ivol_spy,raw,bear,1.916,0.04215,82
ivol_spy,raw,highvol,3.42,0.04478,195
ivol_spy,raw,lowvol,7.673,0.08397,157
ivol_spy,sector_neutral,bull,5.257,0.02769,270
ivol_spy,sector_neutral,bear,2.242,0.02328,82
ivol_spy,sector_neutral,highvol,3.934,0.02492,195
ivol_spy,sector_neutral,lowvol,4.096,0.02883,157
liquidity,raw,bull,8.365,0.04778,303
liquidity,raw,bear,2.058,0.01956,120
liquidity,raw,highvol,4.632,0.03567,195
liquidity,raw,lowvol,6.803,0.04329,228
