candidate,family,neutralization,status,reasons,data_class,mean_ic,net25,gross_t
mom_3_1,MOMENTUM,raw,REJECTED,WEAK_SPREAD_T(gross_t=1.52<2.0);FAILS_MULTIPLE_TESTING(adj_p=0.3204),,0.015,0.00312,1.524
mom_3_1,MOMENTUM,sector_neutral,REJECTED,WEAK_SPREAD_T(gross_t=1.14<2.0);YEAR_CONCENTRATION(1.212>0.4),,0.01472,0.00066,1.137
rev_1m,SHORT_REVERSAL,raw,REJECTED,"LOW_POS_IC_RATE(0.53<0.55);WEAK_SPREAD_T(gross_t=1.75<2.0);SUBPERIOD_SIGN(pre=0.01838,post=-0.02085);HOLDOUT_NET_NOT_POSITIVE(-0.01536);YEAR_CONCENTRATION(0.682>0.4);FAILS_MULTIPLE_TESTING(adj_p=0.9396)",,0.01137,0.00156,1.745
rev_1m,SHORT_REVERSAL,sector_neutral,REJECTED,"SUBPERIOD_SIGN(pre=0.0236,post=-0.02162);HOLDOUT_NET_NOT_POSITIVE(-0.01071)",,0.01552,0.00416,3.207
lowvol_12m,LOW_VOLATILITY,raw,REJECTED,WEAK_SPREAD_T(gross_t=0.64<2.0);YEAR_CONCENTRATION(1.602>0.4),,0.0686,0.00479,0.638
downside_vol,LOW_VOLATILITY,raw,REJECTED,WEAK_SPREAD_T(gross_t=1.92<2.0);YEAR_CONCENTRATION(0.648>0.4),,0.07434,0.01624,1.917
downside_vol,LOW_VOLATILITY,sector_neutral,REJECTED,WEAK_SPREAD_T(gross_t=1.78<2.0);YEAR_CONCENTRATION(0.729>0.4),,0.0648,0.01379,1.777
ivol_spy,LOW_VOLATILITY,raw,REJECTED,WEAK_SPREAD_T(gross_t=0.78<2.0);HOLDOUT_NET_NOT_POSITIVE(-0.00223);YEAR_CONCENTRATION(1.202>0.4),,0.06226,0.00578,0.783
beta_neg,LOW_VOLATILITY,raw,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_SPREAD(-0.01457);NONPOSITIVE_NET25(-0.01517)),TRANSACTION_COST_KILLED,0.01646,-0.01517,-1.846
beta_neg,LOW_VOLATILITY,sector_neutral,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_SPREAD(-0.00913);NONPOSITIVE_NET25(-0.00975)),TRANSACTION_COST_KILLED,0.0074,-0.00975,-1.493
liquidity,LIQUIDITY,raw,REJECTED,WEAK_SPREAD_T(gross_t=1.08<2.0);YEAR_CONCENTRATION(1.023>0.4),,0.03978,0.00382,1.076
liquidity,LIQUIDITY,sector_neutral,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_IC(-0.01239);NONPOSITIVE_SPREAD(-0.00147);NONPOSITIVE_NET25(-0.00221)),NO_EDGE,-0.01239,-0.00221,-0.377
dvol_accel,LIQUIDITY,raw,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_NET25(-0.00058)),TRANSACTION_COST_KILLED,0.01484,-0.00058,1.01
dvol_accel,LIQUIDITY,sector_neutral,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_NET25(-0.0008)),TRANSACTION_COST_KILLED,0.01472,-0.0008,1.237
