candidate,family,neutralization,status,adj_ic_t,net25,holdout_net25,corr_champ,pre2020_ic,post2020_ic
mom_12_1,MOMENTUM,raw,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,4.337,0.02331,0.04356,0.1206,0.04089,0.04235
mom_12_1,MOMENTUM,sector_neutral,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,4.157,0.01302,0.03124,0.1071,0.03385,0.01941
mom_6_1,MOMENTUM,raw,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,4.959,0.0296,0.04151,0.1186,0.03502,0.05448
mom_6_1,MOMENTUM,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.091,0.01804,0.01776,0.1079,0.03365,0.02285
mom_voladj,MOMENTUM,raw,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.397,0.02683,0.05119,0.1111,0.04832,0.05809
mom_voladj,MOMENTUM,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.686,0.02245,0.04806,0.1104,0.03912,0.04698
resid_mom_spy,MOMENTUM,raw,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,3.703,0.01894,0.02735,0.1186,0.0352,0.03255
resid_mom_spy,MOMENTUM,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,3.828,0.01255,0.02627,0.1137,0.02914,0.03224
trend_ma12,TREND,raw,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.169,0.0304,0.04748,0.128,0.04318,0.05467
trend_ma12,TREND,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.376,0.02538,0.04509,0.1293,0.03673,0.04385
breakout_12,TREND,raw,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,5.781,0.02275,0.03296,0.1235,0.05975,0.06481
breakout_12,TREND,sector_neutral,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,5.813,0.02273,0.03489,0.1464,0.04584,0.04666
trend_consistency,TREND,raw,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.897,0.01956,0.03328,0.1044,0.04283,0.05139
trend_consistency,TREND,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,6.313,0.01747,0.02887,0.1025,0.03504,0.04039
lowvol_12m,LOW_VOLATILITY,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,5.044,0.01985,0.01774,0.1492,0.04032,0.00852
ivol_spy,LOW_VOLATILITY,sector_neutral,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,3.881,0.01278,0.00423,0.1375,0.03056,0.01227
