candidate,neutralization,slice,n_months,mean_ic,ic_t,net25
mom_12_1,raw,dev,318,0.04078,5.305,0.02317
mom_12_1,raw,val,48,-0.00031,-0.016,0.00022
mom_12_1,raw,holdout,57,0.07813,5.507,0.04356
mom_12_1,sector_neutral,dev,318,0.03494,5.716,0.01298
mom_12_1,sector_neutral,val,48,-0.01647,-1.096,-0.00837
mom_12_1,sector_neutral,holdout,57,0.05114,4.028,0.03124
mom_6_1,raw,dev,323,0.03356,4.974,0.02833
mom_6_1,raw,val,48,0.03054,1.928,0.02395
mom_6_1,raw,holdout,57,0.07268,4.801,0.04151
mom_6_1,sector_neutral,dev,323,0.03229,6.092,0.01835
mom_6_1,sector_neutral,val,48,0.02135,1.462,0.01633
mom_6_1,sector_neutral,holdout,57,0.03753,2.842,0.01776
mom_3_1,raw,dev,324,0.01232,1.856,0.00214
mom_3_1,raw,val,48,0.01723,0.915,0.00547
mom_3_1,raw,holdout,59,0.02786,1.642,0.0066
mom_3_1,sector_neutral,dev,324,0.01178,2.375,0.0
mom_3_1,sector_neutral,val,48,0.01789,1.053,0.0034
mom_3_1,sector_neutral,holdout,59,0.02829,1.978,0.00202
mom_voladj,raw,dev,318,0.04867,6.528,0.026
mom_voladj,raw,val,48,0.01345,0.699,0.00338
mom_voladj,raw,holdout,57,0.08859,5.643,0.05119
mom_voladj,sector_neutral,dev,318,0.03947,7.109,0.02161
mom_voladj,sector_neutral,val,48,0.01141,0.714,-0.00234
mom_voladj,sector_neutral,holdout,57,0.07084,5.582,0.04806
resid_mom_spy,raw,dev,258,0.03392,4.566,0.02181
resid_mom_spy,raw,val,48,-0.00329,-0.144,-0.00653
resid_mom_spy,raw,holdout,57,0.06994,4.726,0.02735
resid_mom_spy,sector_neutral,dev,258,0.02748,4.503,0.01249
resid_mom_spy,sector_neutral,val,48,0.00181,0.094,-0.00345
resid_mom_spy,sector_neutral,holdout,57,0.06372,5.198,0.02627
rev_1m,raw,dev,324,0.0171,2.817,0.00308
rev_1m,raw,val,48,0.02605,1.703,0.01208
rev_1m,raw,holdout,59,-0.03203,-2.297,-0.01536
rev_1m,sector_neutral,dev,324,0.02475,5.261,0.00723
rev_1m,sector_neutral,val,48,0.00696,0.544,0.00172
rev_1m,sector_neutral,holdout,59,-0.02818,-2.412,-0.01071
trend_ma12,raw,dev,318,0.04186,5.717,0.02963
trend_ma12,raw,val,48,0.02443,1.431,0.01524
trend_ma12,raw,holdout,57,0.08145,5.195,0.04748
trend_ma12,sector_neutral,dev,318,0.0363,6.322,0.02485
trend_ma12,sector_neutral,val,48,0.01569,1.064,0.00552
trend_ma12,sector_neutral,holdout,57,0.06624,5.157,0.04509
breakout_12,raw,dev,318,0.05844,6.843,0.0241
breakout_12,raw,val,48,0.02891,1.387,0.00169
breakout_12,raw,holdout,57,0.09971,5.228,0.03296
breakout_12,sector_neutral,dev,318,0.04464,7.22,0.02377
breakout_12,sector_neutral,val,48,0.02424,1.327,0.0014
breakout_12,sector_neutral,holdout,57,0.0718,4.716,0.03489
trend_consistency,raw,dev,317,0.04237,6.763,0.02031
trend_consistency,raw,val,48,0.02957,2.23,-0.00165
trend_consistency,raw,holdout,57,0.06784,5.263,0.03328
trend_consistency,sector_neutral,dev,317,0.03482,7.625,0.0176
trend_consistency,sector_neutral,val,48,0.02516,2.01,0.00305
trend_consistency,sector_neutral,holdout,57,0.05163,5.104,0.02887
lowvol_12m,raw,dev,318,0.06773,6.383,0.01009
lowvol_12m,raw,val,48,0.03514,1.378,-0.03509
lowvol_12m,raw,holdout,57,0.10163,4.554,0.00885
lowvol_12m,sector_neutral,dev,318,0.04247,8.152,0.02362
lowvol_12m,sector_neutral,val,48,0.01911,1.253,-0.00264
lowvol_12m,sector_neutral,holdout,57,0.00437,0.321,0.01774
downside_vol,raw,dev,319,0.07241,6.942,0.02037
downside_vol,raw,val,48,0.0236,0.872,-0.03147
downside_vol,raw,holdout,57,0.12792,5.468,0.0333
downside_vol,sector_neutral,dev,319,0.06408,6.881,0.01769
downside_vol,sector_neutral,val,48,0.01648,0.634,-0.02994
downside_vol,sector_neutral,holdout,57,0.10955,5.089,0.02879
ivol_spy,raw,dev,247,0.06215,5.734,0.01305
ivol_spy,raw,val,48,0.04349,1.86,-0.02215
ivol_spy,raw,holdout,57,0.07853,4.135,-0.00223
ivol_spy,sector_neutral,dev,247,0.03267,6.122,0.01827
ivol_spy,sector_neutral,val,48,0.03562,2.723,-0.0053
ivol_spy,sector_neutral,holdout,57,-0.00691,-0.532,0.00423
liquidity,raw,dev,318,0.03159,5.863,-0.00146
liquidity,raw,val,48,0.06773,3.918,0.0193
liquidity,raw,holdout,57,0.06189,4.314,0.02027
