candidate,family,signal,sign,holding_days,construction,treatment,n,ic_t,ic_nw_t,pos_ic_rate,gross,net25,net50,net75,avg_turnover,breakeven_bps,holdout_net25,pre2020_net25,post2020_net25,wf_pos_folds,max_year_frac,maxdd_net25,median_book_adv,status,reasons
rev1_r1,SHORT_REVERSAL,ret_1,-1,1,decile,none,6672,8.371,8.398,0.549,0.000394,-0.003836,-0.008067,-0.012297,0.8461,2.33,-0.003968,-0.003733,-0.004153,0,0.057,-25.62744,82238420.6,REJECTED,"NET25<=0(-0.003836);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.33);SUBPERIOD_NOT_BOTH_POS(pre=-0.003733,post=-0.004153);WF_POS_FOLDS<4(0)"
rev1_r2,SHORT_REVERSAL,ret_1,-1,2,decile,none,3335,6.363,6.421,0.554,0.000931,-0.003334,-0.0076,-0.011865,0.8531,5.46,-0.003232,-0.003283,-0.003493,0,0.078,-11.64536,81657509.4,REJECTED,"NET25<=0(-0.003334);HOLDOUT_NET25<=0(-0.003232);BREAKEVEN<25bps(5.46);SUBPERIOD_NOT_BOTH_POS(pre=-0.003283,post=-0.003493);WF_POS_FOLDS<4(0)"
rev1_r3,SHORT_REVERSAL,ret_1,-1,3,decile,none,2223,4.942,4.96,0.538,0.001603,-0.002675,-0.006952,-0.01123,0.8555,9.37,-0.002816,-0.003075,-0.00145,0,0.093,-6.28846,82279927.5,REJECTED,"NET25<=0(-0.002675);HOLDOUT_NET25<=0(-0.002816);BREAKEVEN<25bps(9.37);SUBPERIOD_NOT_BOTH_POS(pre=-0.003075,post=-0.00145);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(4.96<5.5)"
rev1_r5,SHORT_REVERSAL,ret_1,-1,5,decile,none,1333,3.951,4.04,0.542,0.002438,-0.001849,-0.006135,-0.010421,0.8573,14.22,-0.003524,-0.001198,-0.003851,2,0.16,-3.1627,81841352.5,REJECTED,"NET25<=0(-0.001849);HOLDOUT_NET25<=0(-0.003524);BREAKEVEN<25bps(14.22);SUBPERIOD_NOT_BOTH_POS(pre=-0.001198,post=-0.003851);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(4.04<5.5)"
rev1_r10,SHORT_REVERSAL,ret_1,-1,10,decile,none,666,2.458,2.456,0.535,0.002902,-0.001403,-0.005707,-0.010011,0.8608,16.85,-0.00642,-0.000121,-0.005357,2,0.506,-1.63517,79963430.7,REJECTED,"NET25<=0(-0.001403);HOLDOUT_NET25<=0(-0.00642);BREAKEVEN<25bps(16.85);SUBPERIOD_NOT_BOTH_POS(pre=-0.000121,post=-0.005357);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(2.456<5.5)"
rev1_r21,SHORT_REVERSAL,ret_1,-1,21,decile,none,316,0.369,0.388,0.509,0.002063,-0.002245,-0.006553,-0.010861,0.8616,11.97,-0.012377,-0.001147,-0.005656,2,0.679,-1.77732,79817265.2,REJECTED,"NET25<=0(-0.002245);HOLDOUT_NET25<=0(-0.012377);BREAKEVEN<25bps(11.97);SUBPERIOD_NOT_BOTH_POS(pre=-0.001147,post=-0.005656);WF_POS_FOLDS<4(2);CONCENTRATED_YEAR(0.679);IC_NW_T<ADJ_BAR(0.388<5.5)"
rev1_r1_buf05,SHORT_REVERSAL,ret_1,-1,1,decile,buf0.5,6672,8.371,8.398,0.549,0.000431,-0.003523,-0.007478,-0.011432,0.7909,2.72,-0.003685,-0.003404,-0.003889,0,0.058,-23.59144,82522561.0,REJECTED,"NET25<=0(-0.003523);HOLDOUT_NET25<=0(-0.003685);BREAKEVEN<25bps(2.72);SUBPERIOD_NOT_BOTH_POS(pre=-0.003404,post=-0.003889);WF_POS_FOLDS<4(0)"
rev1_r1_buf10,SHORT_REVERSAL,ret_1,-1,1,decile,buf1.0,6672,8.371,8.398,0.549,0.000476,-0.003238,-0.006953,-0.010667,0.7429,3.21,-0.003437,-0.003104,-0.003648,0,0.058,-21.73466,82715059.8,REJECTED,"NET25<=0(-0.003238);HOLDOUT_NET25<=0(-0.003437);BREAKEVEN<25bps(3.21);SUBPERIOD_NOT_BOTH_POS(pre=-0.003104,post=-0.003648);WF_POS_FOLDS<4(0)"
rev1_r5_buf10,SHORT_REVERSAL,ret_1,-1,5,decile,buf1.0,1333,3.951,4.04,0.542,0.00243,-0.001326,-0.005082,-0.008839,0.7512,16.17,-0.002827,-0.000693,-0.003273,2,0.223,-2.73496,82351567.1,REJECTED,"NET25<=0(-0.001326);HOLDOUT_NET25<=0(-0.002827);BREAKEVEN<25bps(16.17);SUBPERIOD_NOT_BOTH_POS(pre=-0.000693,post=-0.003273);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(4.04<5.5)"
rev1_r1_extreme,SHORT_REVERSAL,ret_1,-1,1,decile,absz>=2.0,4861,3.101,3.097,0.515,-0.001261,-0.008057,-0.014854,-0.02165,1.3593,-4.64,-0.007828,-0.00761,-0.009477,0,0.077,-40.47939,95302769.9,REJECTED,"NET25<=0(-0.008057);HOLDOUT_NET25<=0(-0.007828);BREAKEVEN<25bps(-4.64);SUBPERIOD_NOT_BOTH_POS(pre=-0.00761,post=-0.009477);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(3.097<5.5)"
rev1_r5_extreme,SHORT_REVERSAL,ret_1,-1,5,decile,absz>=2.0,989,0.803,0.817,0.495,0.001361,-0.00629,-0.013941,-0.021592,1.5302,4.45,-0.008808,-0.005566,-0.008613,1,0.131,-6.74208,92322681.6,REJECTED,"NET25<=0(-0.00629);HOLDOUT_NET25<=0(-0.008808);BREAKEVEN<25bps(4.45);SUBPERIOD_NOT_BOTH_POS(pre=-0.005566,post=-0.008613);WF_POS_FOLDS<4(1);IC_NW_T<ADJ_BAR(0.817<5.5)"
rev1_r1_highliq,SHORT_REVERSAL,ret_1,-1,1,decile,adv>=50M,6663,7.439,7.518,0.538,0.000519,-0.003741,-0.008001,-0.012261,0.852,3.04,-0.003922,-0.003615,-0.004126,0,0.059,-25.06231,137787666.7,REJECTED,"NET25<=0(-0.003741);HOLDOUT_NET25<=0(-0.003922);BREAKEVEN<25bps(3.04);SUBPERIOD_NOT_BOTH_POS(pre=-0.003615,post=-0.004126);WF_POS_FOLDS<4(0)"
rev1_r5_highliq_buf10,SHORT_REVERSAL,ret_1,-1,5,decile,buf1.0+adv>=50M,1332,3.807,3.921,0.532,0.00238,-0.001421,-0.005223,-0.009024,0.7603,15.65,-0.002885,-0.000834,-0.003228,2,0.323,-2.82131,137743524.9,REJECTED,"NET25<=0(-0.001421);HOLDOUT_NET25<=0(-0.002885);BREAKEVEN<25bps(15.65);SUBPERIOD_NOT_BOTH_POS(pre=-0.000834,post=-0.003228);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(3.921<5.5)"
