signal,rev1_r1,rev1_r2,rev1_r3,rev1_r5,rev1_r10,rev1_r21,rev1_r1_buf05,rev1_r1_buf10,rev1_r5_buf10,rev1_r1_extreme,rev1_r5_extreme,rev1_r1_highliq,rev1_r5_highliq_buf10,rev1_r1_secneu,rev1_r1_top50,rev1_r1_top100,rev5_r5,rev10_r10,rev21_r21,volconf_rev_r5,mom21_1_r5,fast_lowvol_r21,mom126_21_r21
rev1_r1,1.0,0.426,0.275,0.241,0.073,-0.037,0.993,0.985,0.24,0.504,0.116,0.911,0.207,1.0,0.949,0.999,-0.034,-0.101,0.001,0.108,-0.021,-0.018,-0.114
rev1_r2,0.426,1.0,0.331,0.24,0.149,-0.042,0.448,0.475,0.215,0.289,0.104,0.399,0.271,0.426,0.386,0.431,-0.112,-0.044,0.053,0.118,-0.081,-0.18,-0.162
rev1_r3,0.275,0.331,1.0,0.198,0.03,0.259,0.296,0.307,0.188,0.101,0.147,0.239,0.231,0.275,0.25,0.276,0.154,0.022,0.234,0.216,-0.323,-0.226,-0.269
rev1_r5,0.241,0.24,0.198,1.0,0.481,-0.092,0.252,0.251,0.986,0.175,0.545,0.209,0.913,0.241,0.261,0.237,0.046,0.085,0.034,0.13,-0.094,-0.055,-0.086
rev1_r10,0.073,0.149,0.03,0.481,1.0,-0.07,0.061,0.059,0.507,0.018,0.205,0.076,0.515,0.073,0.045,0.068,0.042,0.093,-0.152,0.13,0.017,0.021,0.046
rev1_r21,-0.037,-0.042,0.259,-0.092,-0.07,1.0,-0.023,-0.022,-0.08,-0.087,0.006,-0.041,-0.111,-0.037,-0.05,-0.032,0.255,0.177,0.283,0.065,-0.338,-0.189,-0.264
rev1_r1_buf05,0.993,0.448,0.296,0.252,0.061,-0.023,1.0,0.995,0.252,0.51,0.12,0.908,0.22,0.993,0.95,0.993,-0.024,-0.084,0.026,0.127,-0.048,-0.037,-0.136
rev1_r1_buf10,0.985,0.475,0.307,0.251,0.059,-0.022,0.995,1.0,0.253,0.509,0.112,0.9,0.223,0.985,0.944,0.985,-0.025,-0.081,0.029,0.14,-0.053,-0.041,-0.141
rev1_r5_buf10,0.24,0.215,0.188,0.986,0.507,-0.08,0.252,0.253,1.0,0.19,0.535,0.217,0.915,0.24,0.265,0.236,0.102,0.13,0.053,0.154,-0.129,-0.051,-0.093
rev1_r1_extreme,0.504,0.289,0.101,0.175,0.018,-0.087,0.51,0.509,0.19,1.0,0.271,0.444,0.151,0.504,0.598,0.504,-0.005,-0.022,-0.166,0.024,0.045,0.2,0.137
rev1_r5_extreme,0.116,0.104,0.147,0.545,0.205,0.006,0.12,0.112,0.535,0.271,1.0,0.079,0.495,0.116,0.164,0.115,0.126,0.066,-0.024,0.069,-0.167,0.06,0.031
rev1_r1_highliq,0.911,0.399,0.239,0.209,0.076,-0.041,0.908,0.9,0.217,0.444,0.079,1.0,0.22,0.911,0.856,0.911,-0.039,-0.055,0.044,0.14,-0.072,-0.046,-0.17
rev1_r5_highliq_buf10,0.207,0.271,0.231,0.913,0.515,-0.111,0.22,0.223,0.915,0.151,0.495,0.22,1.0,0.207,0.214,0.204,0.062,0.085,0.018,0.187,-0.099,-0.082,-0.101
rev1_r1_secneu,1.0,0.426,0.275,0.241,0.073,-0.037,0.993,0.985,0.24,0.504,0.116,0.911,0.207,1.0,0.949,0.999,-0.034,-0.101,0.001,0.108,-0.021,-0.018,-0.114
rev1_r1_top50,0.949,0.386,0.25,0.261,0.045,-0.05,0.95,0.944,0.265,0.598,0.164,0.856,0.214,0.949,1.0,0.948,0.016,-0.059,0.009,0.14,-0.04,0.029,-0.059
rev1_r1_top100,0.999,0.431,0.276,0.237,0.068,-0.032,0.993,0.985,0.236,0.504,0.115,0.911,0.204,0.999,0.948,1.0,-0.03,-0.099,0.012,0.109,-0.029,-0.024,-0.119
rev5_r5,-0.034,-0.112,0.154,0.046,0.042,0.255,-0.024,-0.025,0.102,-0.005,0.126,-0.039,0.062,-0.034,0.016,-0.03,1.0,0.409,0.257,0.437,-0.528,-0.221,-0.307
rev10_r10,-0.101,-0.044,0.022,0.085,0.093,0.177,-0.084,-0.081,0.13,-0.022,0.066,-0.055,0.085,-0.101,-0.059,-0.099,0.409,1.0,0.341,0.239,-0.612,-0.301,-0.288
rev21_r21,0.001,0.053,0.234,0.034,-0.152,0.283,0.026,0.029,0.053,-0.166,-0.024,0.044,0.018,0.001,0.009,0.012,0.257,0.341,1.0,0.099,-0.65,-0.616,-0.623
volconf_rev_r5,0.108,0.118,0.216,0.13,0.13,0.065,0.127,0.14,0.154,0.024,0.069,0.14,0.187,0.108,0.14,0.109,0.437,0.239,0.099,1.0,-0.304,-0.086,-0.177
mom21_1_r5,-0.021,-0.081,-0.323,-0.094,0.017,-0.338,-0.048,-0.053,-0.129,0.045,-0.167,-0.072,-0.099,-0.021,-0.04,-0.029,-0.528,-0.612,-0.65,-0.304,1.0,0.445,0.473
fast_lowvol_r21,-0.018,-0.18,-0.226,-0.055,0.021,-0.189,-0.037,-0.041,-0.051,0.2,0.06,-0.046,-0.082,-0.018,0.029,-0.024,-0.221,-0.301,-0.616,-0.086,0.445,1.0,0.8
mom126_21_r21,-0.114,-0.162,-0.269,-0.086,0.046,-0.264,-0.136,-0.141,-0.093,0.137,0.031,-0.17,-0.101,-0.114,-0.059,-0.119,-0.307,-0.288,-0.623,-0.177,0.473,0.8,1.0
