candidate,median_book_adv,avg_turnover,holding_days
rev1_r1,82238420.6,0.8461,1
rev1_r2,81657509.4,0.8531,2
rev1_r3,82279927.5,0.8555,3
rev1_r5,81841352.5,0.8573,5
rev1_r10,79963430.7,0.8608,10
rev1_r21,79817265.2,0.8616,21
rev1_r1_buf05,82522561.0,0.7909,1
rev1_r1_buf10,82715059.8,0.7429,1
rev1_r5_buf10,82351567.1,0.7512,5
rev1_r1_extreme,95302769.9,1.3593,1
rev1_r5_extreme,92322681.6,1.5302,5
rev1_r1_highliq,137787666.7,0.852,1
rev1_r5_highliq_buf10,137743524.9,0.7603,5
rev1_r1_secneu,82238420.6,0.8461,1
rev1_r1_top50,85504800.0,0.887,1
rev1_r1_top100,82157992.7,0.8447,1
rev5_r5,84385504.5,0.8597,5
rev10_r10,84772395.8,0.8596,10
rev21_r21,85186419.0,0.8578,21
volconf_rev_r5,79345490.2,1.2376,5
mom21_1_r5,95059449.9,0.4358,5
fast_lowvol_r21,77831490.1,0.5773,21
mom126_21_r21,110461553.1,0.3816,21
