candidate,family,breakeven_bps,net25,holdout_net25,reasons
rev1_r1,SHORT_REVERSAL,2.33,-0.003836,-0.003968,"NET25<=0(-0.003836);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.33);SUBPERIOD_NOT_BOTH_POS(pre=-0.003733,post=-0.004153);WF_POS_FOLDS<4(0)"
rev1_r2,SHORT_REVERSAL,5.46,-0.003334,-0.003232,"NET25<=0(-0.003334);HOLDOUT_NET25<=0(-0.003232);BREAKEVEN<25bps(5.46);SUBPERIOD_NOT_BOTH_POS(pre=-0.003283,post=-0.003493);WF_POS_FOLDS<4(0)"
rev1_r3,SHORT_REVERSAL,9.37,-0.002675,-0.002816,"NET25<=0(-0.002675);HOLDOUT_NET25<=0(-0.002816);BREAKEVEN<25bps(9.37);SUBPERIOD_NOT_BOTH_POS(pre=-0.003075,post=-0.00145);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(4.96<5.5)"
rev1_r5,SHORT_REVERSAL,14.22,-0.001849,-0.003524,"NET25<=0(-0.001849);HOLDOUT_NET25<=0(-0.003524);BREAKEVEN<25bps(14.22);SUBPERIOD_NOT_BOTH_POS(pre=-0.001198,post=-0.003851);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(4.04<5.5)"
rev1_r10,SHORT_REVERSAL,16.85,-0.001403,-0.00642,"NET25<=0(-0.001403);HOLDOUT_NET25<=0(-0.00642);BREAKEVEN<25bps(16.85);SUBPERIOD_NOT_BOTH_POS(pre=-0.000121,post=-0.005357);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(2.456<5.5)"
rev1_r21,SHORT_REVERSAL,11.97,-0.002245,-0.012377,"NET25<=0(-0.002245);HOLDOUT_NET25<=0(-0.012377);BREAKEVEN<25bps(11.97);SUBPERIOD_NOT_BOTH_POS(pre=-0.001147,post=-0.005656);WF_POS_FOLDS<4(2);CONCENTRATED_YEAR(0.679);IC_NW_T<ADJ_BAR(0.388<5.5)"
rev1_r1_buf05,SHORT_REVERSAL,2.72,-0.003523,-0.003685,"NET25<=0(-0.003523);HOLDOUT_NET25<=0(-0.003685);BREAKEVEN<25bps(2.72);SUBPERIOD_NOT_BOTH_POS(pre=-0.003404,post=-0.003889);WF_POS_FOLDS<4(0)"
rev1_r1_buf10,SHORT_REVERSAL,3.21,-0.003238,-0.003437,"NET25<=0(-0.003238);HOLDOUT_NET25<=0(-0.003437);BREAKEVEN<25bps(3.21);SUBPERIOD_NOT_BOTH_POS(pre=-0.003104,post=-0.003648);WF_POS_FOLDS<4(0)"
rev1_r5_buf10,SHORT_REVERSAL,16.17,-0.001326,-0.002827,"NET25<=0(-0.001326);HOLDOUT_NET25<=0(-0.002827);BREAKEVEN<25bps(16.17);SUBPERIOD_NOT_BOTH_POS(pre=-0.000693,post=-0.003273);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(4.04<5.5)"
rev1_r1_extreme,SHORT_REVERSAL,-4.64,-0.008057,-0.007828,"NET25<=0(-0.008057);HOLDOUT_NET25<=0(-0.007828);BREAKEVEN<25bps(-4.64);SUBPERIOD_NOT_BOTH_POS(pre=-0.00761,post=-0.009477);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(3.097<5.5)"
rev1_r5_extreme,SHORT_REVERSAL,4.45,-0.00629,-0.008808,"NET25<=0(-0.00629);HOLDOUT_NET25<=0(-0.008808);BREAKEVEN<25bps(4.45);SUBPERIOD_NOT_BOTH_POS(pre=-0.005566,post=-0.008613);WF_POS_FOLDS<4(1);IC_NW_T<ADJ_BAR(0.817<5.5)"
rev1_r1_highliq,SHORT_REVERSAL,3.04,-0.003741,-0.003922,"NET25<=0(-0.003741);HOLDOUT_NET25<=0(-0.003922);BREAKEVEN<25bps(3.04);SUBPERIOD_NOT_BOTH_POS(pre=-0.003615,post=-0.004126);WF_POS_FOLDS<4(0)"
rev1_r5_highliq_buf10,SHORT_REVERSAL,15.65,-0.001421,-0.002885,"NET25<=0(-0.001421);HOLDOUT_NET25<=0(-0.002885);BREAKEVEN<25bps(15.65);SUBPERIOD_NOT_BOTH_POS(pre=-0.000834,post=-0.003228);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(3.921<5.5)"
rev1_r1_secneu,SHORT_REVERSAL,2.33,-0.003836,-0.003968,"NET25<=0(-0.003836);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.33);SUBPERIOD_NOT_BOTH_POS(pre=-0.003733,post=-0.004153);WF_POS_FOLDS<4(0)"
rev1_r1_top50,SHORT_REVERSAL,1.56,-0.004158,-0.004475,"NET25<=0(-0.004158);HOLDOUT_NET25<=0(-0.004475);BREAKEVEN<25bps(1.56);SUBPERIOD_NOT_BOTH_POS(pre=-0.003943,post=-0.004816);WF_POS_FOLDS<4(0)"
rev1_r1_top100,SHORT_REVERSAL,2.34,-0.003829,-0.003968,"NET25<=0(-0.003829);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.34);SUBPERIOD_NOT_BOTH_POS(pre=-0.003723,post=-0.004152);WF_POS_FOLDS<4(0)"
rev5_r5,SHORT_REVERSAL,16.34,-0.001488,-0.00292,"NET25<=0(-0.001488);HOLDOUT_NET25<=0(-0.00292);BREAKEVEN<25bps(16.34);SUBPERIOD_NOT_BOTH_POS(pre=-0.001288,post=-0.002105);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(3.26<5.5)"
rev10_r10,SHORT_REVERSAL,6.29,-0.003216,-0.004161,"NET25<=0(-0.003216);HOLDOUT_NET25<=0(-0.004161);BREAKEVEN<25bps(6.29);SUBPERIOD_NOT_BOTH_POS(pre=-0.002796,post=-0.004509);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(1.13<5.5)"
rev21_r21,SHORT_REVERSAL,39.4,0.00247,-0.002259,HOLDOUT_NET25<=0(-0.002259);WF_POS_FOLDS<4(3);CONCENTRATED_YEAR(0.784);IC_NW_T<ADJ_BAR(1.898<5.5)
volconf_rev_r5,SHORT_REVERSAL,16.08,-0.002209,-0.011678,"NET25<=0(-0.002209);HOLDOUT_NET25<=0(-0.011678);BREAKEVEN<25bps(16.08);SUBPERIOD_NOT_BOTH_POS(pre=-8.2e-05,post=-0.011772);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(5.422<5.5)"
mom21_1_r5,FAST_CONTINUATION,-19.5,-0.003878,-0.002489,"NET25<=0(-0.003878);HOLDOUT_NET25<=0(-0.002489);BREAKEVEN<25bps(-19.5);SUBPERIOD_NOT_BOTH_POS(pre=-0.003991,post=-0.003534);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-1.751<5.5)"
fast_lowvol_r21,FAST_LOW_VOL,0.4,-0.00284,-0.000635,"NET25<=0(-0.00284);HOLDOUT_NET25<=0(-0.000635);BREAKEVEN<25bps(0.4);SUBPERIOD_NOT_BOTH_POS(pre=-0.000252,post=-0.010873);WF_POS_FOLDS<4(2);CONCENTRATED_YEAR(1.09);IC_NW_T<ADJ_BAR(1.238<5.5)"
