candidate,avg_turnover,holding_days,names_out,frac_rank_crossing,frac_left_membership,frac_event_dropped,breakeven_bps,max_affordable_cost_bps
rev1_r1,0.8461,1,1110231,0.999,0.001,0.0,2.33,2.33
rev1_r2,0.8531,2,559366,0.999,0.001,0.0,5.46,5.46
rev1_r3,0.8555,3,373806,0.998,0.002,0.0,9.37,9.37
rev1_r5,0.8573,5,224449,0.998,0.002,0.0,14.22,14.22
rev1_r10,0.8608,10,112454,0.995,0.005,0.0,16.85,16.85
rev1_r21,0.8616,21,53212,0.991,0.009,0.0,11.97,11.97
rev1_r1_buf05,0.7909,1,1037739,0.999,0.001,0.0,2.72,2.72
rev1_r1_buf10,0.7429,1,974752,0.999,0.001,0.0,3.21,3.21
rev1_r5_buf10,0.7512,5,196663,0.997,0.003,0.0,16.17,16.17
rev1_r1_extreme,1.3593,1,77393,0.079,0.002,0.919,-4.64,-4.64
rev1_r5_extreme,1.5302,5,16751,0.051,0.005,0.944,4.45,4.45
rev1_r1_highliq,0.852,1,653045,1.0,0.0,0.0,3.04,3.04
rev1_r5_highliq_buf10,0.7603,5,116113,0.999,0.001,0.0,15.65,15.65
rev1_r1_secneu,0.8461,1,1110231,0.999,0.001,0.0,2.33,2.33
rev1_r1_top50,0.887,1,591711,0.999,0.001,0.0,1.56,1.56
rev1_r1_top100,0.8447,1,1126998,0.999,0.001,0.0,2.34,2.34
rev5_r5,0.8597,5,224901,0.998,0.002,0.0,16.34,16.34
rev10_r10,0.8596,10,112119,0.996,0.004,0.0,6.29,6.29
rev21_r21,0.8578,21,52794,0.989,0.011,0.0,39.4,39.4
volconf_rev_r5,1.2376,5,9760,0.046,0.013,0.941,16.08,16.08
mom21_1_r5,0.4358,5,113616,0.995,0.005,0.0,-19.5,-19.5
fast_lowvol_r21,0.5773,21,35603,0.985,0.015,0.0,0.4,0.4
mom126_21_r21,0.3816,21,22872,0.975,0.025,0.0,23.82,23.82
