candidate,fold,n,net25,gross
rev1_r1,0,1334,-0.003638,0.000554
rev1_r1,1,1334,-0.003209,0.001041
rev1_r1,2,1334,-0.004281,-5.2e-05
rev1_r1,3,1334,-0.004072,0.000167
rev1_r1,4,1336,-0.00398,0.000262
rev1_r2,0,667,-0.002655,0.001591
rev1_r2,1,667,-0.003185,0.001085
rev1_r2,2,667,-0.003698,0.00057
rev1_r2,3,667,-0.003901,0.000364
rev1_r2,4,667,-0.003232,0.001046
rev1_r3,0,444,-0.002095,0.002121
rev1_r3,1,444,-0.001774,0.002534
rev1_r3,2,444,-0.004185,0.00012
rev1_r3,3,444,-0.002587,0.001701
rev1_r3,4,447,-0.002733,0.001539
rev1_r5,0,266,5.3e-05,0.004309
rev1_r5,1,266,0.001165,0.005479
rev1_r5,2,266,-0.002524,0.001751
rev1_r5,3,266,-0.004695,-0.000417
rev1_r5,4,269,-0.003227,0.001082
rev1_r10,0,133,0.002174,0.00644
rev1_r10,1,133,0.001014,0.005304
rev1_r10,2,133,-0.002702,0.001593
rev1_r10,3,133,-0.001041,0.003299
rev1_r10,4,134,-0.00642,-0.00209
rev1_r21,0,63,0.01115,0.015454
rev1_r21,1,63,-0.011318,-0.007019
rev1_r21,2,63,-0.000502,0.003836
rev1_r21,3,63,0.001981,0.006319
rev1_r21,4,64,-0.012377,-0.008116
rev1_r1_buf05,0,1334,-0.003242,0.000675
rev1_r1_buf05,1,1334,-0.002838,0.001142
rev1_r1_buf05,2,1334,-0.004042,-9.3e-05
rev1_r1_buf05,3,1334,-0.003798,0.000165
rev1_r1_buf05,4,1336,-0.003697,0.000266
rev1_r1_buf10,0,1334,-0.00288,0.000803
rev1_r1_buf10,1,1334,-0.002527,0.001214
rev1_r1_buf10,2,1334,-0.003747,-3.7e-05
rev1_r1_buf10,3,1334,-0.003587,0.000135
rev1_r1_buf10,4,1336,-0.003449,0.000268
rev1_r5_buf10,0,266,0.001059,0.004776
rev1_r5_buf10,1,266,0.00144,0.005217
rev1_r5_buf10,2,266,-0.001914,0.001826
rev1_r5_buf10,3,266,-0.00465,-0.000887
rev1_r5_buf10,4,269,-0.002552,0.001232
rev1_r1_extreme,0,972,-0.007468,-0.001255
rev1_r1_extreme,1,972,-0.007563,-0.000788
rev1_r1_extreme,2,972,-0.008031,-0.000701
rev1_r1_extreme,3,972,-0.009398,-0.002685
rev1_r1_extreme,4,973,-0.007828,-0.000876
rev1_r5_extreme,0,197,-0.009072,-0.00234
rev1_r5_extreme,1,197,0.001622,0.00887
rev1_r5_extreme,2,197,-0.009578,-0.001593
rev1_r5_extreme,3,197,-0.005823,0.00173
rev1_r5_extreme,4,201,-0.008552,0.000162
rev1_r1_highliq,0,1332,-0.003274,0.001
rev1_r1_highliq,1,1332,-0.003252,0.001029
rev1_r1_highliq,2,1332,-0.004201,4.4e-05
