cluster,kind,model,members,source
fundamental_slow,existing_retained,composite_sn,composite_sn,Phase 10-D/17 committed
momentum_medium,existing_retained,mom_6_1,mom_6_1,Phase 22/23 committed
lowvol_medium,existing_retained,lowvol_12m_sn,lowvol_12m_sn,Phase 23 committed
fast_reversal_information_only,existing_retained,short_reversal_close_to_close,short_reversal_close_to_close,Phase 24 committed ed28bb5
fast_ohlc_group_0,ohlc_candidate_group,gapfade_oc_raw,gapfade_oc_highliq;gapfade_oc_raw;gapfade_oc_resid;gapfade_oc_secneu;gapfade_oc_z,phase25 campaign
fast_ohlc_group_1,ohlc_candidate_group,gapfade_oc_extreme,gapfade_oc_extreme,phase25 campaign
fast_ohlc_group_2,ohlc_candidate_group,gapfade_oc_volconf,gapfade_oc_volconf,phase25 campaign
fast_ohlc_group_3,ohlc_candidate_group,gapcont_oo1,gapcont_oo1;gapfade_next_noc,phase25 campaign
fast_ohlc_group_4,ohlc_candidate_group,gapcont_oo2,gapcont_oo2,phase25 campaign
fast_ohlc_group_5,ohlc_candidate_group,gapcont_oo5,gapcont_oo5,phase25 campaign
fast_ohlc_group_6,ohlc_candidate_group,gapcont_volconf_oo5,gapcont_volconf_oo5,phase25 campaign
fast_ohlc_group_7,ohlc_candidate_group,overnight_rev,overnight_cloc;overnight_cont;overnight_cont_highliq;overnight_rev,phase25 campaign
fast_ohlc_group_8,ohlc_candidate_group,cloc_cont_noc,cloc_cont_noc,phase25 campaign
fast_ohlc_group_9,ohlc_candidate_group,cloc_rev_oo5,cloc_rev_oo5,phase25 campaign
fast_ohlc_group_10,ohlc_candidate_group,shockrec_oo3,shockrec_oo3,phase25 campaign
fast_ohlc_group_11,ohlc_candidate_group,shockrec_volconf_oo5,shockrec_volconf_oo5,phase25 campaign
fast_ohlc_group_12,ohlc_candidate_group,breakout5_oo5,breakout5_oo5,phase25 campaign
fast_ohlc_group_13,ohlc_candidate_group,breakout5_compress_oo5,breakout5_compress_oo5,phase25 campaign
fast_ohlc_group_14,ohlc_candidate_group,breakout5_inside_oo5,breakout5_inside_oo5,phase25 campaign
fast_ohlc_group_15,ohlc_candidate_group,breakout5_oo10,breakout5_oo10,phase25 campaign
fast_ohlc_group_16,ohlc_candidate_group,rangeexp_cont_oo2,rangeexp_cont_oo2,phase25 campaign
fast_ohlc_group_17,ohlc_candidate_group,rvaccel_rev_oo5,rvaccel_rev_oo5,phase25 campaign
fast_ohlc_group_18,ohlc_candidate_group,mom126_21_oo21,mom126_21_oo21,phase25 campaign
