candidate,hypothesis,timing,status,n,mean_ic,ic_t,ic_nw_t,gross,net25,net50,net75,net25_slip10,avg_turnover,breakeven_bps,holdout_net25,wf_pos_folds,max_year_frac,maxdd_net25,median_book_adv,pos_ic_rate,info_real,reasons
gapfade_oc_raw,gap_reversal,T2,REJECTED,6673,0.06724,36.897,36.402,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,-0.003849,2,0.225,-14.05473,90320488.1,0.716,True,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_resid,gap_reversal,T2,REJECTED,6673,0.06724,36.897,36.402,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,-0.003849,2,0.225,-14.05473,90320488.1,0.716,True,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_z,gap_reversal,T2,REJECTED,6663,0.07108,49.196,46.962,0.003606,-0.001394,-0.006394,-0.011394,-0.003394,1.0,18.03,-0.003922,2,0.199,-13.72828,83612000.1,0.775,True,"NET25<=0(-0.001394);HOLDOUT_NET25<=0(-0.003922);BREAKEVEN<25bps(18.03);SUBPERIOD_NOT_BOTH_POS(pre=-0.000642,post=-0.00369);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003394);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005922)"
gapfade_oc_extreme,gap_reversal,T2,REJECTED,350,0.05028,4.307,3.987,0.006932,0.001932,-0.003068,-0.008068,-6.8e-05,1.0,34.66,-0.012749,4,0.824,-1.22276,118851699.4,0.574,False,"HOLDOUT_NET25<=0(-0.012749);SUBPERIOD_NOT_BOTH_POS(pre=0.005326,post=-0.004102);CONCENTRATED_YEAR(0.824);IC_NW_T<ADJ_BAR(3.987<5.57);SLIPPAGE_STRESS_FAILED(net25_slip10=-6.8e-05);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.014749)"
gapfade_oc_secneu,gap_reversal,T2,REJECTED,6673,0.06724,36.897,36.402,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,-0.003849,2,0.225,-14.05473,90320488.1,0.716,True,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_highliq,gap_reversal,T2,REJECTED,6664,0.05194,23.228,23.335,0.002625,-0.002375,-0.007375,-0.012375,-0.004375,1.0,13.13,-0.004104,1,0.074,-15.89425,218461489.0,0.635,True,"NET25<=0(-0.002375);HOLDOUT_NET25<=0(-0.004104);BREAKEVEN<25bps(13.13);SUBPERIOD_NOT_BOTH_POS(pre=-0.00179,post=-0.004162);WF_POS_FOLDS<4(1);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.004375);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.006104)"
gapfade_oc_volconf,gap_reversal,T2,REJECTED,4165,-0.12866,-45.325,-44.902,-0.010998,-0.015998,-0.020998,-0.025998,-0.017998,1.0,-54.99,-0.012699,0,0.099,-66.63353,94865030.1,0.237,True,"NET25<=0(-0.015998);HOLDOUT_NET25<=0(-0.012699);BREAKEVEN<25bps(-54.99);SUBPERIOD_NOT_BOTH_POS(pre=-0.016792,post=-0.012666);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.017998);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.014699)"
gapcont_oo1,gap_continuation,T1,REJECTED,6671,-0.00435,-2.37,-2.354,-7.2e-05,-0.004249,-0.008427,-0.012604,-0.00592,0.8355,-0.43,-0.004584,0,0.051,-28.38226,94498902.8,0.488,False,"NET25<=0(-0.004249);HOLDOUT_NET25<=0(-0.004584);BREAKEVEN<25bps(-0.43);SUBPERIOD_NOT_BOTH_POS(pre=-0.004078,post=-0.004775);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-2.354<5.57)"
gapcont_oo2,gap_continuation,T1,REJECTED,3335,-0.00518,-2.009,-2.009,-0.000239,-0.004462,-0.008685,-0.012907,-0.006151,0.8446,-1.41,-0.004387,0,0.087,-15.0238,94223116.8,0.487,False,"NET25<=0(-0.004462);HOLDOUT_NET25<=0(-0.004387);BREAKEVEN<25bps(-1.41);SUBPERIOD_NOT_BOTH_POS(pre=-0.004213,post=-0.005224);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-2.009<5.57)"
gapcont_oo5,gap_continuation,T1,REJECTED,1333,-0.00215,-0.545,-0.56,-0.000705,-0.004948,-0.00919,-0.013432,-0.006645,0.8485,-4.16,-0.004665,0,0.07,-6.75558,96308401.2,0.499,False,"NET25<=0(-0.004948);HOLDOUT_NET25<=0(-0.004665);BREAKEVEN<25bps(-4.16);SUBPERIOD_NOT_BOTH_POS(pre=-0.005329,post=-0.003773);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-0.56<5.57)"
