candidate,cohort,n,mean_ic,ic_t
gapfade_oc_raw,current,1334,0.06694,15.863
gapfade_oc_raw,delisted,1331,0.06409,15.3
gapfade_oc_resid,current,1334,0.06694,15.863
gapfade_oc_resid,delisted,1331,0.06409,15.3
gapfade_oc_z,current,1332,0.07159,21.048
gapfade_oc_z,delisted,1329,0.06808,20.842
gapfade_oc_extreme,current,1332,0.07159,21.048
gapfade_oc_extreme,delisted,1329,0.06808,20.842
gapfade_oc_secneu,current,1334,0.06694,15.863
gapfade_oc_secneu,delisted,1331,0.06409,15.3
gapfade_oc_highliq,current,1334,0.06694,15.863
gapfade_oc_highliq,delisted,1331,0.06409,15.3
gapfade_oc_volconf,current,1334,0.06694,15.863
gapfade_oc_volconf,delisted,1331,0.06409,15.3
gapcont_oo1,current,1334,0.0012,0.278
gapcont_oo1,delisted,1331,-0.00135,-0.315
gapcont_oo2,current,667,0.00311,0.532
gapcont_oo2,delisted,665,0.00227,0.399
gapcont_oo5,current,266,0.00979,1.034
gapcont_oo5,delisted,266,-0.0005,-0.053
gapcont_volconf_oo5,current,266,0.00515,0.686
gapcont_volconf_oo5,delisted,266,-0.00208,-0.296
gapfade_next_noc,current,1334,0.00749,1.879
gapfade_next_noc,delisted,1331,0.01043,2.575
overnight_rev,current,1335,0.04454,10.132
overnight_rev,delisted,1332,0.04064,9.262
overnight_cont,current,1335,-0.04454,-10.132
overnight_cont,delisted,1332,-0.04064,-9.262
overnight_cloc,current,1335,-0.06526,-19.349
overnight_cloc,delisted,1332,-0.06574,-19.666
overnight_cont_highliq,current,1335,-0.04454,-10.132
overnight_cont_highliq,delisted,1332,-0.04064,-9.262
cloc_cont_noc,current,1335,-0.00251,-0.8
cloc_cont_noc,delisted,1332,0.00405,1.293
cloc_rev_oo5,current,267,0.01231,1.876
cloc_rev_oo5,delisted,267,-0.00317,-0.491
shockrec_oo3,current,444,0.01556,2.347
shockrec_oo3,delisted,443,0.00765,1.205
shockrec_volconf_oo5,current,266,0.02076,2.513
shockrec_volconf_oo5,delisted,266,0.01387,1.844
breakout5_oo5,current,266,-0.01685,-2.095
breakout5_oo5,delisted,266,-0.01317,-1.748
breakout5_compress_oo5,current,266,-0.01685,-2.095
breakout5_compress_oo5,delisted,266,-0.01317,-1.748
breakout5_inside_oo5,current,266,-0.01685,-2.095
breakout5_inside_oo5,delisted,266,-0.01317,-1.748
breakout5_oo10,current,133,-0.01232,-1.017
breakout5_oo10,delisted,133,-0.0047,-0.406
rangeexp_cont_oo2,current,666,-0.01424,-2.694
rangeexp_cont_oo2,delisted,664,-0.01005,-2.106
rvaccel_rev_oo5,current,265,-0.00728,-1.218
rvaccel_rev_oo5,delisted,265,0.0026,0.431
mom126_21_oo21,current,62,-0.02163,-0.898
mom126_21_oo21,delisted,62,0.01147,0.405
