candidate,gapfade_oc_raw,gapfade_oc_resid,gapfade_oc_z,gapfade_oc_extreme,gapfade_oc_secneu,gapfade_oc_highliq,gapfade_oc_volconf,gapcont_oo1,gapcont_oo2,gapcont_oo5,gapcont_volconf_oo5,gapfade_next_noc,overnight_rev,overnight_cont,overnight_cloc,overnight_cont_highliq,cloc_cont_noc,cloc_rev_oo5,shockrec_oo3,shockrec_volconf_oo5,breakout5_oo5,breakout5_compress_oo5,breakout5_inside_oo5,breakout5_oo10,rangeexp_cont_oo2,rvaccel_rev_oo5,mom126_21_oo21
gapfade_oc_raw,1.0,1.0,0.926,0.209,1.0,0.859,-0.114,0.21,0.094,0.08,-0.02,0.002,0.387,-0.387,-0.596,-0.199,-0.221,0.301,0.094,0.042,-0.225,-0.149,-0.127,-0.046,-0.129,-0.121,-0.131
gapfade_oc_resid,1.0,1.0,0.926,0.209,1.0,0.859,-0.114,0.21,0.094,0.08,-0.02,0.002,0.387,-0.387,-0.596,-0.199,-0.221,0.301,0.094,0.042,-0.225,-0.149,-0.127,-0.046,-0.129,-0.121,-0.131
gapfade_oc_z,0.926,0.926,1.0,0.187,0.926,0.746,-0.089,0.172,0.017,0.034,0.024,0.053,0.458,-0.458,-0.632,-0.231,-0.263,0.347,0.113,0.079,-0.3,-0.103,-0.213,-0.095,-0.115,-0.155,-0.192
gapfade_oc_extreme,0.209,0.209,0.187,1.0,0.209,0.189,0.187,0.164,0.016,0.152,0.061,-0.114,-0.05,0.05,-0.017,0.092,-0.022,0.067,0.016,0.016,0.009,0.005,0.083,0.053,0.284,0.006,0.001
gapfade_oc_secneu,1.0,1.0,0.926,0.209,1.0,0.859,-0.114,0.21,0.094,0.08,-0.02,0.002,0.387,-0.387,-0.596,-0.199,-0.221,0.301,0.094,0.042,-0.225,-0.149,-0.127,-0.046,-0.129,-0.121,-0.131
gapfade_oc_highliq,0.859,0.859,0.746,0.189,0.859,1.0,0.066,0.201,0.097,0.155,-0.014,-0.089,0.152,-0.152,-0.307,-0.056,-0.211,0.223,0.054,0.028,-0.12,-0.124,-0.083,0.012,-0.168,-0.111,-0.162
gapfade_oc_volconf,-0.114,-0.114,-0.089,0.187,-0.114,0.066,1.0,-0.058,-0.066,0.006,-0.049,-0.033,-0.235,0.235,0.407,0.182,-0.051,-0.073,-0.097,0.002,0.013,0.033,-0.042,0.014,0.068,-0.086,-0.057
gapcont_oo1,0.21,0.21,0.172,0.164,0.21,0.201,-0.058,1.0,0.524,0.219,0.075,-0.839,0.101,-0.101,-0.071,-0.012,-0.034,0.074,-0.082,0.044,-0.029,-0.057,-0.016,0.124,-0.018,-0.015,-0.065
gapcont_oo2,0.094,0.094,0.017,0.016,0.094,0.097,-0.066,0.524,1.0,0.185,-0.055,-0.437,0.008,-0.008,0.014,-0.02,-0.028,-0.036,0.016,0.061,-0.021,0.007,0.154,-0.017,-0.005,0.151,0.069
gapcont_oo5,0.08,0.08,0.034,0.152,0.08,0.155,0.006,0.219,0.185,1.0,0.098,-0.154,-0.154,0.154,0.12,0.053,-0.05,0.031,-0.032,-0.138,0.272,0.139,0.288,0.278,0.008,-0.054,0.005
gapcont_volconf_oo5,-0.02,-0.02,0.024,0.061,-0.02,-0.014,-0.049,0.075,-0.055,0.098,1.0,-0.108,-0.054,0.054,0.049,0.035,-0.093,0.094,-0.035,-0.197,0.016,0.026,-0.102,-0.01,0.034,-0.053,-0.236
gapfade_next_noc,0.002,0.002,0.053,-0.114,0.002,-0.089,-0.033,-0.839,-0.437,-0.154,-0.108,1.0,0.003,-0.003,-0.097,-0.061,0.03,0.025,0.077,-0.05,-0.012,0.067,0.054,-0.141,0.011,0.005,0.034
overnight_rev,0.387,0.387,0.458,-0.05,0.387,0.152,-0.235,0.101,0.008,-0.154,-0.054,0.003,1.0,-1.0,-0.775,-0.826,-0.054,0.242,0.031,0.1,-0.229,0.017,-0.244,-0.058,-0.098,-0.011,-0.094
overnight_cont,-0.387,-0.387,-0.458,0.05,-0.387,-0.152,0.235,-0.101,-0.008,0.154,0.054,-0.003,-1.0,1.0,0.775,0.826,0.054,-0.242,-0.031,-0.1,0.229,-0.016,0.244,0.058,0.098,0.011,0.094
overnight_cloc,-0.596,-0.596,-0.632,-0.017,-0.596,-0.307,0.407,-0.071,0.014,0.12,0.049,-0.097,-0.775,0.775,1.0,0.552,0.145,-0.319,-0.184,-0.115,0.333,0.1,0.264,0.144,0.096,0.07,0.137
overnight_cont_highliq,-0.199,-0.199,-0.231,0.092,-0.199,-0.056,0.182,-0.012,-0.02,0.053,0.035,-0.061,-0.826,0.826,0.552,1.0,0.035,-0.175,0.003,0.037,0.045,-0.067,0.102,0.007,0.061,-0.129,0.061
cloc_cont_noc,-0.221,-0.221,-0.263,-0.022,-0.221,-0.211,-0.051,-0.034,-0.028,-0.05,-0.093,0.03,-0.054,0.054,0.145,0.035,1.0,-0.305,-0.047,-0.028,0.157,0.018,0.118,-0.046,-0.012,0.073,0.246
cloc_rev_oo5,0.301,0.301,0.347,0.067,0.301,0.223,-0.073,0.074,-0.036,0.031,0.094,0.025,0.242,-0.242,-0.319,-0.175,-0.305,1.0,0.078,0.116,-0.36,-0.145,-0.324,-0.093,-0.048,0.06,-0.261
shockrec_oo3,0.094,0.094,0.113,0.016,0.094,0.054,-0.097,-0.082,0.016,-0.032,-0.035,0.077,0.031,-0.031,-0.184,0.003,-0.047,0.078,1.0,0.158,-0.22,-0.212,-0.113,-0.146,-0.089,0.027,0.046
shockrec_volconf_oo5,0.042,0.042,0.079,0.016,0.042,0.028,0.002,0.044,0.061,-0.138,-0.197,-0.05,0.1,-0.1,-0.115,0.037,-0.028,0.116,0.158,1.0,-0.387,-0.24,-0.299,-0.286,0.008,0.045,-0.043
breakout5_oo5,-0.225,-0.225,-0.3,0.009,-0.225,-0.12,0.013,-0.029,-0.021,0.272,0.016,-0.012,-0.229,0.229,0.333,0.045,0.157,-0.36,-0.22,-0.387,1.0,0.388,0.589,0.514,0.091,0.203,0.383
breakout5_compress_oo5,-0.149,-0.149,-0.103,0.005,-0.149,-0.124,0.033,-0.057,0.007,0.139,0.026,0.067,0.017,-0.016,0.1,-0.067,0.018,-0.145,-0.212,-0.24,0.388,1.0,0.146,0.213,0.139,0.212,0.075
breakout5_inside_oo5,-0.127,-0.127,-0.213,0.083,-0.127,-0.083,-0.042,-0.016,0.154,0.288,-0.102,0.054,-0.244,0.244,0.264,0.102,0.118,-0.324,-0.113,-0.299,0.589,0.146,1.0,0.31,-0.003,0.067,0.345
breakout5_oo10,-0.046,-0.046,-0.095,0.053,-0.046,0.012,0.014,0.124,-0.017,0.278,-0.01,-0.141,-0.058,0.058,0.144,0.007,-0.046,-0.093,-0.146,-0.286,0.514,0.213,0.31,1.0,0.115,0.018,0.248
rangeexp_cont_oo2,-0.129,-0.129,-0.115,0.284,-0.129,-0.168,0.068,-0.018,-0.005,0.008,0.034,0.011,-0.098,0.098,0.096,0.061,-0.012,-0.048,-0.089,0.008,0.091,0.139,-0.003,0.115,1.0,0.091,0.052
rvaccel_rev_oo5,-0.121,-0.121,-0.155,0.006,-0.121,-0.111,-0.086,-0.015,0.151,-0.054,-0.053,0.005,-0.011,0.011,0.07,-0.129,0.073,0.06,0.027,0.045,0.203,0.212,0.067,0.018,0.091,1.0,0.176
