key,hypothesis,signal,sign,fwd,r,timing,event,event_thresh,min_adv,sector_neutral,anchor,fingerprint
gapfade_oc_raw,gap_reversal,on_gap,-1,fwd_oc,1,T2,,,,,False,ee4093d7b4540f41
gapfade_oc_resid,gap_reversal,resid_gap,-1,fwd_oc,1,T2,,,,,False,a10f887db842f0c4
gapfade_oc_z,gap_reversal,gap_z,-1,fwd_oc,1,T2,,,,,False,e52c646d2f3d4e12
gapfade_oc_extreme,gap_reversal,gap_z,-1,fwd_oc,1,T2,gap_z,2.0,,,False,b3de86d6dd68a61b
gapfade_oc_secneu,gap_reversal,sec_resid_gap,-1,fwd_oc,1,T2,,,,True,False,fa9d1cf46e7d17e3
gapfade_oc_highliq,gap_reversal,resid_gap,-1,fwd_oc,1,T2,,,100000000.0,,False,0e3bcddee35fd305
gapfade_oc_volconf,gap_reversal,resid_gap,-1,fwd_oc,1,T2,dvol_surge,1.0,,,False,58a1f784c1b43a7d
gapcont_oo1,gap_continuation,on_gap,1,fwd_oo_1,1,T1,,,,,False,8342d584bde3abc6
gapcont_oo2,gap_continuation,on_gap,1,fwd_oo_2,2,T1,,,,,False,37fbe08417351ddb
gapcont_oo5,gap_continuation,on_gap,1,fwd_oo_5,5,T1,,,,,False,3fa4271dc1813fc1
gapcont_volconf_oo5,gap_continuation,gap_z,1,fwd_oo_5,5,T1,dvol_surge,2.0,,,False,a4f4fa5c3b065290
gapfade_next_noc,gap_reversal,resid_gap,-1,fwd_noc,1,T1,,,,,False,dd6d7b256f6466cb
overnight_rev,overnight_drift,intraday,-1,fwd_co,1,T3,,,,,False,6e1a5f6df039508f
overnight_cont,overnight_drift,intraday,1,fwd_co,1,T3,,,,,False,34e33a53eaeff1dd
overnight_cloc,overnight_drift,cloc,1,fwd_co,1,T3,,,,,False,a5a7e2b173628f46
overnight_cont_highliq,overnight_drift,intraday,1,fwd_co,1,T3,,,100000000.0,,False,8d934e6715849ed2
cloc_cont_noc,close_location,cloc,1,fwd_noc,1,T1,,,,,False,30fa9e0b7c9d7113
cloc_rev_oo5,close_location,cloc,-1,fwd_oo_5,5,T1,,,,,False,da859179c27c0bb5
shockrec_oo3,shock_recovery,ret5_z,-1,fwd_oo_3,3,T1,ret5_z,2.0,,,False,8ead9153317842cc
shockrec_volconf_oo5,shock_recovery,ret5_z,-1,fwd_oo_5,5,T1,dvol_surge,1.0,,,False,14b36092f832a161
breakout5_oo5,compression_breakout,breakout5,1,fwd_oo_5,5,T1,,,,,False,c5c2b1e6e721d221
breakout5_compress_oo5,compression_breakout,breakout5,1,fwd_oo_5,5,T1,compress_score,0.5,,,False,949b590c21a3912c
breakout5_inside_oo5,compression_breakout,breakout5,1,fwd_oo_5,5,T1,inside_prev,0.5,,,False,ea7f2054457e6150
breakout5_oo10,compression_breakout,breakout5,1,fwd_oo_10,10,T1,,,,,False,ed069f485d434151
rangeexp_cont_oo2,range_expansion,absz,1,fwd_oo_2,2,T1,range_z,2.0,,,False,108c262b9f6c7806
rvaccel_rev_oo5,vol_accel,rvaccel,-1,fwd_oo_5,5,T1,,,,,False,0ef493f7a24afff2
mom126_21_oo21,compression_breakout,mom_126_21,1,fwd_oo_21,21,T1,,,,,True,0f7035e3619ead91
