candidate,hypothesis,timing,status_bucket,reasons
gapfade_oc_raw,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_resid,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_z,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.001394);HOLDOUT_NET25<=0(-0.003922);BREAKEVEN<25bps(18.03);SUBPERIOD_NOT_BOTH_POS(pre=-0.000642,post=-0.00369);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003394);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005922)"
gapfade_oc_extreme,gap_reversal,T2,COST_KILLED,"HOLDOUT_NET25<=0(-0.012749);SUBPERIOD_NOT_BOTH_POS(pre=0.005326,post=-0.004102);CONCENTRATED_YEAR(0.824);IC_NW_T<ADJ_BAR(3.987<5.57);SLIPPAGE_STRESS_FAILED(net25_slip10=-6.8e-05);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.014749)"
gapfade_oc_secneu,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.001295);HOLDOUT_NET25<=0(-0.003849);BREAKEVEN<25bps(18.53);SUBPERIOD_NOT_BOTH_POS(pre=-0.000493,post=-0.003748);WF_POS_FOLDS<4(2);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.003295);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.005849)"
gapfade_oc_highliq,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.002375);HOLDOUT_NET25<=0(-0.004104);BREAKEVEN<25bps(13.13);SUBPERIOD_NOT_BOTH_POS(pre=-0.00179,post=-0.004162);WF_POS_FOLDS<4(1);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.004375);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.006104)"
gapfade_oc_volconf,gap_reversal,T2,COST_KILLED,"NET25<=0(-0.015998);HOLDOUT_NET25<=0(-0.012699);BREAKEVEN<25bps(-54.99);SUBPERIOD_NOT_BOTH_POS(pre=-0.016792,post=-0.012666);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.017998);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.014699)"
gapcont_oo1,gap_continuation,T1,COST_KILLED,"NET25<=0(-0.004249);HOLDOUT_NET25<=0(-0.004584);BREAKEVEN<25bps(-0.43);SUBPERIOD_NOT_BOTH_POS(pre=-0.004078,post=-0.004775);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-2.354<5.57)"
gapcont_oo2,gap_continuation,T1,COST_KILLED,"NET25<=0(-0.004462);HOLDOUT_NET25<=0(-0.004387);BREAKEVEN<25bps(-1.41);SUBPERIOD_NOT_BOTH_POS(pre=-0.004213,post=-0.005224);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-2.009<5.57)"
gapcont_oo5,gap_continuation,T1,COST_KILLED,"NET25<=0(-0.004948);HOLDOUT_NET25<=0(-0.004665);BREAKEVEN<25bps(-4.16);SUBPERIOD_NOT_BOTH_POS(pre=-0.005329,post=-0.003773);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-0.56<5.57)"
gapcont_volconf_oo5,gap_continuation,T1,COST_KILLED,"TOO_FEW_REBALANCES(99);NET25<=0(-0.00116);HOLDOUT_NET25<=0(-0.012107);BREAKEVEN<25bps(20.23);SUBPERIOD_NOT_BOTH_POS(pre=0.001364,post=-0.013336);WF_POS_FOLDS<4(1);CONCENTRATED_YEAR(2.701);IC_NW_T<ADJ_BAR(0.954<5.57)"
gapfade_next_noc,gap_reversal,T1,COST_KILLED,"NET25<=0(-0.004327);HOLDOUT_NET25<=0(-0.004917);BREAKEVEN<25bps(3.37);SUBPERIOD_NOT_BOTH_POS(pre=-0.004225,post=-0.004637);WF_POS_FOLDS<4(0)"
overnight_rev,overnight_drift,T3,COST_KILLED,"NET25<=0(-0.004343);HOLDOUT_NET25<=0(-0.004894);BREAKEVEN<25bps(3.28);SUBPERIOD_NOT_BOTH_POS(pre=-0.004072,post=-0.005174);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.006343);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.006894)"
overnight_cont,overnight_drift,T3,COST_KILLED,"NET25<=0(-0.005657);HOLDOUT_NET25<=0(-0.005106);BREAKEVEN<25bps(-3.28);SUBPERIOD_NOT_BOTH_POS(pre=-0.005928,post=-0.004826);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.007657);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.007106)"
overnight_cloc,overnight_drift,T3,COST_KILLED,"NET25<=0(-0.006517);HOLDOUT_NET25<=0(-0.005392);BREAKEVEN<25bps(-7.58);SUBPERIOD_NOT_BOTH_POS(pre=-0.006871,post=-0.005429);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.008517);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.007392)"
overnight_cont_highliq,overnight_drift,T3,COST_KILLED,"NET25<=0(-0.005369);HOLDOUT_NET25<=0(-0.005077);BREAKEVEN<25bps(-1.84);SUBPERIOD_NOT_BOTH_POS(pre=-0.005601,post=-0.00466);WF_POS_FOLDS<4(0);SLIPPAGE_STRESS_FAILED(net25_slip10=-0.007369);SLIPPAGE_STRESS_HOLDOUT_FAILED(-0.007077)"
