candidate,avg_turnover,holding_days,full_liquidation,names_out,frac_rank_crossing,frac_left_membership,frac_event_dropped,breakeven_bps,max_affordable_cost_bps
gapfade_oc_raw,1.0,1,True,0,1.0,0.0,0.0,18.53,18.53
gapfade_oc_resid,1.0,1,True,0,1.0,0.0,0.0,18.53,18.53
gapfade_oc_z,1.0,1,True,0,1.0,0.0,0.0,18.03,18.03
gapfade_oc_extreme,1.0,1,True,0,1.0,0.0,0.0,34.66,34.66
gapfade_oc_secneu,1.0,1,True,0,1.0,0.0,0.0,18.53,18.53
gapfade_oc_highliq,1.0,1,True,0,1.0,0.0,0.0,13.13,13.13
gapfade_oc_volconf,1.0,1,True,0,1.0,0.0,0.0,-54.99,-54.99
gapcont_oo1,0.8355,1,False,1096074,1.0,0.0,0.0,-0.43,-0.43
gapcont_oo2,0.8446,2,False,553720,0.999,0.001,0.0,-1.41,-1.41
gapcont_oo5,0.8485,5,False,222112,0.998,0.002,0.0,-4.16,-4.16
gapcont_volconf_oo5,1.2159,5,False,844,0.036,0.082,0.883,20.23,20.23
gapfade_next_noc,1.0,1,True,0,1.0,0.0,0.0,3.37,3.37
overnight_rev,1.0,1,True,0,1.0,0.0,0.0,3.28,3.28
overnight_cont,1.0,1,True,0,1.0,0.0,0.0,-3.28,-3.28
overnight_cloc,1.0,1,True,0,1.0,0.0,0.0,-7.58,-7.58
overnight_cont_highliq,1.0,1,True,0,1.0,0.0,0.0,-1.84,-1.84
cloc_cont_noc,1.0,1,True,0,1.0,0.0,0.0,0.38,0.38
cloc_rev_oo5,0.8884,5,False,232746,0.999,0.001,0.0,5.35,5.35
shockrec_oo3,1.2653,3,False,20090,0.19,0.002,0.808,2.89,2.89
shockrec_volconf_oo5,1.2464,5,False,9827,0.053,0.008,0.939,-0.3,-0.3
breakout5_oo5,0.8713,5,False,227764,0.998,0.002,0.0,-13.7,-13.7
breakout5_compress_oo5,1.3858,5,False,21085,0.252,0.003,0.745,-9.31,-9.31
breakout5_inside_oo5,1.2655,5,False,30516,0.122,0.002,0.876,-6.57,-6.57
breakout5_oo10,0.8953,10,False,116756,0.997,0.003,0.0,-12.28,-12.28
rangeexp_cont_oo2,1.4614,2,False,1680,0.067,0.035,0.898,2.79,2.79
rvaccel_rev_oo5,0.8463,5,False,220677,0.998,0.002,0.0,-3.15,-3.15
mom126_21_oo21,0.3816,21,False,22870,0.975,0.025,0.0,32.66,32.66
