candidate,fold,n,net25,ic_t,gross
gapfade_oc_raw,0,1334,0.001823,27.853,0.006823
gapfade_oc_raw,1,1334,0.002153,30.707,0.007153
gapfade_oc_raw,2,1334,-0.002705,18.575,0.002295
gapfade_oc_raw,3,1334,-0.003873,7.974,0.001127
gapfade_oc_raw,4,1337,-0.003865,7.956,0.001135
gapfade_oc_resid,0,1334,0.001823,27.853,0.006823
gapfade_oc_resid,1,1334,0.002153,30.707,0.007153
gapfade_oc_resid,2,1334,-0.002705,18.575,0.002295
gapfade_oc_resid,3,1334,-0.003873,7.974,0.001127
gapfade_oc_resid,4,1337,-0.003865,7.956,0.001135
gapfade_oc_z,0,1332,0.000876,36.635,0.005876
gapfade_oc_z,1,1332,0.002386,50.351,0.007386
gapfade_oc_z,2,1332,-0.002713,27.589,0.002287
gapfade_oc_z,3,1332,-0.003617,10.648,0.001383
gapfade_oc_z,4,1335,-0.003896,9.48,0.001104
gapfade_oc_extreme,0,70,0.002518,4.146,0.007518
gapfade_oc_extreme,1,70,0.012193,5.459,0.017193
gapfade_oc_extreme,2,70,0.004008,0.125,0.009008
gapfade_oc_extreme,3,70,0.003688,0.833,0.008688
gapfade_oc_extreme,4,70,-0.012749,-0.918,-0.007749
gapfade_oc_secneu,0,1334,0.001823,27.853,0.006823
gapfade_oc_secneu,1,1334,0.002153,30.707,0.007153
gapfade_oc_secneu,2,1334,-0.002705,18.575,0.002295
gapfade_oc_secneu,3,1334,-0.003873,7.974,0.001127
gapfade_oc_secneu,4,1337,-0.003865,7.956,0.001135
gapfade_oc_highliq,0,1332,-0.000973,10.847,0.004027
gapfade_oc_highliq,1,1332,0.000478,17.411,0.005478
gapfade_oc_highliq,2,1332,-0.002985,13.303,0.002015
gapfade_oc_highliq,3,1332,-0.00431,5.944,0.00069
gapfade_oc_highliq,4,1336,-0.004078,6.251,0.000922
gapfade_oc_volconf,0,833,-0.026328,-20.236,-0.021328
gapfade_oc_volconf,1,833,-0.014857,-26.871,-0.009857
gapfade_oc_volconf,2,833,-0.014357,-18.436,-0.009357
gapfade_oc_volconf,3,833,-0.011752,-20.359,-0.006752
gapfade_oc_volconf,4,833,-0.012699,-16.866,-0.007699
gapcont_oo1,0,1334,-0.003881,-0.724,0.000243
gapcont_oo1,1,1334,-0.004089,-2.147,7.3e-05
gapcont_oo1,2,1334,-0.004313,-2.1,-0.000127
gapcont_oo1,3,1334,-0.00438,-0.667,-0.000187
gapcont_oo1,4,1335,-0.004584,-0.397,-0.00036
gapcont_oo2,0,667,-0.003252,0.422,0.000933
gapcont_oo2,1,667,-0.004281,-1.38,-6.5e-05
gapcont_oo2,2,667,-0.005205,-2.899,-0.000966
gapcont_oo2,3,667,-0.005183,-0.903,-0.000968
gapcont_oo2,4,667,-0.004387,-0.228,-0.000127
gapcont_oo5,0,266,-0.00485,-0.41,-0.000645
gapcont_oo5,1,266,-0.006006,-1.477,-0.001782
gapcont_oo5,2,266,-0.005159,-0.374,-0.000888
gapcont_oo5,3,266,-0.003958,0.477,0.000311
gapcont_oo5,4,269,-0.004768,0.003,-0.000524
gapcont_volconf_oo5,0,19,-0.003407,0.6,0.002396
gapcont_volconf_oo5,1,19,0.01311,1.173,0.018715
gapcont_volconf_oo5,2,19,-0.00141,1.246,0.004379
gapcont_volconf_oo5,3,19,-0.002372,-0.362,0.003809
gapcont_volconf_oo5,4,23,-0.009886,-0.297,-0.00303
gapfade_next_noc,0,1334,-0.003645,8.071,0.001355
gapfade_next_noc,1,1334,-0.004134,6.663,0.000866
gapfade_next_noc,2,1334,-0.004397,4.738,0.000603
gapfade_next_noc,3,1334,-0.004543,1.917,0.000457
gapfade_next_noc,4,1336,-0.004914,0.234,8.6e-05
overnight_rev,0,1334,-0.003381,20.897,0.001619
overnight_rev,1,1334,-0.003813,12.084,0.001187
overnight_rev,2,1334,-0.004406,17.833,0.000594
overnight_rev,3,1334,-0.005213,2.177,-0.000213
overnight_rev,4,1337,-0.004902,3.162,9.8e-05
overnight_cont,0,1334,-0.006619,-20.897,-0.001619
overnight_cont,1,1334,-0.006187,-12.084,-0.001187
overnight_cont,2,1334,-0.005594,-17.833,-0.000594
overnight_cont,3,1334,-0.004787,-2.177,0.000213
overnight_cont,4,1337,-0.005098,-3.162,-9.8e-05
overnight_cloc,0,1334,-0.008447,-47.714,-0.003447
overnight_cloc,1,1334,-0.007127,-31.151,-0.002127
overnight_cloc,2,1334,-0.006011,-34.753,-0.001011
overnight_cloc,3,1334,-0.005614,-9.631,-0.000614
overnight_cloc,4,1337,-0.005387,-4.881,-0.000387
overnight_cont_highliq,0,1332,-0.006464,-12.666,-0.001464
overnight_cont_highliq,1,1332,-0.005391,-7.654,-0.000391
overnight_cont_highliq,2,1332,-0.005412,-15.761,-0.000412
overnight_cont_highliq,3,1332,-0.004508,-2.382,0.000492
overnight_cont_highliq,4,1335,-0.00507,-3.125,-7e-05
cloc_cont_noc,0,1334,-0.004769,0.475,0.000231
cloc_cont_noc,1,1334,-0.005791,-3.16,-0.000791
cloc_cont_noc,2,1334,-0.004372,6.152,0.000628
cloc_cont_noc,3,1334,-0.004776,-0.604,0.000224
cloc_cont_noc,4,1337,-0.004912,-1.039,8.8e-05
cloc_rev_oo5,0,266,-0.001096,3.738,0.003326
cloc_rev_oo5,1,266,-0.000866,2.321,0.003572
cloc_rev_oo5,2,266,-0.004133,1.324,0.000292
cloc_rev_oo5,3,266,-0.005157,-0.653,-0.000703
cloc_rev_oo5,4,270,-0.006168,-0.622,-0.001697
shockrec_oo3,0,292,-0.000563,2.453,0.005503
shockrec_oo3,1,292,-0.004473,1.286,0.0018
shockrec_oo3,2,292,-0.008618,-1.362,-0.002074
shockrec_oo3,3,292,-0.007275,1.255,-0.000708
shockrec_oo3,4,293,-0.007039,0.633,-0.000856
shockrec_volconf_oo5,0,168,-0.008509,1.963,-0.002386
shockrec_volconf_oo5,1,168,-0.00677,0.944,-0.001091
shockrec_volconf_oo5,2,168,-0.003911,0.7,0.001921
shockrec_volconf_oo5,3,168,-0.003951,3.359,0.00234
shockrec_volconf_oo5,4,168,-0.008391,0.021,-0.001158
breakout5_oo5,0,266,-0.009655,-3.518,-0.0053
breakout5_oo5,1,266,-0.007879,-1.619,-0.00355
breakout5_oo5,2,266,-0.005351,-0.808,-0.000991
breakout5_oo5,3,266,-0.005594,-0.681,-0.001238
breakout5_oo5,4,267,-0.005248,-1.085,-0.000867
breakout5_compress_oo5,0,186,-0.016408,-0.332,-0.010407
breakout5_compress_oo5,1,186,-0.007241,0.664,-0.001258
breakout5_compress_oo5,2,186,-0.00729,-0.252,0.000161
breakout5_compress_oo5,3,186,-0.008297,-1.75,-0.001229
breakout5_compress_oo5,4,188,-0.008328,-0.634,-0.000198
breakout5_inside_oo5,0,255,-0.007551,-2.768,-0.001669
breakout5_inside_oo5,1,255,-0.00986,-0.712,-0.00344
breakout5_inside_oo5,2,255,-0.008481,-1.716,-0.002134
breakout5_inside_oo5,3,255,-0.007066,-0.067,-0.000737
breakout5_inside_oo5,4,256,-0.006993,-0.523,-0.000336
breakout5_oo10,0,133,-0.010912,-1.613,-0.006429
breakout5_oo10,1,133,-0.005794,-0.635,-0.001355
breakout5_oo10,2,133,-0.005395,0.28,-0.00092
breakout5_oo10,3,133,-0.007406,-0.852,-0.002912
breakout5_oo10,4,133,-0.003866,-0.146,0.000627
rangeexp_cont_oo2,0,26,-0.010903,-1.513,-0.003702
rangeexp_cont_oo2,1,26,-0.009022,0.125,0.001768
rangeexp_cont_oo2,2,26,-0.008334,-1.463,-0.000728
rangeexp_cont_oo2,3,26,0.014137,1.167,0.019426
rangeexp_cont_oo2,4,29,-0.017108,-1.705,-0.011288
rvaccel_rev_oo5,0,265,-0.003931,0.18,0.000309
rvaccel_rev_oo5,1,265,-0.005237,0.315,-0.00104
rvaccel_rev_oo5,2,265,-0.00444,0.604,-0.000225
rvaccel_rev_oo5,3,265,-0.005962,-1.594,-0.001727
rvaccel_rev_oo5,4,268,-0.004263,1.101,7e-06
mom126_21_oo21,0,62,0.006584,1.299,0.008584
mom126_21_oo21,1,62,-0.011864,0.132,-0.009946
mom126_21_oo21,2,62,0.003864,0.482,0.005728
mom126_21_oo21,3,62,-0.006201,-0.156,-0.004322
mom126_21_oo21,4,62,0.01054,0.91,0.012419
