ticker,sector,industry,source,as_of_date,point_in_time,notes
AAPL,,,manual_required,,false,fill sector/industry before sector-relative retest
ABBV,,,manual_required,,false,fill sector/industry before sector-relative retest
ABT,,,manual_required,,false,fill sector/industry before sector-relative retest
ACN,,,manual_required,,false,fill sector/industry before sector-relative retest
ADBE,,,manual_required,,false,fill sector/industry before sector-relative retest
ADI,,,manual_required,,false,fill sector/industry before sector-relative retest
ADP,,,manual_required,,false,fill sector/industry before sector-relative retest
AMAT,,,manual_required,,false,fill sector/industry before sector-relative retest
AMD,,,manual_required,,false,fill sector/industry before sector-relative retest
AMGN,,,manual_required,,false,fill sector/industry before sector-relative retest
AMZN,,,manual_required,,false,fill sector/industry before sector-relative retest
AON,,,manual_required,,false,fill sector/industry before sector-relative retest
APD,,,manual_required,,false,fill sector/industry before sector-relative retest
APH,,,manual_required,,false,fill sector/industry before sector-relative retest
AVGO,,,manual_required,,false,fill sector/industry before sector-relative retest
AXP,,,manual_required,,false,fill sector/industry before sector-relative retest
BA,,,manual_required,,false,fill sector/industry before sector-relative retest
BAC,,,manual_required,,false,fill sector/industry before sector-relative retest
BKNG,,,manual_required,,false,fill sector/industry before sector-relative retest
BLK,,,manual_required,,false,fill sector/industry before sector-relative retest
BMY,,,manual_required,,false,fill sector/industry before sector-relative retest
BSX,,,manual_required,,false,fill sector/industry before sector-relative retest
C,,,manual_required,,false,fill sector/industry before sector-relative retest
CAT,,,manual_required,,false,fill sector/industry before sector-relative retest
CB,,,manual_required,,false,fill sector/industry before sector-relative retest
CDNS,,,manual_required,,false,fill sector/industry before sector-relative retest
CI,,,manual_required,,false,fill sector/industry before sector-relative retest
CL,,,manual_required,,false,fill sector/industry before sector-relative retest
CME,,,manual_required,,false,fill sector/industry before sector-relative retest
CMG,,,manual_required,,false,fill sector/industry before sector-relative retest
COP,,,manual_required,,false,fill sector/industry before sector-relative retest
COST,,,manual_required,,false,fill sector/industry before sector-relative retest
CRM,,,manual_required,,false,fill sector/industry before sector-relative retest
CSCO,,,manual_required,,false,fill sector/industry before sector-relative retest
CVS,,,manual_required,,false,fill sector/industry before sector-relative retest
CVX,,,manual_required,,false,fill sector/industry before sector-relative retest
DE,,,manual_required,,false,fill sector/industry before sector-relative retest
DIS,,,manual_required,,false,fill sector/industry before sector-relative retest
DUK,,,manual_required,,false,fill sector/industry before sector-relative retest
ELV,,,manual_required,,false,fill sector/industry before sector-relative retest
EMR,,,manual_required,,false,fill sector/industry before sector-relative retest
EOG,,,manual_required,,false,fill sector/industry before sector-relative retest
EQIX,,,manual_required,,false,fill sector/industry before sector-relative retest
ETN,,,manual_required,,false,fill sector/industry before sector-relative retest
