feature,non_null_fraction,mean,std,full_sample_mean_daily_rank_ic_vs_excess_21d,n_ic_dates
realized_vol_126d,0.951934,0.017578,0.007778,0.06039,2481
downside_vol_21d,0.991989,0.011027,0.007353,0.052996,2586
realized_vol_21d,0.991989,0.016716,0.009713,0.051007,2586
market_rank_realized_vol_63d,0.975967,0.503916,0.288667,0.048843,2544
realized_vol_63d,0.975967,0.017265,0.008507,0.048843,2544
max_drawdown_63d,0.976349,-0.170264,0.080285,-0.048116,2545
rolling_beta_63d,0.975967,0.944059,0.520611,0.045177,2544
distance_from_63d_high,0.976349,-0.066346,0.07218,-0.031035,2545
sector_rank_realized_vol_63d,0.975967,0.543079,0.289733,0.029578,2544
sector_relative_volatility_63d,0.975967,0.0,0.005242,0.028703,2544
reversal_21d,0.991989,-0.01604,0.084503,0.023981,2586
return_21d,0.991989,0.01604,0.084503,-0.023981,2586
market_rank_reversal_21d,0.991989,0.503916,0.288667,0.023981,2586
excess_return_vs_spy_21d,0.991989,0.002605,0.072585,-0.023981,2586
market_rank_return_21d,0.991989,0.503916,0.288667,-0.023981,2586
return_10d,0.996185,0.007561,0.058242,-0.020993,2597
reversal_10d,0.996185,-0.007561,0.058242,0.020993,2597
rolling_corr_spy_63d,0.975967,0.504151,0.232831,0.019304,2544
return_5d,0.998093,0.003771,0.04188,-0.015643,2602
reversal_5d,0.998093,-0.003771,0.04188,0.015643,2602
excess_return_vs_spy_5d,0.998093,0.000655,0.035433,-0.015643,2602
market_rank_reversal_5d,0.998093,0.503916,0.288667,0.015643,2602
sector_rank_return_21d,0.991989,0.543078,0.289733,-0.014574,2586
avg_dollar_volume_21d,0.992371,1154014023.980464,2877349636.855462,-0.01431,2587
market_rank_avg_dollar_volume_21d,0.992371,0.503916,0.288667,-0.01431,2587
sector_relative_reversal_21d,0.991989,-0.0,0.062763,0.014253,2586
sector_relative_return_21d,0.991989,0.0,0.062763,-0.014253,2586
dollar_volume,1.0,1158642063.159517,3076813457.666876,-0.013713,2607
market_rank_momentum_12_1,0.903869,0.503917,0.288667,0.011504,2355
momentum_12_1,0.903869,0.182114,0.342798,0.011504,2355
sector_rank_avg_dollar_volume_21d,0.992371,0.543078,0.289733,-0.011216,2587
return_63d,0.975967,0.047175,0.143831,-0.011134,2544
excess_return_vs_spy_63d,0.975967,0.008345,0.129083,-0.011134,2544
sector_relative_reversal_5d,0.998093,0.0,0.030589,0.010835,2602
return_252d,0.903869,0.200852,0.380037,0.009461,2355
sector_rank_momentum_12_1,0.903869,0.543088,0.289733,0.009127,2355
sector_rank_reversal_21d,0.991989,0.543078,0.289733,0.009089,2586
sector_rank_reversal_5d,0.998093,0.543077,0.289733,0.006881,2602
sector_relative_return_63d,0.975967,-0.0,0.112653,-0.006809,2544
sector_relative_momentum_12_1,0.903869,0.0,0.287243,0.0059,2355
return_126d,0.951934,0.095589,0.216644,-0.00332,2481
volume_zscore_21d,0.992371,0.002643,1.04293,0.00271,2587
volume_trend_21d,0.98436,0.034,0.303166,-0.002513,2566
